rank,name,url,jury_mean,n_votes,rationale
146,Nym,https://nymtech.net,57.6,24,"This project scores moderately on privacy-respecting tools (C5: 12) and cross-context transferability (C6: 6), with tangential benefits for secure campaign communications (C1: 8) and countering survei"
147,Discourse,https://www.discourse.org,57.5,24,"As a jury member, I score Discourse moderately for its strong community organising potential (C4) and cross-context transferability (C6), but it lacks direct ties to campaign infrastructure (C1), info"
148,GOV.UK One Login,https://www.sign-in.service.gov.uk,57.4,5,"GOV.UK One Login provides vital campaign infrastructure and cross-agency authentication, but its centralization raises dependency and inclusion concerns; while it advances accessibility and evidence-b"
149,OpenBudgets.eu,https://openbudgets.eu,56.9,24,"This enables analysis of public budgets for journalists and citizens, supporting evidence-based scrutiny (high C3) and some community organizing (moderate C4), with cross-EU applicability (high C6), b"
150,PolicyKit,https://policykit.org,56.9,20,"PolicyKit supports community organising in online spaces (C4: 10) and has moderate evidence-based governance tools (C3: 10), with usable campaign features (C1: 8) and open-source privacy (C5: 8), plus"
151,Missing Numbers,https://missingnumbers.org,56.8,5,"Missing Numbers makes a tangible contribution to campaign infrastructure and evidence-based advocacy by identifying and campaigning to close gaps in UK public data, but its impact on information warfa"
152,Right To Know,https://right-to-know.org,56.7,24,"The environmental health toolkit aids community campaigners with evidence-based data access (C3, C4), but lacks strong ties to broader campaign infrastructure (C1) or disinformation countermeasures (C"
153,Open Letter,https://openletter.earth,56.6,5,"Open Letter provides participatory advocacy infrastructure with some demonstrated policy impact and international reach, but lacks evidence of robust information warfare countermeasures, privacy/GDPR "
154,OpenOrigins,https://www.openorigins.com,56.5,24,"Focused on verification for journalists and citizens, it aids evidence-based decisions (C3: 14) and info warfare countermeasures (C2: 10) but lacks direct campaign (C1: 6) or organising (C4: 4) featur"
155,Conservative Party Funding,https://conservativepartyfunding.co.uk,56.4,5,"The project provides accessible campaign finance data to citizens and journalists, supporting information warfare and evidence-based decision-making, but lacks community organising features, privacy d"
156,MP Watch,https://www.mpwatch.org,56.4,5,"MP Watch demonstrates strong alignment with campaign infrastructure, participatory democracy, and climate action, but lacks evidence of robust information warfare countermeasures, published performanc"
157,Fairbnb.coop,https://fairbnb.coop,56.1,24,"Cooperative model aligns with anti-establishment values, strong on community organising for local hosts (C4:11), cross-context multi-country (C6:6), and tangential campaigns (C1:9), but light on info "
158,Cortico,https://cortico.ai/platform,56,24,"From an anti-establishment view, I penalise the privacy risks of recorded AI dialogues serving government agencies (C5:2, M4:-5), despite strengths in community mobilisation (C4:11) and progressive al"
159,Journal of Open Source Software,https://joss.theoj.org,56,5,"JOSS provides open, community-driven research infrastructure with strong open source and privacy credentials, but its direct civic and campaign impact is limited to professional and research communiti"
160,Journalist Studio,https://journaliststudio.google.com,56,5,"Journalist Studio provides infrastructure and tools that support journalists and counter information warfare, but its impact on participatory democracy and marginalised communities is indirect, with p"
161,Vote for Policies,https://voteforpolicies.org.uk,56,5,"Vote for Policies provided a decade-plus of participatory voter education and policy transparency, with moderate alignment to campaign infrastructure and evidence-based decisions, but lacks strong evi"
162,GrantNav,https://grantnav.threesixtygiving.org,55.9,24,"This grants data tool supports evidence-based decisions well (C3:16) and civil society organizing (C4:8), with decent privacy (C5:7) and adaptability (C6:4), but lacks direct campaign or disinformatio"
163,GOV.UK Forms,https://www.forms.service.gov.uk,55.8,5,"GOV.UK Forms demonstrates strong campaign infrastructure and some evidence-based improvement for government service delivery, but lacks clear evidence of participatory democracy, social justice impact"
164,Manifold Markets,https://manifold.markets,55.7,24,"Manifold Markets scores highly as its core function directly aligns with enabling evidence-based decisions, a key criterion in this evaluation. Its utility for gauging public sentiment makes it a powe"
165,Labour Xchange,https://labourxchange.uk,55.6,5,"Labour Xchange demonstrates moderate strength in campaign infrastructure and community organising for underemployed and marginalised workers, but lacks evidence of advanced information warfare counter"
166,DemTech Navigator,https://navigator.oii.ox.ac.uk,55.6,5,"DemTech Navigator provides a valuable resource for civil society groups to address disinformation and support digital rights, but its closed-source nature, lack of clear community ownership, and limit"
167,Cobudget,https://cobudget.com,55.3,24,"This participatory funding tool supports community mobilisation (C4) and privacy-respecting design (C5), with moderate campaign tangents (C1) and transferability (C6); modifiers boost for progressive "
168,semanticClimate,https://semanticclimate.github.io,55.2,24,"Semantic analysis of climate literature strongly enables evidence-based decisions (C3) and counter-disinfo on science (C2), with tangential campaign data use (C1) and international applicability (C6),"
169,Pear by Holepunch,https://docs.holepunch.to,55.2,5,"Pear by Holepunch provides open source, globally generalizable peer-to-peer infrastructure that supports digital rights and could enable censorship-resistant civic applications, but its primary focus "
170,New_ Public Roundabout,https://newpublic.substack.com/p/introducing-roundabout-built-for,55.2,5,"While Roundabout shows promise for local civic engagement and community organising, the dossier provides limited evidence on information warfare, privacy/GDPR, and evidence-based decisions, but the pr"
171,Spartacus,https://spartacus.app,55.0,24,"It strongly enables community organising via conditional commitments for collective action (C4) and has campaign potential for mobilisation (C1), with evidence measurement implied (C3) and internation"
172,Open Heart Mind (OHM),https://openheartmind.org,55,5,"While Open Heart Mind demonstrates strong alignment with participatory democracy and open-source values, its early-stage, limited adoption, and lack of impact metrics or evidence for information warfa"
173,OSINT Framework,https://osintframework.com,55,5,"OSINT Framework provides valuable, open-source infrastructure for information gathering and evidence-based decisions, but its primary service to professional users and lack of explicit participatory, "
174,Democracy Fund Open Source,https://www.dfos.com,55,5,"Democracy Fund Open Source provides open source tools for civic engagement and voting access, scoring well on campaign infrastructure, evidence-based decisions, and privacy, but lacks direct evidence "
175,docs.plus,https://docs.plus,54.8,24,"As a sceptic of centralised tools, I see this open-source collaborative platform as tangentially useful for community organising (C4:8) and cross-context (C6:6), but it falls short on direct campaign "
176,Civic Tech Field Guide,https://civictech.guide,54.8,5,"The project provides valuable infrastructure for civic tech practitioners and supports participatory democracy, but its primary audience is professional/institutional, with limited evidence of direct "
177,OpenElections Leaflet Scraper and Parser,https://github.com/thicknavyrain/uk_elections_leaflets,54.8,5,"This solo, open-source project improves campaign transparency and civic data access (C1, C3), but serves mainly professional users, has limited evidence of participatory democracy or marginalised comm"
178,Kialo,https://kialo.com,54.7,24,"Excels in evidence-based critical thinking (C3: 15) and community debate features (C4: 8), with moderate disinformation countering potential (C2: 10) and campaign usability (C1: 6), standard privacy ("
179,OA.Works,https://oa.works,54.7,24,"Similar to OA.Report, it earns points for evidence-based open access analysis (C3: 12) and high transferability (C6: 5), but minimal campaign or disinformation ties (C1: 2, C2: 1) and basic community/"
180,ClimateAction.Tech,https://climateaction.tech,54.6,24,"Focused on mobilising tech workers for climate action, it scores well on community organising (C4) and cross-context use (C6), with some evidence-based (C3) and disinformation relevance (C2); modifier"
181,The Data Trusts Initiative,https://datatrusts.uk,54.6,5,"The Data Trusts Initiative demonstrates moderate strength in campaign infrastructure and information warfare through policy pilots and academic rigor, but is limited by its researcher-led model, lack "
182,openparliament.ca,https://openparliament.ca,54.4,24,"OpenParliament tracks representatives for citizens and journalists, aiding evidence-based oversight (moderate C3) and community engagement (moderate C4), but Canada-specific (low C6) and no direct cam"
183,Pageviews Analysis,https://pageviews.wmcloud.org,54.4,5,"Pageviews Analysis provides valuable open-source infrastructure for civic data and journalism but lacks clear evidence of participatory democracy impact or direct service to marginalized communities, "
184,MP Twitter Bios,https://www.mptwitterbios.co.uk,54.4,5,"The project provides open civic data on MP transparency relevant to participatory democracy and research, but its impact on community organising, information warfare, and marginalised groups is limite"
185,MyActionCenter,https://www.myaction.center,54.4,5,"MyActionCenter enables participatory democracy and supports campaign infrastructure and community organizing, but lacks evidence of information warfare countermeasures, privacy safeguards, and open so"
186,GOV.UK Pay,https://www.payments.service.gov.uk,54.4,5,"GOV.UK Pay provides robust campaign infrastructure and standardizes payment processing for public services, but lacks clear evidence of participatory democracy, social justice impact, or direct servic"
187,Plausible Analytics,https://plausible.io,54.2,5,"Plausible Analytics advances privacy and digital rights for a broad range of users with open source elements and strong GDPR alignment, but lacks direct civic participation, community organizing, or e"
188,Open Standards for Data Guidebook,https://standards.theodi.org,54.2,5,"The project provides open, globally-relevant infrastructure for data standards with some evidence of policy influence and open source practice, but its primary audience is institutional rather than ci"
189,OpenAudience,https://openaudience.org,54.1,24,"Strong on campaign audience understanding and analytics (C1: 14, C3: 13), but negligible for disinformation or organizing (C2: 1, C4: 1), with UK-bound limits (C6: 2) and adequate privacy via open dat"
190,deliberAIde,https://www.deliberaide.com,54.1,24,"DeliberAide shows promise for campaign consultation infrastructure (C1: 10/20) and community organizing through dialogue facilitation (C4: 9/12), with strong international deployment (C6: 6/6). While "
191,Empurrando Juntas (EJ),https://sobre.ejparticipe.org,54,21,"This platform excels in community organising and volunteer mobilisation through collaboration tools like shared documents and voting (C4), with moderate support for evidence-based decisions via survey"
192,Contracts for Data Collaboration,https://contractsfordatacollaboration.org,54,5,"While Contracts for Data Collaboration advances transparency and accountability in data sharing, its primary beneficiaries are institutional rather than citizen users, and there is insufficient eviden"
193,Tech Coops List,https://tech-coops.xyz,54,5,"Tech Coops List advances participatory democracy and social justice by supporting worker-owned tech collectives internationally, but its impact is limited by lack of systematic verification, impact me"
194,Members' Interests,https://membersinterests.org.uk,54,4,"The project advances parliamentary transparency and supports participatory democracy, but limited evidence of active community organising, information warfare countermeasures, or privacy safeguards te"
195,Open Council Data UK,https://opencouncildata.co.uk,53.6,5,"Open Council Data UK provides valuable open access to councillor data supporting campaign infrastructure and participatory democracy, but lacks evidence of community ownership, privacy safeguards, or "
196,Parse The Bill,https://parsethebill.com,53.6,5,"Parse The Bill advances participatory democracy by making UK legislation more accessible for citizens and advocacy groups, but its heavy reliance on unverified AI summaries, lack of open source, and l"
197,Logos,https://logos.co,53.5,24,"Supports community organising via decentralised stack (C4: 10), with moderate campaign infrastructure (C1: 9) and evidence-based building (C3: 9), low disinformation focus (C2: 4), unclear privacy (C5"
198,Prolific,https://www.prolific.com,53.4,24,"Prolific excels in evidence-based decision making through high-quality data collection for research, scoring highly on C3, but offers only tangential support for campaigns or information warfare count"
199,COTSI (Cyber Operational Threat Situational Intelligence),https://cotsi.org,53.4,5,"COTSI provides valuable infrastructure for tracking online manipulation and supports evidence-based advocacy against disinformation, but its primary users are researchers and professionals rather than"
200,EDGAR,https://github.com/bellingcat/edgar,53.4,5,"EDGAR provides open-source infrastructure for accessing SEC data, supporting transparency and accountability for journalists and researchers, but lacks clear evidence of participatory democracy, direc"
201,Kagi SlopStop,https://blog.kagi.com/slopstop,53.2,5,"Kagi SlopStop advances information quality and combats AI-generated disinformation through a community-driven approach, but its benefits are limited by a subscription model, lack of clear impact metri"
202,Open Digital Planning,https://opendigitalplanning.org,53.2,5,"Open Digital Planning provides open source infrastructure for local government digital planning, but its primary users are institutional actors rather than citizens, with limited evidence of participa"
203,Society for Hopeful Technologists,https://societyforhopefultechnologists.org,53.2,5,"The project advances ethical tech and social justice for tech workers with a participatory, volunteer-driven model, but lacks formal campaign infrastructure, evidence of information warfare countermea"
204,oTree,https://www.otree.org,53.1,24,"Primarily for academic research, it supports evidence-based decisions (C3: 18) and tangentially info warfare analysis (C2: 8), but low on campaign (C1: 4) and organising (C4: 3); privacy academic-stan"
205,Moral Machine,https://moralmachine.net,53,5,"Moral Machine provides a globally-scaled, participatory platform for crowdsourcing ethical preferences on autonomous vehicles, but its primary impact is academic and policy discussion rather than dire"
206,FixMyStreet,https://www.fixmystreet.com,52.8,24,"I rate FixMyStreet adequately for evidence-based impact tracking of civic reports (C3) and standard privacy (C5), but as an anti-establishment evaluator, I penalise its tight integration with UK counc"
207,UK Housing Data Standards,https://hact.org.uk/tools-and-services/uk-housing-data-standards,52.6,5,"The project provides sector-level infrastructure and supports evidence-based decisions for social housing, but is primarily oriented toward institutional users rather than participatory democracy, wit"
208,Find local consultations,https://gov.uk/find-local-consultations,52.3,24,"As a disruption-sceptic, I penalize this government-led notification tool for enhancing centralized state communication power without clear anti-establishment benefits, scoring low on campaign infrast"
209,Timecounts,https://timecounts.org,52.3,24,"As a volunteer management tool, it directly supports community organising (C4) and has tangential campaign use (C1), with evidence tracking (C3) and global deployment (C6), but proprietary model limit"
210,River Sentiment Dashboard,https://riversentiment.app,51.8,5,"The River Sentiment Dashboard provides a novel approach to connecting social media sentiment with ecological data, supporting evidence-based advocacy and limited citizen engagement, but lacks demonstr"
211,Wikum,https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization,51.8,5,"Wikum provides a participatory tool for collective summarization in online communities, supporting democratic engagement and civic data, but its limited ongoing development and lack of explicit inclus"
212,Monitor Mamdani,https://monitormamdani.com,51,5,"Monitor Mamdani provides a public-facing dashboard for campaign promise tracking and accountability, supporting participatory democracy and civic data, but lacks evidence of community organising, priv"
213,youtube-dl,https://github.com/ytdl-org/youtube-dl,50.8,5,"youtube-dl provides open, grassroots infrastructure for journalists and archivists in the digital rights space, but the dossier lacks clear evidence of participatory community organising, privacy safe"
214,CiviClick,https://civiclick.com,50.7,23,"This advocacy platform excels in campaign infrastructure (C1) and community mobilisation (C4) for grassroots efforts, supporting evidence-based personalization (C3), but lacks disinformation focus (C2"
215,Collaborative Data Patterns,https://collaborative-data.theodi.org,50.6,5,"The project provides a useful guidebook for collaborative data maintenance with some participatory elements and partial open source alignment, but lacks strong evidence of direct impact on campaign in"
216,Channel.org,https://channel.org,50.4,18,"Supports community building and content ownership (C4: 9), with some campaign outreach potential (C1: 10) and evidence via analytics (C3: 8), privacy implied (C5: 7), and multi-country use (C6: 4); op"
217,Shared Digital Guides,https://www.shareddigitalguides.org.uk,50.2,5,"Shared Digital Guides provides useful infrastructure and community knowledge-sharing for non-profits, but its impact is limited by a narrow UK charity focus, lack of formal evidence base, and minimal "
218,Entitledto,https://entitledto.co.uk,50.1,24,"While useful for citizen empowerment against welfare bureaucracy (C3:12 for evidence-based entitlements, C4:7 for community advisors), it lacks direct campaign ties (C1:6), info warfare (C2:3), and is"
219,Harmonica,https://harmonica.chat,50.1,24,"The AI platform supports evidence-based stakeholder engagement (C3: 14) and community organizing (C4: 9), with moderate campaign applicability (C1: 7) and low disinformation countermeasures (C2: 5), u"
220,WardWatch,https://wardwatch.uk,50.1,24,"I score this moderately high on C3 for AI-driven evidence-based evaluation of councillor performance, aiding campaigns in C1, but UK-specific limits C6 and proprietary nature concerns me for centralis"
221,Libertrium,https://liberopinion.com,49.6,5,"Libertrium demonstrates moderate strength in campaign infrastructure, information warfare, and evidence-based decision-making for public administration and participatory democracy, but lacks evidence "
222,Gender Pay Gap Service,https://gender-pay-gap.service.gov.uk,49.5,24,"Government tool for pay data transparency aids evidence-based advocacy (C3:14) and community research (C4:6), but UK-bound (C6:2), low campaign (C1:5), info warfare (C2:4), privacy (C5:5); state contr"
223,Deliberation & Technology (DelibTech) Network,https://www.demnext.org/projects/delibtech-network,49.4,5,"The DelibTech Network advances participatory democracy and deliberative infrastructure at an international scale, but lacks clear evidence of community ownership, inclusion, privacy safeguards, or pub"
224,Neighbourhood Warmth,https://www.mysociety.org/climate/neighbourhood-warmth,49.4,5,"Neighbourhood Warmth aligns with participatory democracy and climate action, offering campaign infrastructure and community organising potential, but lacks evidence of information warfare countermeasu"
225,whatsmeow,https://github.com/tulir/whatsmeow,49.2,5,"While WhatsMeow is open source, grassroots, and potentially useful for civic participation via WhatsApp, the dossier provides limited evidence of direct impact on campaign infrastructure, information "
226,Frankenstein Bill,https://gordonguthrie.github.io/frankensteinbill,49.2,5,"Frankenstein Bill provides open-source, educational legislative analysis for digital government stakeholders but primarily serves institutional users, with limited evidence of participatory or justice"
227,Overton,https://overton.io,49.1,23,"Overton provides solid support for C3 through policy analysis enabling evidence-based decisions and moderate scores on C1 and C2 for political tracking that could aid campaigns and counter-disinfo, bu"
228,Viewpoints,https://viewpoints.xyz,48.8,24,"This receives a moderate score for utility in C1 and C3 via AI polls supporting message testing and evidence-based consensus, with some C4 organising potential, but proprietary AI raises centralisatio"
229,FarmerChat,https://farmerchat.digitalgreen.org,48.7,23,"AI conversational tool aids evidence-based advisory (C3:15) for rural communities (C4:9), with strong cross-context in multiple countries (C6:6), but proprietary and automation-heavy (C1:6 tangential,"
230,Choose a License,https://choosealicense.com,48.6,5,"Choose a License provides valuable open source infrastructure supporting digital rights and civic data, but its primary users are developers and projects rather than directly empowering citizens or ma"
231,Awesome UK Government Datasets,https://github.com/i-dot-ai/awesome-gov-datasets,48.2,9,"While the project advances open government data and transparency (C1: campaign infrastructure, C3: evidence-based decision-making), it primarily serves professional users and lacks clear participatory"
232,Sugartrail,https://github.com/ribenamaplesyrup/sugartrail,48,5,"Sugartrail provides open source tools for network analysis of UK company data, supporting investigative work by journalists and campaigners, but lacks evidence of participatory democracy impact, commu"
233,Agreement Engine,https://medium.com/metagov/introducing-the-agreement-engine-bf03b6d5c16c,48,1,"While the Agreement Engine shows promise as an open-source tool for participatory democracy and civic engagement, insufficient evidence of real-world impact, limited documentation, and a primary user "
234,Violation Tracker UK,https://violationtrackeruk.goodjobsfirst.org,48,1,"Violation Tracker UK provides a potentially valuable civic data resource for campaigners and citizens, but lack of accessible evidence on impact, privacy, and inclusion, as well as limited transparenc"
235,Granitt,https://granitt.io,47.6,24,"While transparency features offer some counter to establishment opacity, this B2B government tool still centralizes civic engagement, earning moderate scores on evidence-based decisions (C3:12), organ"
236,django-collaborative,https://github.com/propublica/django-collaborative,47.4,5,"While django-collaborative provides useful infrastructure for media organizations and researchers and is open source, its direct impact on participatory democracy and marginalized communities is limit"
237,Schema.org,https://schema.org,47.1,18,"Structured data schemas offer limited direct value for campaigns (C1-C2, C4) but support evidence-based web analytics (C3) and are highly transferable globally (C6) with neutral privacy (C5). Modifier"
238,Public Media Stack,https://publicmediastack.com,46.8,5,"Public Media Stack offers valuable infrastructure for media transparency and evidence-based evaluation of tools, but its primary audience is institutional rather than directly participatory, with limi"
239,Open Data Communities,https://opendatacommunities.org,46.6,5,"While Open Data Communities supported evidence-based policy and transparency, its limited participatory infrastructure, government-only governance, lack of clear community organizing or privacy featur"
240,Radicle,https://radicle.xyz,46.3,24,"This peer-to-peer code forge scores low on core campaign criteria like C1-C3 due to its focus on developer collaboration rather than political outreach or disinformation countermeasures, though it exc"
241,DAO Governance Surfaces,https://github.com/notchia/dao-governance-surfaces,46.2,6,"While the project offers a transparent, open-source tool for analyzing DAO governance structures (supporting evidence-based decisions and campaign infrastructure for digital governance), its primary b"
242,Sci-Hub,https://sci-hub.se,46,24,"Free access to research enables counter-disinformation through knowledge liberation (C2) and evidence-based strategies (C3), with tangential campaign utility (C1) and global reach (C6), but lacks orga"
243,Papertree,https://www.papertree.earth,46.0,20,"Thin dossier limits assessment, but supports evidence-based climate accountability (C3: 12) and some organising for advocates (C4: 6); low on campaign (C1: 3) and info warfare (C2: 2), privacy unmenti"
244,Aragon,https://aragon.org,45.9,24,"Offers community organising for DAOs (C4: 11) and evidence-based governance (C3: 12), with campaign infrastructure potential (C1: 9) and high transferability (C6: 6); partial open-source and scalabili"
245,Filmot,https://filmot.com,45.9,24,"YouTube caption search aids journalists in info warfare tracking (C2:11), with global cross-context (C6:6) and tangential evidence (C3:8), but minimal campaign (C1:3), community (C4:1), privacy (C5:5)"
246,UrbanistAI,https://site.urbanistai.com,45.8,24,"Low scores across C1-C4 due to its focus on urban planning and AI participation rather than direct campaign tools, disinformation analysis, or volunteer mobilization, with only minor points for C3 evi"
247,Responsible Tech Guide 2025,https://alltechishuman.org/responsible-tech-guide-2025,45.8,5,"The Responsible Tech Guide 2025 is a well-curated international resource for professionals and advocates, but lacks clear evidence of participatory democracy, community ownership, or direct support fo"
248,Plinth,https://www.plinth.org.uk,45.6,24,"AI platform aids community impact measurement (C3: 14) and organising (C4: 10), tangentially campaigns (C1: 8); low info warfare (C2: 3), privacy unmentioned (C5: 5), UK-limited (C6: 2). Modifiers for"
249,Open Science Framework,https://osf.io,45.6,5,"While Open Science Framework provides open infrastructure for research collaboration and transparency, its primary users are academics rather than citizens, and there is little evidence of direct part"
250,Snowdrift.coop,https://snowdrift.coop,45.5,24,"As a cooperative for funding public goods like open source projects, it aids community organising and volunteer mobilisation (C4) with open source accessibility (C6 implied), but lacks direct ties to "
251,dDocs,https://ddocs.new,45.5,15,"DDocs scores well on C5 for decentralized privacy-respecting design and C6 for international generalizability, with moderate C4 for civic community support, but lower on core campaign (C1), disinfo (C"
252,PostBug,https://postbug.com,45.4,23,"Postbug excels in C1 for direct voter/rep contact via postcards aiding campaigns, with good C4 for advocacy mobilisation, but low on C2, C3, C5, and C6 UK-specific. Modifiers boost progressive advocac"
253,FixMyBlock,https://fixmyblock.org,45,24,"Action guides empower tenants against housing authorities (C4:9, C3:10), with some campaign tangents (C1:7), but UK-specific (C6:2), no info warfare (C2:3), standard privacy (C5:5); grant-funded but p"
254,The Accountability Project,https://publicaccountability.org,44.8,5,"The Accountability Project provides valuable infrastructure for journalists and researchers to access public records, supporting evidence-based decision-making and transparency, but lacks clear partic"
255,Nook CRM,https://nookcrm.com,44.6,5,"Nook CRM provides campaign infrastructure and supports community energy groups, but lacks evidence of participatory democracy, open source, or strong privacy/inclusion practices, resulting in a modera"
256,postcodes.io,https://github.com/ideal-postcodes/postcodes.io,44.4,9,"Postcodes.io provides open civic data infrastructure that supports evidence-driven research and civic applications, but its primary users are developers and institutions rather than directly empowerin"
257,Theft Bisect,https://onodi.co/bisect,44.2,5,"Theft Bisect is an open source, solo-developed tool with some grassroots intent to improve police efficiency and accountability in reviewing CCTV for bike theft, but the dossier provides only anecdota"
258,PlanIT,https://planit.org.uk,43.9,20,"PlanIT scores highly on C4 for community participation in planning and moderately on C1 and C3 for local decision tools, but low on C2, C5 due to proprietary design, and C6 limited to UK context. Modi"
259,Service Manual,https://www.gov.uk/service-manual,43.8,19,"Sceptical of government-led tech, I heavily penalise this UK public notification service for bolstering centralised state communication power (low C1, C4) with potential surveillance risks in data han"
260,GRIM (Global Risk Simulator),https://github.com/sentinelteam/grim,43.8,5,"GRIM provides open-source, multi-channel infrastructure for global risk simulation and foresight, but its focus is on professional and research communities rather than participatory democracy or margi"
261,Objector.ai,https://objector.ai,43.7,24,"Tangential campaign utility for citizen challenges to planning (C1: 6) and some community mobilization potential (C4: 7), but weak on disinformation (C2: 1), evidence-based depth (C3: 6), and UK-limit"
262,Granicus,https://granicus.com/uk,43.5,24,"This proprietary government platform scores poorly from an anti-establishment view for bolstering centralized civic engagement without disrupting power structures, with low marks on campaign tools (C1"
263,Whoisology,https://whoisology.com,43.5,24,"This gets a moderate score for supporting C2 information warfare tracking via domain records and C3 data-driven investigations, tangentially useful for campaigns in C1, without promoting surveillance."
264,CivicPress,https://civicpress.io,43.4,24,"As early-stage open infrastructure for local government transparency, it supports information warfare countermeasures (C2) modestly and privacy via open source (C5), but lacks direct campaign utility "
265,GreenPT,https://greenpt.ai,43.3,24,"As a privacy-friendly AI chat platform, it scores high on privacy (C5: 10) and potentially evidence-based via analytics (C3: 8), but lacks direct campaign (C1: 3), info warfare (C2: 2), or organising "
266,Digital Account Management Toolkit,https://digitalcharitylab.org/product/digital-account-management-toolkit,43.2,5,"The toolkit provides practical infrastructure and some cybersecurity support for nonprofits but lacks evidence of participatory, community organizing, or democratic impact, and is not open source, res"
267,Beckton,https://richardpope.org/2017/03/05/beckton-a-tool-to-build,43.2,5,"Beckton demonstrates open-source, grassroots infrastructure potential for collective action and labour organising, but its lack of production deployment, user base, and abandonment as a prototype sign"
268,Charity Digital Skills Report,https://charitydigitalskills.co.uk,43,5,"This project provides annual survey data to support digital upskilling in the UK charity sector, but lacks evidence of participatory democracy, direct impact on marginalized communities, or robust met"
269,Hand-Written Petition Scanner,https://hand-written-petition-scanner.streamlit.app,42.7,18,"This tool tangentially supports campaign infrastructure through digitization for activists (C1: 8), offers limited counter-disinformation utility (C2: 4), enables some evidence-based analysis of petit"
270,UK Policy Dojo,https://github.com/mikekelly/policy-dojo,42.6,5,"Policy Dojo is an open-source, experimental AI-assisted policy deliberation tool with grassroots origins, but its lack of documented impact, minimal community organizing, and absence of democratic saf"
271,arXiv,https://arxiv.org,42.5,24,"Provides evidence-based research access (C3: 14) with tangential info warfare utility (C2: 8) and community features (C4: 4), but weak direct campaign ties (C1: 4) and privacy not emphasised (C5: 5); "
272,CharmVerse,https://charmverse.io,42.5,24,"As a web3 platform for DAO communities, it scores moderately on community organising (C4) due to its focus on coordination but low on campaign infrastructure (C1) and information warfare (C2), with pr"
273,ORCID,https://orcid.org,42.5,24,"ORCID scores low on campaign-specific criteria like C1, C2, and C4 as it's primarily an academic identifier tool with tangential political applications, though it excels in C6 for global transferabili"
274,PoliMonitor,https://www.polimonitor.com,42.4,20,"Monitoring political discussions supports info warfare (C2: 12) and evidence-based engagement (C3: 12), some campaign utility (C1: 10); low organising (C4: 3), privacy standard (C5: 5), UK-limited (C6"
275,Dunadyne,https://dunadyne.org,42,18,"Sceptical of decentralised claims in proprietary SaaS, I rate this collective intelligence platform moderately for community organising (C4:10) and evidence-based decisions via data analysis (C3:11), "
276,Urbit,https://urbit.org,41.8,24,"I score this low-to-moderate as it strongly supports C5 privacy through self-sovereignty design but lacks direct campaign utility in C1-C3 and only marginally aids organising in C4, aligning with my a"
277,Local Deep Researcher,https://local-deep-researcher-hnmh.vercel.app,41.4,16,"The dossier for this project is exceptionally thin, providing minimal evidence for evaluation and triggering a low confidence score. Based on the available information, it appears to be a generic rese"
278,Nestr,https://nestr.io,41.3,24,"Moderate scores for community organising via self-organising collaboration tools, with some evidence-based features, but proprietary nature hurts privacy and accessibility, and no disinformation focus"
279,GOV Reuse Library,https://dev.reuselibrary.service.justice.gov.uk,40.6,5,"While the GOV Reuse Library provides infrastructure for government digital teams and partially open sources its content, it primarily serves institutional users, lacks evidence of participatory democr"
280,Agencies for Good,https://www.agenciesforgood.org,40.6,5,"Agencies for Good demonstrates value as a network supporting socially impactful tech work, but lacks direct evidence of participatory democracy, campaign infrastructure, or robust information warfare "
281,User Research Library,https://research.localgov.digital,40,5,"The User Research Library provides infrastructure for local government service design and evidence-based decision-making, but primarily serves institutional users rather than citizens, lacks participa"
282,The Guide to Major Trusts 2025/26,https://www.dsc.org.uk/publication/the-guide-to-major-trusts-2025-26,40,5,"This project provides valuable civic data access for UK nonprofits and charities but serves primarily institutional users, lacks participatory or justice-oriented features, and offers limited evidence"
283,Registers and collaboration: making lists we can trust,https://theodi.org/insights/reports/registers-and-collaboration-making-lists-we-can-trust-report,40,4,"The project advances transparency in civic data management but primarily serves professional and institutional users, with limited evidence for participatory democracy or social justice impact; modest"
284,Objector.ai,https://www.objector.ai,39.8,24,"This project scores low on campaign infrastructure (C1: 5) and information warfare (C2: 1) as it's focused on civic planning objections rather than electoral tools, but moderately on community organis"
285,Yoti,https://www.yoti.com,39.7,24,"Yoti's digital identity platform offers privacy-respecting verification potentially useful for secure campaigning under C5, but lacks direct political ties in C1-C4 and raises surveillance concerns de"
286,The Decelerator,https://decelerator.org.uk,39.6,5,"The Decelerator provides support infrastructure to UK civil society organisations facing closures and transitions, modestly advancing campaign infrastructure and community organising but lacking evide"
287,Local Insight,https://localinsight.org,39.2,5,"Local Insight provides scalable data infrastructure for local authorities and charities but primarily serves institutional users, lacks evidence of participatory or justice-oriented features, is not o"
288,The List,https://the-list.uk,39.1,24,"Focused on tracking grants for nonprofits, it provides minor evidence-based support (C3) but negligible campaign (C1), disinformation (C2), or mobilisation (C4) features, limited to UK context (C6 low"
289,Esper,https://esper.com/product,38.6,23,"As a critic of government tech, I heavily penalise this policy management platform for centralised power risks (C1:10 tangential, C5:3 low privacy), despite some evidence-based (C3:10) and community ("
290,OA.Report,https://oa.report,38.5,24,"Low scores across most criteria due to limited direct relevance to political campaigns or disinformation (C1: 2, C2: 1, C4: 1), though it supports evidence-based tracking for research funders (C3: 12)"
