rank,name,url,score,criteria_score,modifier_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
94,"Missing Numbers","https://missingnumbers.org",40.2,33,0,0.75,LOW,NONE,criteria,"Data transparency tool with strong C4 critical framing; but limited direct community engagement"
95,"Murmurations Protocol","https://murmurations.network",40.2,33,0,0.75,MEDIUM,NONE,criteria,"Decentralised data protocol with community emphasis; moderate across criteria; no modifiers triggered"
96,"UK Housing Data Standards","https://hact.org.uk/tools-and-services/uk-housing-data-standards",40.2,33,0,0.80,LOW,NONE,criteria,"Equity-focused data standards with strong C2 on housing populations; limited participatory engagement at community level"
97,"Data Observation Toolkit","https://github.com/datakind/data-observation-toolkit",40.2,33,0,0.75,MEDIUM,NONE,criteria,"DataKind equity framing with moderate community orientation; C1+C4 carry score; no modifiers triggered"
98,"Open Heart Mind (OHM)","https://openheartmind.org",40.2,33,0,0.6,MEDIUM,NONE,criteria,"Open Heart Mind's peer evaluation platform and cooperative structure demonstrate genuine participatory methodology and collective governance; treating peer reviews as first-class contributions is an interesting inversion of standard academic valuation hierarchies. The early-stage status, small pilot evidence base, and thin connection to named excluded populations stop it from ranking higher."
99,"PlanIT","https://planit.org.uk",40.2,33,0,0.6,MEDIUM,NONE,criteria,"PlanIT's deployment across 15+ UK councils for formal planning consultations gives it genuine democratic depth at the consults level. The website being offline in 2026 and the absence of self-examination of who actually participates in planning consultations — generally not the most excluded communities — limits both C4 and confidence in continued impact."
100,"Keep It In The Community","https://plunkett.my.site.com/keepitinthecommunity/s",40.2,33,0,0.3,HIGH,NONE,criteria,"The Plunkett Foundation's community asset transfer platform is doing work directly relevant to power asymmetries in land and property — giving communities mechanisms to fight back against asset disposal. The thin dossier limits my scoring confidence significantly; based on Plunkett's track record in community asset transfer, I suspect this project scores higher than the documentation allows me to demonstrate."
101,"PolicyEngine","https://policyengine.org/uk",39.6,30,3,0.8,LOW,HIGH,criteria,"PolicyEngine's open-source distributional analysis creates genuine epistemic equity in policy debate — making regressive or progressive fiscal impacts legible to advocacy organisations without economics departments. The distributional impact analysis qualifies for M7 credit. What it doesn't do is name whose power position changes, involve excluded communities in designing the analysis, or examine whether its framing of policy as technically simulatable obscures the political choices embedded in model assumptions."
102,"The Commons Social Change Library","https://commonslibrary.org",39.0,32,0,0.70,LOW,NONE,criteria,"Free library for activists/campaigners; moderate C2 naming activist communities; Shuttleworth/Omidyar backing; no specific exclusion mechanism named for served populations"
103,"RxC Voice","https://github.com/radicalxchange/rxc-voice",39.0,32,0,0.65,MEDIUM,NONE,criteria,"Strong C6 democratic depth via quadratic voting; but limited evidence of excluded population centering"
104,"Mapped","https://mapped.commonknowledge.coop",39.0,32,0,0.65,MEDIUM,NONE,criteria,"Labour movement organising tool; moderate C2 naming excluded workers; Common Knowledge cooperative context"
105,"Open Referral UK","https://openreferraluk.org",39.0,32,0,0.7,MEDIUM,NONE,criteria,"Open Referral UK's data standard directly addresses the fragmentation that prevents vulnerable people from finding community services — a structural information asymmetry with real consequences for people in social care. The score is constrained by limited evidence of direct engagement with the residents who need the services most, whose experience should be driving standard design."
106,"Interoperable Deliberative Tools","https://metagov.org/projects/interop",37.8,31,0,0.65,MEDIUM,NONE,criteria,"Strong C4 governance analysis; moderate C6; limited community engagement evidence"
107,"Snowdrift.coop","https://snowdrift.coop",37.8,31,0,0.6,MEDIUM,NONE,criteria,"Snowdrift's crowdmatching mechanism is an attempt to solve the collective action problem in funding public goods — a structural intervention, not just a donation platform. The cooperative structure and honest alpha-stage documentation show genuine epistemic humility. The beneficiary population (open source developers, digital commons creators) is not structurally excluded in the sense this constitution rewards most highly."
108,"Creative Commons","https://creativecommons.org",36.6,30,0,0.80,LOW,HIGH,criteria,"Redistributes copyright power; strong C4 documenting AI training controversy and enforcement contradictions; pop_risk HIGH as foundational global infrastructure; generic creator/public beneficiaries limit C2"
109,"Consent-O-Matic","https://github.com/cavi-au/consent-o-matic",36.6,30,0,0.70,MEDIUM,NONE,criteria,"Addresses consent power asymmetry; strong C4 critical framing; limited participatory design evidence"
110,"Political Ad Transparency Standard","https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md",36.6,30,0,0.70,MEDIUM,NONE,criteria,"Strong C4 on power analysis of political advertising; limited community engagement"
111,"Parliament Watch Uganda","https://parliamentwatch.ug/",36.6,30,0,0.5,HIGH,NONE,criteria,"Parliament Watch Uganda operates in a context of constrained democratic accountability — Ugandan parliamentary transparency is a higher-stakes intervention than its equivalents in consolidated democracies, and the C5 score reflects genuine structural disadvantage as a civil society project in a politically restricted environment. The dossier's thin outcome methodology prevents me from assessing whether the transparency actually feeds back into democratic participation for ordinary Ugandans."
112,"DoNotPay","https://www.donotpay.com",36.1,28,2,0.5,MEDIUM,NONE,modifier,"AI legal assistance addresses the financial exclusion mechanism that prevents people from exercising legal rights — access to justice as a class issue. The tool directly enables contestability. I apply M4 at moderate magnitude because a commercial AI legal service in regulatory gray zones without accountability frameworks creates new risks for users who may rely on incorrect advice; M1 partially offsets this for the genuine contestability enablement."
113,"The Accountability Project","https://publicaccountability.org",35.5,25,5,0.6,MEDIUM,NONE,modifier,"The Accountability Project's 1.9 billion public records database provides an epistemic power correction for investigative journalists exposing official misconduct — the scale alone is remarkable. What limits the score substantially is that this serves researchers and journalists rather than the communities whose lives are documented in those records; there is no mechanism for affected people to engage with or contest the data about themselves."
114,"arXiv","https://arxiv.org/abs/2005.13701",35.4,29,0,0.75,LOW,HIGH,criteria,"Open access academic infrastructure; documents language representation limitations (non-English research underrepresented); pop_risk HIGH as foundational global infrastructure; researchers/academics as primary users limit C2"
115,"mySociety Datasets and APIs","https://mysociety.org/data",35.4,29,0,0.75,LOW,NONE,criteria,"Parliamentary transparency infrastructure with FOI Act policy outcomes; documents geographic coverage gaps; researchers/journalists as primary beneficiaries limit C2; Omidyar/OSF/FCDO funding"
116,"Populate Tools","https://github.com/populatetools",35.4,29,0,0.55,MEDIUM,NONE,criteria,"Democratic data tools; moderate across criteria; limited dossier completeness reduces confidence"
117,"Matrix","https://matrix.org",35.4,29,0,0.85,LOW,HIGH,criteria,"Decentralised communication protocol; HIGH pop_risk: infrastructure-level tool without explicit equity mandate; strong C1+C4 but no community centering"
118,"Nook CRM","https://nookcrm.com",35.4,29,0,0.65,MEDIUM,NONE,criteria,"Community organising CRM; moderate C2+C3; limited evidence of democratic governance of tool itself"
119,"PolicyKit","https://policykit.org",35.4,29,0,0.6,MEDIUM,NONE,criteria,"PolicyKit's empowering-online-communities-to-evolve-their-own-governance framing positions it at the collaborates end of the IAP2 spectrum. The academic research context means limited evidence of deployment in communities facing structural exclusion; the tool is currently positioned for online community management rather than the harder governance problems I care about most."
120,"Diia","https://diia.gov.ua",34.2,33,-6,0.75,LOW,MEDIUM,modifier,"M4 applied: wartime data centralisation expansion without commensurate accountability governance; formal service access mechanism for Ukrainian citizens; pop_risk MEDIUM; government-operated limits C5"
121,"Engine Room Library","https://library.theengineroom.org",34.1,28,0,0.75,LOW,NONE,criteria,"Advocacy and civil society resource library; moderate C4 critical framing; C1 limited"
122,"Abstract Wikipedia","https://meta.wikimedia.org/wiki/abstract_wikipedia",34.1,28,0,0.70,MEDIUM,NONE,criteria,"Knowledge equity framing; moderate C2; limited participatory design evidence at community level"
123,"Pursuance Project","https://pursuanceproject.org",34.1,28,0,0.5,MEDIUM,NONE,criteria,"Pursuance provides secure collaborative infrastructure for activists and journalists — an enabling layer rather than a power correction mechanism in itself. The free open-source provision and focus on civil society rather than institutional actors gives it grassroots credibility. The absence of any documentation of what it has been used for or who uses it makes substantive assessment impossible."
124,"Who Targets Me Trends","https://trends.whotargets.me",34.1,28,0,0.6,MEDIUM,NONE,criteria,"Who Targets Me Trends makes political advertising targeting legible to researchers and election monitors across 60+ countries — a transparency function for digital political power. The score is constrained by the informs level democratic depth (researchers can see the targeting but affected citizens cannot contest it) and the lack of specific excluded-population framing in how political advertising harms are distributed."
125,"Objector.ai","https://objector.ai",33.8,31,-4,0.5,MEDIUM,NONE,criteria,"Objector.ai lowers the barrier to filing formal planning objections, which is genuinely useful for communities that find planning bureaucracy intimidating, and there is documented evidence of community empowerment (Moylgrove Community). The M6 reduction applies because the AI-generated letter approach treats planning objection as a technical drafting problem rather than examining how planning systems systematically exclude certain community voices regardless of how well-drafted their objections are."
126,"Mastodon","https://github.com/mastodon/mastodon",32.9,27,0,0.85,LOW,HIGH,criteria,"Federated social network; HIGH pop_risk: infrastructure-level tool without explicit equity mandate for excluded populations"
127,"Monitor Mamdani","https://monitormamdani.com/",32.9,27,0,0.65,MEDIUM,NONE,criteria,"Political accountability monitoring tool; moderate C5 underdog signal; limited participatory engagement"
128,"Turn2Us Benefits Calculator","https://www.turn2us.org.uk/benefits-calculator",32.4,29,-3,0.70,LOW,NONE,modifier,"M6 applied: informational benefits eligibility tool; low-income households as named population but exclusion mechanism (complex welfare system) not explicitly named; DWP partnership reduces C5"
129,"Community Notes Analysis","https://github.com/travisbrown/birdwatch",31.7,26,0,0.70,MEDIUM,NONE,criteria,"Strong C4 critical analysis of platform power; limited C2+C3; primarily analytical tool"
130,"Coral","https://coralproject.net",31.7,26,0,0.75,LOW,NONE,criteria,"Strong C4 documenting AI bias in non-English moderation and disparity in outcomes; newsrooms not excluded populations; comment infrastructure limits C6; Knight/Mozilla/NYT backing"
131,"CiviCRM","https://civicrm.org",31.7,26,0,0.75,LOW,NONE,criteria,"Open source CRM for nonprofits with community-governed LLC structure; documents accessibility limitations; nonprofits broadly not excluded populations; infrastructure limits democratic depth"
132,"Conservative Party Funding","https://github.com/jrmontag/uk-conservative-party-funding",31.7,26,0,0.35,HIGH,NONE,criteria,"Solo unfunded project exposing UK political funding power asymmetry; C6 suspended and C3/C4 floored per underdog protection (completeness 0.35); strong C5 for solo/unfunded; score above floor"
133,"Participedia","https://participedia.net",31.7,26,0,0.7,MEDIUM,MEDIUM,criteria,"Participedia's crowdsourced documentation of 1,800+ participatory democracy cases creates a genuinely useful epistemic resource for practitioners, and the multi-university governance demonstrates some participatory process. The communities documented in the cases are rarely the same communities contributing documentation — the knowledge infrastructure runs through researchers and practitioners, not the participants themselves."
134,"Society for Hopeful Technologists","https://societyforhopefultechnologists.org",31.7,26,0,0.5,HIGH,NONE,criteria,"The Society for Hopeful Technologists is creating solidarity infrastructure for tech workers who want to push back against harmful deployments — something I think matters. The pre-launch status and informal network structure limit evidence-based scoring significantly; I note it as genuinely underdog-positioned (earning C5 credit), but there is insufficient evidence to score the other criteria with confidence."
135,"Unpaywall Browser Extension","https://unpaywall.org/products/extension",31.7,26,0,0.6,MEDIUM,NONE,criteria,"Unpaywall reduces the barrier to accessing legally available open access papers for researchers who lack institutional subscriptions — a genuine if modest epistemic power correction. The beneficiary population includes students and citizens from under-resourced institutions, which earns C2 credit. The tool is an access facilitator rather than a mechanism that changes who produces or controls knowledge."
136,"Deliberation & Technology (DelibTech) Network","https://www.demnext.org/projects/delibtech-network",31.7,26,0,0.4,HIGH,NONE,criteria,"A practitioner network for deliberative democracy technology is genuinely useful infrastructure, but the primary beneficiaries are technologists and practitioners rather than communities whose deliberation is being designed. The score reflects the democratic depth of network governance and the importance of the domain without overstating the evidence base."
137,"FarmerChat","https://farmerchat.digitalgreen.org",31.5,34,-10,0.65,MEDIUM,NONE,modifier,"M2 applied: AI tool funded by Gates/CGIAR collecting agricultural data from smallholder farmers under empowerment framing; strong C2 for Global South farmers as specific excluded population undermined by profiling-as-empowerment pattern"
138,"EntitledTo","https://www.entitledto.co.uk",31.1,28,-3,0.70,LOW,NONE,modifier,"M6 applied: informational benefits calculator for low-income households; DWP-integrated; benefit claimants as named population; UK only; no disparity tracking"
139,"DISARM Frameworks","https://github.com/disarmfoundation/disarmframeworks",30.5,25,0,0.80,LOW,NONE,criteria,"Counter-disinformation framework; moderate C1+C4; limited community participation and excluded population focus"
140,"Open Council Network","https://opencouncil.network",30.5,25,0,0.6,MEDIUM,NONE,criteria,"Open Council Network tracks local government decision-making and produces weekly summaries — a useful transparency function for citizens and campaigners wanting to monitor their councils. The community-led governance with advisory board gives it more democratic process than most transparency tools, but it sits firmly at the informs level and the dossier provides no evidence of engagement with the communities most affected by council decisions."
141,"MP Watch","https://www.mpwatch.org",30.5,25,0,0.4,HIGH,NONE,criteria,"Connecting citizens with MPs on climate action addresses the accountability gap between electoral promises and actual voting records in a specific issue domain. The underdog signal for a small advocacy organization is real. The score is limited by generic beneficiary framing (citizens, campaigners, MPs) without specific analysis of which communities are most excluded from climate accountability conversations."
142,"Wikidata","https://www.wikidata.org",30.5,25,0,0.55,LOW,HIGH,criteria,"Wikidata is an epistemic commons that partially corrects the exclusion of non-Western and non-English knowledge from machine-readable data infrastructure. The documented awareness of coverage gaps and ongoing initiatives for Global South representation show methodological self-awareness. I flag high popularity risk — Wikidata is one of the most well-known open data projects globally, and the score is based on genuine criteria assessment rather than documentation richness."
143,"OA.Works","https://oa.works/",30.1,28,-4,0.7,MEDIUM,NONE,criteria,"OA.Works addresses the knowledge equity problem in scholarly publishing through tools like OA.Report for compliance tracking — the global South deployment evidence is meaningful. The M6 reduction reflects my concern that the tools primarily help institutions comply with mandates rather than examining how open access policy itself might reproduce inequalities in whose research is valued as worth open-accessing."
144,"deliberAIde","https://www.deliberaide.com",30.1,28,-4,0.55,MEDIUM,NONE,criteria,"AI-supported dialogue analysis in government consultations has genuine deliberative democracy value — structured synthesis of consultation inputs can counteract the well-documented problem of consultation responses from organized interests drowning out individual voices. I apply M4 at weak magnitude because the documented limitations (language model bias in non-English contexts, limited transparency on training data) are acknowledged but not fully resolved."
145,"CivicPress","https://civicpress.dev",30.0,20,0,0.30,HIGH,NONE,[floor],"Underdog protection floor: completeness 0.30 < 0.4; solo self-funded project founded 2025; C6 suspended; minimal dossier data"
146,"Filmot","https://filmot.com",30.0,18,0,0.30,HIGH,NONE,[floor],"Underdog protection floor: completeness 0.30 < 0.4; solo indie YouTube subtitle search; patronage model; C6 suspended; minimal dossier data"
147,"Channel","https://channel.org",30.0,19,0,0.30,HIGH,NONE,[floor],"Underdog protection floor: completeness 0.30 < 0.4; Newsmast Foundation content platform; C6 suspended; minimal dossier data"
148,"CoTSI","https://cyber.fsi.stanford.edu",30.0,17,0,0.30,HIGH,NONE,[floor],"Underdog protection floor: completeness 0.30 < 0.4; Stanford Internet Observatory academic database on verification markets; C6 suspended; minimal dossier data"
149,"Ddocs","https://ddocs.org",30.0,17,0,0.20,HIGH,NONE,[floor],"Underdog protection floor: completeness 0.20 < 0.4; decentralised documentation platform; community_ownership=true; C6 suspended; minimal dossier data"
150,"Dovetail","https://dovetail.uk",30.0,17,0,0.30,HIGH,NONE,[floor],"Underdog protection floor: completeness 0.30 < 0.4; UK nonprofit digital matchmaking; Nesta/Comic Relief; C6 suspended; minimal dossier data"
151,"DoGooder","https://dogooder.co",30.0,20,0,0.35,HIGH,NONE,[floor],"Underdog protection floor: completeness 0.35 < 0.4; civic advocacy platform; dead_link at scrape; C6 suspended; minimal dossier data"
152,"Collab.Land","https://collab.land",30.0,15,0,0.30,HIGH,NONE,[floor],"Underdog protection floor: completeness 0.30 < 0.4; VC-backed token-gated membership; C6 suspended; minimal dossier data"
153,"CivicMatch","https://civicmatch.org",30.0,16,0,0.25,HIGH,NONE,[floor],"Underdog protection floor: completeness 0.25 < 0.4; civic opportunity matching platform; C6 suspended; minimal dossier data"
154,"Dunadyne","https://dunadyne.com",30.0,15,0,0.20,HIGH,NONE,[floor],"Underdog protection floor: completeness 0.20 < 0.4; DUNA collective intelligence SaaS; C6 suspended; minimal dossier data"
155,"Sunlight Foundation Community Methodology","https://communities.sunlightfoundation.com/methodology",30.0,15,0,0.10,HIGH,NONE,[floor],"Underdog protection floor: no dossier file found; completeness 0.10; maximum uncertainty; C6 suspended"
156,"Granitt","https://granitt.io",30.0,13,0,0.15,HIGH,NONE,[floor],"Underdog protection floor applied: dossier_completeness 0.15 < 0.4; minimal dossier data; HIGH uncertainty"
157,"Hand-Written Petition Scanner","https://hand-written-petition-scanner.streamlit.app",30.0,24,0,0.30,HIGH,NONE,[floor],"Underdog protection floor applied: dossier_completeness 0.30 < 0.4; dead link; petition accessibility tool for excluded populations"
158,"Ladder Hub","https://ladderhub.org/",30.0,19,0,0.25,HIGH,NONE,[floor],"Underdog protection floor applied: dossier_completeness 0.25 < 0.4; limited data; apparent community focus"
159,"Mapping.kids","https://mapping.kids",30.0,17,0,0.10,HIGH,NONE,[floor],"Underdog protection floor applied: dossier_completeness 0.10 < 0.4; all null dossier fields; HIGH uncertainty"
160,"liberopinion.com","https://liberopinion.com",30.0,16,0,0.00,HIGH,NONE,[floor],"Underdog protection floor applied: no dossier file found; completeness 0.00; maximum uncertainty"
161,"Membership (prototype)","https://medium.com/@abscond/membership-a-prototype-ea822b2683b",30.0,19,0,0.20,HIGH,NONE,[floor],"Underdog protection floor applied: dossier_completeness 0.20 < 0.4; 403 access; limited dossier data"
162,"Agreement Engine","https://medium.com/metagov/introducing-the-agreement-engine-bf03b6d5c16c",30.0,21,0,0.25,HIGH,NONE,[floor],"Underdog protection floor applied: dossier_completeness 0.25 < 0.4; 403 access; governance tooling"
163,"Local Deep Researcher","https://local-deep-researcher-hnmh.vercel.app/",30.0,12,0,0.20,HIGH,NONE,[floor],"Underdog protection floor applied: dossier_completeness 0.20 < 0.4; 404 access; minimal dossier data"
164,"Unknown Academic Paper (SSRN 5351275)","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5351275",30.0,23,0,0.1,HIGH,NONE,criteria,"Uncertainty: HIGH. The dossier is effectively empty — no communities served, no issue area, no project description. The underdog protection floor applies because the paper could document important civic tech research that lacks a rich web presence; until the content can be read, I cannot score this project meaningfully and apply the minimum floor."
165,"[Unidentified — tracking-template-38b4c]","https://tracking-template-38b4c.web.app",30.0,0,0,0.0,HIGH,NONE,criteria,"Uncertainty: HIGH. The dossier is entirely blank — the Firebase web app URL provides no identifying information about the project's purpose, communities, or mechanism. I apply the underdog protection floor given the absence of documentation, but this is an abstention in all but formality."
166,"Consciousness Evolution Operating System (ConSoc)","https://www.consoc.io",30.0,20,0,0.15,HIGH,NONE,criteria,"The dossier for ConSoc is almost entirely blank — tagline 'Feel Symbiotic Cooperation' and civic technology practitioners as beneficiaries is all I have to work with. The constitution requires me to apply underdog protection for completeness below 0.4, and the floor of 30 applies. I cannot make any substantive scoring judgment about this project."
167,"We Live It","https://www.welivedit.ai",30.0,20,0,0.2,HIGH,NONE,criteria,"AI-powered community-driven urban planning is a domain I value, but the dossier is almost empty — even the primary_users_or_beneficiaries field appears broken. I apply the underdog floor of 30 because completeness is below 0.4. I cannot assess whether this is a genuinely empowering tool or a commercial AI platform using community engagement language without substance."
168,"Aragon","https://aragon.org",29.9,27,-3,0.70,MEDIUM,NONE,modifier,"M6 applied: DAO governance for VC-backed crypto entities; token holders not excluded populations; Polychain/Dragonfly/Consensys backing; limited civic relevance"
169,"Open Data Editor (ODE)","https://okfn.org/en/projects/open-data-editor/",29.9,27,-3,0.6,MEDIUM,NONE,criteria,"Open Data Editor makes tabular data validation accessible to non-technical actors in civil society and government — a genuine democratisation of data quality. The Global South deployment earns C2 credit. The M6 reduction reflects the tool's framing as technical data hygiene rather than engaging with the political questions of why certain data standards are adopted and whose knowledge gets counted as valid."
170,"Civic Tech Field Guide","https://civictech.guide",29.3,24,0,0.65,MEDIUM,NONE,criteria,"Explicitly acknowledges Western bias and limited Global South representation as core limitation; strongest honest C4 self-examination of type; underdog_signal; FNF funding"
171,"openparliament.ca","https://openparliament.ca/",29.3,24,0,0.6,MEDIUM,NONE,criteria,"openparliament.ca makes Canadian parliamentary activity searchable by individual, making political accountability more accessible to citizens and researchers. The individual/grassroots maintainer gives it genuine C5 underdog credibility. What limits the score is the informs democratic depth — users can search what their representatives said, but the tool gives them no mechanism to influence what happens next."
172,"FixMyStreet","https://www.fixmystreet.com",29.3,24,0,0.65,LOW,NONE,criteria,"FixMyStreet addresses citizen-council accountability gaps in street maintenance — a real if relatively low-stakes power asymmetry. What limits the score is that the mechanism is informational (report a problem) rather than structural (guarantee a response), coverage varies significantly by local authority, and there is no evidence that the design examined which communities are systematically excluded from reporting or receiving responses."
173,"WriteToThem","https://www.writetothem.com",29.3,24,0,0.55,MEDIUM,NONE,criteria,"Making it easier to contact elected representatives is a genuine democratic access mechanism, particularly for people unfamiliar with the political system. The limitation that defines the score is that WriteToThem cannot guarantee or even track responsive rates from elected officials, which means the tool improves access to the mechanism without examining whether that mechanism is itself responsive to ordinary constituents relative to organized interests."
174,"Local Intelligence Hub","https://www.localintelligencehub.com",29.3,24,0,0.5,MEDIUM,NONE,criteria,"Data for climate campaigners to demonstrate public mandate to MPs is useful organizing infrastructure, but the beneficiaries — campaigners and organizers — are already-organized civic actors rather than communities excluded from political processes. The members-only restriction and variable dataset currency limit both the transparency of the tool and the ability to assess its equity impacts."
175,"Constitute Project","https://constituteproject.org",28.0,23,0,0.70,LOW,NONE,criteria,"Constitutional database used in high-stakes design processes; documents limitation of focusing on written documents over informal practices; researchers/courts not excluded populations; NED/OSF/Google.org funding"
176,"Moral Machine","https://moralmachine.net",28.0,23,0,0.70,LOW,NONE,criteria,"Ethical AI crowdsourcing; moderate C3+C4; but limited direct community empowerment or excluded population centering"
177,"Open Letter","https://openletter.earth",28.0,23,0,0.5,MEDIUM,NONE,criteria,"Open Letter facilitates open letter campaigns with documented outcomes like making a Brussels avenue car-free. This is consults level democratic engagement — expressing collective views to decision-makers without binding them to respond. The generic civic beneficiary framing and absence of any self-examination of whether open letter campaigns reach beyond already-engaged civic participants limits the score."
178,"Tech Coops List","https://tech-coops.xyz",28.0,23,0,0.5,MEDIUM,NONE,criteria,"The Tech Coops List documents an alternative model of technology production where workers own the means — directly relevant to my interest in intra-class dynamics and who benefits from digital labour. But this is an information resource rather than a mechanism that redistributes power within the tech sector; the directory format limits the democratic depth score."
179,"Internet Archive Wayback Machine","https://web.archive.org",28.0,23,0,0.7,LOW,HIGH,criteria,"The Internet Archive preserves the historical record against institutional erasure, which is a genuine epistemic power asymmetry correction — governments and corporations can unpublish evidence, but the Archive provides persistent public access. I flag high popularity risk. The primary limitation is that the Archive operates as a passive repository rather than an active contestability mechanism."
180,"TheyWorkForYou","https://www.theyworkforyou.com",28.0,23,0,0.6,LOW,MEDIUM,criteria,"Parliamentary transparency is a genuine democratic need and TheyWorkForYou does it well, but the primary limitation is that making voting records accessible informs citizens without giving them any mechanism to act on that information. The score reflects a solid information asymmetry correction without the structural contestability that would lift it higher."
181,"Campaign Tracker","https://www.campaigntracker.nl/en",28.0,23,0,0.6,MEDIUM,NONE,criteria,"Political advertising spend transparency in Dutch elections with documented policy impact (2023 electoral law changes) is a genuine accountability mechanism. What limits the higher bracket is that journalists and researchers benefit more directly than the voters who are the nominal targets of the advertising — the accountability circuit runs through professional intermediaries rather than directly empowering affected communities."
182,"OpenSanctions","https://www.opensanctions.org",28.0,23,0,0.55,MEDIUM,NONE,criteria,"Open source sanctions and PEP data is useful investigative infrastructure, but the primary beneficiaries — compliance professionals, financial institutions, investigators — are professional and institutional actors rather than populations affected by the sanctioned individuals' actions. The documented LLM error issues and human moderation requirements show methodological honesty."
183,"Full Fact AI","https://fullfact.org/ai",26.9,27,-6,0.80,LOW,NONE,modifier,"M4 applied: AI processing 333k sentences/day with limited transparency on algorithmic decision-making; fact-checkers not excluded populations; strong deployment record; Google/Facebook/Omidyar/NED funding"
184,"youtube-dl","https://github.com/ytdl-org/youtube-dl",26.8,22,0,0.75,LOW,HIGH,criteria,"HIGH pop_risk: infrastructure tool without equity mandate; some C5 underdog signal from copyright battles"
185,"In The News","https://en.wikipedia.org/wiki/Wikipedia:In_the_news",26.8,22,0,0.55,MEDIUM,NONE,criteria,"Volunteer-driven Wikipedia news section; documents Western/coverage bias as limitation; general public as primary users; limited governance depth; Wikimedia Foundation"
186,"Digital Account Management Toolkit","https://digitalcharity.org.uk",26.8,22,0,0.60,MEDIUM,NONE,criteria,"Nonprofit account security for civil society; civil society as indirect beneficiaries; limited excluded population focus; Digital Charity Lab; UK/Ireland only"
187,"GrantNav","https://grantnav.threesixtygiving.org",26.8,22,0,0.70,LOW,NONE,criteria,"Funding transparency tool; moderate C1+C4; limited community participation design"
188,"JOSS","https://joss.theoj.org",26.8,22,0,0.70,LOW,NONE,criteria,"Open source academic publishing; moderate C3+C4; limited excluded population centering"
189,"Open Access – Transparency International UK","https://openaccess.transparency.org.uk",26.8,22,0,0.6,MEDIUM,NONE,criteria,"Open Access TI UK provided beneficial ownership transparency data that supported civil society advocacy on corporate accountability. The platform appears to be offline as of 2026, raising sustainability questions, and the primary beneficiaries (journalists, compliance professionals) are several removes from the communities harmed by financial opacity."
190,"Parse The Bill","https://parsethebill.com",26.8,22,0,0.5,MEDIUM,NONE,criteria,"Parse The Bill reduces the complexity barrier to understanding UK parliamentary legislation — a useful information equity function. The AI-accuracy caveat is honestly stated. What it doesn't address is the structural inequality of who can act on understanding a bill: the legislative participation gap is about access to institutional power, not just bill comprehension."
191,"Spartacus","https://spartacus.app",26.8,22,0,0.4,MEDIUM,NONE,criteria,"Spartacus's conditional commitment mechanism is interesting as a collective action solution, but the dossier gives no evidence of who is using it, what problems it is solving, or whether it actually helps excluded communities overcome collective action barriers rather than helping already-organised groups coordinate more efficiently."
192,"Mastodon C","https://www.mastodonc.com",26.8,22,0,0.5,MEDIUM,NONE,criteria,"Data science and analytics consultancy for open data and civic technology is infrastructure-level work that enables other accountability mechanisms. The documented policy contributions (UK open data standards, EU data governance) show genuine impact. The score is limited by the professional service model — the direct beneficiaries are government and civil society clients."
193,"Who Posted What?","https://whopostedwhat.com",26.8,22,0,0.5,MEDIUM,NONE,criteria,"A grassroots investigative tool enabling fact-checkers to search Facebook content for public interest work — the individual authorship and access restrictions demonstrate both structural disadvantage (high C5) and methodological care (access limited to verified public interest workers). The score is primarily driven by the underdog signal and the genuine epistemic accountability function."
194,"Open Supply Hub","https://opensupplyhub.org",26.1,28,-8,0.7,MEDIUM,MEDIUM,modifier,"Open Supply Hub's global supply chain mapping creates transparency that advocacy organisations can use to pressure brands on worker conditions. The M2 reduction reflects my concern that the data flows primarily to brands and retailers rather than to the workers in those facilities — transparency enabling better institutional management of supply chains is not the same as transparency that gives workers power over their conditions."
195,"Frankenstein Bill","https://gordonguthrie.github.io/frankensteinbill",25.6,21,0,0.70,MEDIUM,NONE,criteria,"Legislative transparency tool; moderate C5 underdog signal; limited participatory design"
196,"Find Local Consultations","https://gov.uk/find-local-consultations",25.6,21,0,0.65,LOW,NONE,criteria,"Government consultation access tool; moderate C1+C6; limited community engagement design"
197,"Remember to Vote","https://remembertovote.org.uk",25.6,21,0,0.5,MEDIUM,NONE,criteria,"Remember to Vote addresses a specific participation barrier — voter ID requirements creating confusion about polling station logistics — with a free SMS reminder service. This is informs level democratic engagement: reminding people of a right they already have rather than addressing why some communities participate less in elections."
198,"The Government Says","https://thegovernmentsays.com",25.6,21,0,0.5,MEDIUM,NONE,criteria,"The Government Says aggregates UK government press releases in real time — a monitoring tool that reduces information asymmetry between government communications professionals and those tracking official messaging. This is primarily useful for journalists and researchers; the community-driven governance is noted but the tool sits firmly at the informs level."
199,"Bluesky Social","https://bsky.app",25.0,23,-3,0.65,LOW,HIGH,modifier,"M6 applied: VC-backed consumer social app without explicit equity mandate; pop_risk HIGH; Sequoia/Benchmark/Khosla backing; general public as primary users limit C2"
200,"Docs Plus","https://docsplus.com",24.4,20,0,0.45,MEDIUM,NONE,criteria,"Open-source collaborative docs with community_ownership; thin dossier reduces confidence; Grant for Web/Nesta; limited excluded population focus"
