rank,project_slug,project_name,raw_score,adjusted_score,final_score,rationale
199,agreement-engine,Agreement Engine,42.4,42.4,42.4,C1=1 C2=6 C3=3 C4=4 C5=9 C6=5 C7=3 C8=3
200,pastecal,Pastecal,42.4,42.4,42.4,C1=1 C2=6 C3=3 C4=4 C5=9 C6=5 C7=3 C8=3
201,open-access-transparency-international-uk,Open Access – Transparency International UK,42.4,42.4,42.4,C1=1 C2=3 C3=6 C4=4 C5=5 C6=9 C7=3 C8=3
202,groupthink-openpolitics-votebot,Groupthink (OpenPolitics Votebot),42.4,42.4,42.4,C1=1 C2=6 C3=3 C4=4 C5=9 C6=5 C7=3 C8=3
203,shared-digital-guides,Shared Digital Guides,42.4,42.4,42.4,C1=1 C2=3 C3=6 C4=4 C5=5 C6=9 C7=3 C8=3
204,uk-housing-data-standards,UK Housing Data Standards,42.4,42.4,42.4,C1=1 C2=6 C3=3 C4=4 C5=5 C6=9 C7=3 C8=3
205,dogooder,DoGooder,41.8,41.8,41.8,C1=1 C2=6 C3=5 C4=4 C5=1 C6=7 C7=8 C8=3
206,plausible-analytics,Plausible Analytics,41.8,41.8,41.8,C1=2 C2=3 C3=6 C4=4 C5=5 C6=7 C7=3 C8=3
207,govtrack-us,GovTrack.us,41.8,41.8,41.8,C1=1 C2=3 C3=3 C4=4 C5=5 C6=9 C7=8 C8=6
208,sci-hub,Sci-Hub,41.2,41.2,41.2,C1=1 C2=6 C3=6 C4=4 C5=1 C6=5 C7=8 C8=3
209,who-posted-what,Who Posted What?,41.2,41.2,41.2,C1=1 C2=6 C3=5 C4=4 C5=1 C6=5 C7=8 C8=6
210,public-media-stack,Public Media Stack,41.2,41.2,41.2,C1=1 C2=6 C3=5 C4=4 C5=1 C6=9 C7=3 C8=3
211,new-public-roundabout,New_ Public Roundabout,41.2,41.2,41.2,C1=1 C2=6 C3=3 C4=7 C5=1 C6=9 C7=3 C8=3
212,uk-parliament-developer-portal,UK Parliament Developer Portal,41.2,41.2,41.2,C1=1 C2=8 C3=5 C4=4 C5=1 C6=6 C7=3 C8=3
213,the-decelerator,The Decelerator,41.2,41.2,41.2,C1=1 C2=6 C3=5 C4=4 C5=1 C6=9 C7=3 C8=3
214,understanding-your-morality,Understanding Your Morality,41.2,41.2,41.2,C1=1 C2=6 C3=5 C4=4 C5=1 C6=9 C7=3 C8=3
215,fixmyblock,FixMyBlock,41.2,41.2,41.2,C1=1 C2=6 C3=5 C4=4 C5=1 C6=9 C7=3 C8=3
216,planit,PlanIT,40.6,40.6,40.6,C1=1 C2=8 C3=3 C4=4 C5=1 C6=7 C7=3 C8=6
217,public-editor,Public Editor,40.6,40.6,40.6,C1=1 C2=6 C3=6 C4=4 C5=1 C6=7 C7=3 C8=3
218,sugartrail,Sugartrail,40.6,40.6,40.6,C1=1 C2=3 C3=5 C4=4 C5=9 C6=5 C7=3 C8=3
219,beckton,Beckton,40.6,40.6,40.6,C1=1 C2=3 C3=5 C4=4 C5=9 C6=5 C7=3 C8=3
220,theft-bisect,Theft Bisect,40.6,40.6,40.6,C1=1 C2=3 C3=5 C4=4 C5=9 C6=5 C7=3 C8=3
221,openelections-leaflet-scraper-and-parser,OpenElections Leaflet Scraper and Parser,40.6,40.6,40.6,C1=1 C2=3 C3=5 C4=4 C5=9 C6=5 C7=3 C8=3
222,django-collaborative,django-collaborative,40.6,40.6,40.6,C1=1 C2=3 C3=5 C4=4 C5=9 C6=5 C7=3 C8=3
223,granicus,Granicus,43.5,40.5,40.5,C1=2 C2=8 C3=6 C4=4 C5=1 C6=5 C7=3 C8=3
224,can-dgsi-127-age-assurance-technologies-standard,CAN/DGSI 127 - Age Assurance Technologies Standard,43.5,40.5,40.5,C1=2 C2=8 C3=6 C4=4 C5=1 C6=5 C7=3 C8=3
225,idealist,Idealist,40.0,40.0,40.0,C1=1 C2=6 C3=3 C4=4 C5=1 C6=7 C7=8 C8=6
226,charmverse,CharmVerse,40.0,40.0,40.0,C1=1 C2=6 C3=3 C4=4 C5=5 C6=7 C7=3 C8=3
227,manifold-markets,Manifold Markets,40.0,40.0,40.0,C1=1 C2=6 C3=3 C4=4 C5=5 C6=7 C7=3 C8=3
228,prolific,Prolific,45.9,39.9,39.9,C1=2 C2=6 C3=8 C4=4 C5=1 C6=7 C7=3 C8=3
229,the-commons-social-change-library,The Commons Social Change Library,39.4,39.4,39.4,C1=1 C2=6 C3=3 C4=4 C5=1 C6=9 C7=3 C8=6
230,interoperable-deliberative-tools,Interoperable Deliberative Tools,39.4,39.4,39.4,C1=2 C2=6 C3=3 C4=4 C5=5 C6=5 C7=3 C8=3
231,who-targets-me-trends,Who Targets Me Trends,39.4,39.4,39.4,C1=1 C2=3 C3=6 C4=4 C5=1 C6=9 C7=3 C8=6
232,missing-numbers,Missing Numbers,39.4,39.4,39.4,C1=1 C2=3 C3=6 C4=4 C5=1 C6=9 C7=3 C8=6
233,urbanistai,UrbanistAI,42.4,39.4,39.4,C1=2 C2=8 C3=3 C4=4 C5=1 C6=7 C7=3 C8=6
234,shineyoureye,ShineYourEye,39.4,39.4,39.4,C1=1 C2=3 C3=6 C4=4 C5=1 C6=9 C7=3 C8=6
235,landlord-tech-watch,Landlord Tech Watch,39.4,39.4,39.4,C1=1 C2=3 C3=3 C4=6 C5=9 C6=5 C7=3 C8=3
236,rahvaalgatus,Rahvaalgatus,39.4,39.4,39.4,C1=1 C2=3 C3=3 C4=6 C5=9 C6=5 C7=3 C8=3
237,relational-tech-project,Relational Tech Project,39.4,39.4,39.4,C1=1 C2=3 C3=3 C4=6 C5=9 C6=5 C7=3 C8=3
238,rightdd,RightDD,38.8,38.8,38.8,C1=1 C2=6 C3=5 C4=4 C5=1 C6=7 C7=3 C8=3
239,the-guide-to-major-trusts-2025-26,The Guide to Major Trusts 2025/26,38.8,38.8,38.8,C1=1 C2=3 C3=5 C4=4 C5=1 C6=9 C7=8 C8=3
240,whoisology,Whoisology,38.8,38.8,38.8,C1=1 C2=6 C3=5 C4=4 C5=1 C6=7 C7=3 C8=3
241,cotech,CoTech,38.8,38.8,38.8,C1=2 C2=3 C3=3 C4=6 C5=5 C6=7 C7=3 C8=3
242,charity-digital-skills-report,Charity Digital Skills Report,38.8,38.8,38.8,C1=1 C2=3 C3=5 C4=4 C5=1 C6=9 C7=8 C8=3
243,collab-land,Collab.Land,38.8,38.8,38.8,C1=1 C2=6 C3=5 C4=4 C5=1 C6=7 C7=3 C8=3
244,dunadyne,Dunadyne,38.8,38.8,38.8,C1=1 C2=6 C3=5 C4=4 C5=1 C6=7 C7=3 C8=3
245,demtech-navigator,DemTech Navigator,38.2,38.2,38.2,C1=1 C2=6 C3=6 C4=4 C5=1 C6=5 C7=3 C8=3
246,strike-map,Strike Map,38.2,38.2,38.2,C1=1 C2=3 C3=5 C4=6 C5=5 C6=5 C7=3 C8=3
247,cotsi-cyber-operational-threat-situational-intelligence,COTSI (Cyber Operational Threat Situational Intelligence),38.2,38.2,38.2,C1=1 C2=6 C3=6 C4=4 C5=1 C6=5 C7=3 C8=3
248,keep-it-in-the-community,Keep It In The Community,38.2,38.2,38.2,C1=1 C2=5 C3=3 C4=6 C5=1 C6=9 C7=3 C8=3
249,opora,ОПОРА (Opora),38.2,38.2,38.2,C1=1 C2=6 C3=3 C4=6 C5=1 C6=5 C7=8 C8=3
250,parliament-watch-uganda,Parliament Watch Uganda,37.6,37.6,37.6,C1=1 C2=3 C3=6 C4=4 C5=1 C6=9 C7=3 C8=3
251,digital-account-management-toolkit,Digital Account Management Toolkit,37.6,37.6,37.6,C1=1 C2=3 C3=6 C4=4 C5=1 C6=9 C7=3 C8=3
252,right-to-know,Right To Know,37.6,37.6,37.6,C1=1 C2=3 C3=5 C4=4 C5=1 C6=9 C7=3 C8=6
253,wikum,Wikum,37.6,37.6,37.6,C1=1 C2=6 C3=3 C4=4 C5=5 C6=5 C7=3 C8=3
254,find-local-consultations,Find local consultations,37.6,37.6,37.6,C1=1 C2=8 C3=3 C4=4 C5=1 C6=6 C7=3 C8=3
255,open-letter,Open Letter,37.6,37.6,37.6,C1=1 C2=6 C3=3 C4=4 C5=1 C6=9 C7=3 C8=3
256,membership,Membership,37.1,37.1,37.1,C1=1 C2=3 C3=3 C4=4 C5=9 C6=5 C7=3 C8=3
257,mapped,Mapped,37.1,37.1,37.1,C1=1 C2=3 C3=3 C4=4 C5=5 C6=9 C7=3 C8=3
258,mp-twitter-bios,MP Twitter Bios,37.1,37.1,37.1,C1=1 C2=3 C3=3 C4=4 C5=9 C6=5 C7=3 C8=3
259,vote-for-policies,Vote for Policies,37.1,37.1,37.1,C1=1 C2=3 C3=3 C4=4 C5=1 C6=9 C7=8 C8=6
260,farmerchat,FarmerChat,42.9,36.9,36.9,C1=2 C2=6 C3=5 C4=4 C5=1 C6=9 C7=3 C8=3
261,the-list,The List,36.5,36.5,36.5,C1=1 C2=6 C3=5 C4=4 C5=1 C6=5 C7=3 C8=3
262,filmot,Filmot,36.5,36.5,36.5,C1=1 C2=6 C3=5 C4=4 C5=1 C6=5 C7=3 C8=3
263,mp-watch,MP Watch,36.5,36.5,36.5,C1=1 C2=8 C3=3 C4=4 C5=1 C6=5 C7=3 C8=3
264,violation-tracker-uk,Violation Tracker UK,35.9,35.9,35.9,C1=1 C2=3 C3=5 C4=4 C5=1 C6=9 C7=3 C8=3
265,citizens-advice-tableau-public-profile,Citizens Advice Tableau Public Profile,35.9,35.9,35.9,C1=1 C2=3 C3=5 C4=4 C5=1 C6=9 C7=3 C8=3
266,civicmatch,CivicMatch,35.9,35.9,35.9,C1=1 C2=3 C3=5 C4=4 C5=1 C6=9 C7=3 C8=3
267,worker-info-exchange,Worker Info Exchange,35.9,35.9,35.9,C1=1 C2=3 C3=5 C4=4 C5=1 C6=9 C7=3 C8=3
268,watch-duty,Watch Duty,35.9,35.9,35.9,C1=1 C2=3 C3=5 C4=4 C5=1 C6=9 C7=3 C8=3
269,dovetail,Dovetail,35.9,35.9,35.9,C1=1 C2=3 C3=5 C4=4 C5=1 C6=9 C7=3 C8=3
270,ladder-hub,Ladder Hub,35.9,35.9,35.9,C1=1 C2=3 C3=5 C4=4 C5=1 C6=9 C7=3 C8=3
271,tactical-data-engagement,Tactical Data Engagement,35.9,35.9,35.9,C1=1 C2=3 C3=5 C4=4 C5=1 C6=9 C7=3 C8=3
272,open-council-data-uk,Open Council Data UK,35.3,35.3,35.3,C1=1 C2=3 C3=6 C4=4 C5=1 C6=7 C7=3 C8=3
273,polimonitor,PoliMonitor,35.3,35.3,35.3,C1=1 C2=3 C3=6 C4=4 C5=1 C6=7 C7=3 C8=3
274,oa-report,OA.Report,35.3,35.3,35.3,C1=1 C2=6 C3=3 C4=4 C5=1 C6=7 C7=3 C8=3
275,agencies-for-good,Agencies for Good,35.3,35.3,35.3,C1=1 C2=3 C3=6 C4=6 C5=1 C6=5 C7=3 C8=3
276,parallel-parliament,Parallel Parliament,35.3,35.3,35.3,C1=1 C2=3 C3=6 C4=4 C5=1 C6=7 C7=3 C8=3
277,spartacus,Spartacus,35.3,35.3,35.3,C1=1 C2=6 C3=3 C4=4 C5=1 C6=7 C7=3 C8=3
278,policymogul,PolicyMogul,35.3,35.3,35.3,C1=1 C2=3 C3=6 C4=4 C5=1 C6=7 C7=3 C8=3
279,myactioncenter,MyActionCenter,35.3,35.3,35.3,C1=1 C2=6 C3=3 C4=4 C5=1 C6=7 C7=3 C8=3
280,civic-tech-field-guide,Civic Tech Field Guide,41.2,35.2,35.2,C1=2 C2=6 C3=3 C4=4 C5=1 C6=9 C7=3 C8=6
281,society-for-hopeful-technologists,Society for Hopeful Technologists,34.7,34.7,34.7,C1=1 C2=3 C3=5 C4=7 C5=1 C6=5 C7=3 C8=3
282,land-explorer,Land Explorer,34.7,34.7,34.7,C1=1 C2=3 C3=3 C4=6 C5=1 C6=9 C7=3 C8=3
283,community-tech,Community Tech,34.7,34.7,34.7,C1=1 C2=3 C3=3 C4=6 C5=1 C6=9 C7=3 C8=3
284,we-live-it,We Live It,40.6,34.6,34.6,C1=2 C2=6 C3=5 C4=4 C5=1 C6=7 C7=3 C8=3
285,wardwatch,WardWatch,40.6,34.6,34.6,C1=2 C2=5 C3=6 C4=4 C5=1 C6=7 C7=3 C8=3
286,polimorphic,Polimorphic,40.6,34.6,34.6,C1=2 C2=5 C3=6 C4=4 C5=1 C6=7 C7=3 C8=3
287,moral-machine,Moral Machine,34.1,34.1,34.1,C1=2 C2=3 C3=3 C4=4 C5=5 C6=5 C7=3 C8=3
288,organise,Organise,33.5,33.5,33.5,C1=1 C2=3 C3=5 C4=4 C5=1 C6=7 C7=3 C8=3
289,workincharities,WorkInCharities,33.5,33.5,33.5,C1=1 C2=3 C3=5 C4=4 C5=1 C6=7 C7=3 C8=3
290,tracking-template-38b4c-web-app,tracking-template-38b4c-web-app,33.5,33.5,33.5,C1=1 C2=3 C3=5 C4=4 C5=3 C6=5 C7=3 C8=3
291,unknown-academic-paper-ssrn-5351275,Unknown Academic Paper (SSRN 5351275),33.5,33.5,33.5,C1=1 C2=3 C3=5 C4=4 C5=3 C6=5 C7=3 C8=3
292,nook-crm,Nook CRM,33.5,33.5,33.5,C1=1 C2=3 C3=5 C4=4 C5=1 C6=7 C7=3 C8=3
293,labour-xchange,Labour Xchange,33.5,33.5,33.5,C1=1 C2=3 C3=5 C4=4 C5=1 C6=7 C7=3 C8=3
294,civiclick,CiviClick,33.5,33.5,33.5,C1=1 C2=3 C3=5 C4=4 C5=1 C6=7 C7=3 C8=3
295,verification-report,verification-report,33.5,33.5,33.5,C1=1 C2=3 C3=5 C4=4 C5=3 C6=5 C7=3 C8=3
296,deliberation-technology-delibtech-network,Deliberation & Technology (DelibTech) Network,39.4,33.4,33.4,C1=2 C2=6 C3=3 C4=4 C5=1 C6=9 C7=3 C8=3
297,modular-politics,Modular Politics,32.9,32.9,32.9,C1=1 C2=6 C3=3 C4=4 C5=1 C6=5 C7=3 C8=3
298,neighbourhood-warmth,Neighbourhood Warmth,32.4,32.4,32.4,C1=1 C2=3 C3=3 C4=4 C5=1 C6=9 C7=3 C8=3
299,local-intelligence-hub,Local Intelligence Hub,32.4,32.4,32.4,C1=1 C2=3 C3=3 C4=4 C5=1 C6=9 C7=3 C8=3
300,hand-written-petition-scanner,Hand-Written Petition Scanner,32.4,32.4,32.4,C1=1 C2=3 C3=3 C4=4 C5=5 C6=5 C7=3 C8=3
301,global-fact-check-bot-gfc,Global Fact-Check Bot (GFC),37.6,31.6,31.6,C1=1 C2=6 C3=3 C4=4 C5=1 C6=9 C7=3 C8=3
302,the-accountability-project,The Accountability Project,31.2,31.2,31.2,C1=1 C2=3 C3=5 C4=4 C5=1 C6=5 C7=3 C8=3
303,conservative-party-funding,Conservative Party Funding,31.2,31.2,31.2,C1=1 C2=3 C3=5 C4=4 C5=1 C6=5 C7=3 C8=3
304,openorigins,OpenOrigins,37.1,31.1,31.1,C1=2 C2=6 C3=3 C4=4 C5=1 C6=7 C7=3 C8=3
305,harmonica,Harmonica,37.1,31.1,31.1,C1=2 C2=6 C3=3 C4=4 C5=1 C6=7 C7=3 C8=3
306,objector-ai-2,Objector.ai,37.1,31.1,31.1,C1=2 C2=3 C3=6 C4=4 C5=1 C6=7 C7=3 C8=3
307,nestr,Nestr,37.1,31.1,31.1,C1=2 C2=6 C3=3 C4=4 C5=1 C6=7 C7=3 C8=3
308,viewpoints,Viewpoints,37.1,31.1,31.1,C1=2 C2=6 C3=3 C4=4 C5=1 C6=7 C7=3 C8=3
309,objector-ai,Objector.ai,37.1,31.1,31.1,C1=2 C2=3 C3=6 C4=4 C5=1 C6=7 C7=3 C8=3
310,marks-out-of-tenancy,Marks Out Of Tenancy,30.0,30.0,30.0,C1=1 C2=3 C3=3 C4=4 C5=1 C6=7 C7=3 C8=3
311,openaudience,OpenAudience,30.0,30.0,30.0,C1=1 C2=3 C3=3 C4=4 C5=1 C6=7 C7=3 C8=3
312,timecounts,Timecounts,30.0,30.0,30.0,C1=1 C2=3 C3=3 C4=4 C5=1 C6=7 C7=3 C8=3
313,monitor-mamdani,Monitor Mamdani,30.0,30.0,30.0,C1=1 C2=3 C3=3 C4=4 C5=3 C6=5 C7=3 C8=3
314,postbug,PostBug,30.0,30.0,30.0,C1=1 C2=3 C3=3 C4=4 C5=1 C6=7 C7=3 C8=3
315,kialo,Kialo,35.3,29.3,29.3,C1=1 C2=6 C3=3 C4=4 C5=1 C6=7 C7=3 C8=3
316,parse-the-bill,Parse The Bill,34.7,28.7,28.7,C1=2 C2=3 C3=6 C4=4 C5=1 C6=5 C7=3 C8=3
317,remember-to-vote,Remember to Vote,27.6,27.6,27.6,C1=1 C2=3 C3=3 C4=4 C5=1 C6=5 C7=3 C8=3
318,turbo-phonebank,Turbo Phonebank,27.6,27.6,27.6,C1=1 C2=3 C3=3 C4=4 C5=1 C6=5 C7=3 C8=3
319,consciousness-evolution-operating-system-consoc,Consciousness Evolution Operating System (ConSoc),27.6,27.6,27.6,C1=1 C2=3 C3=3 C4=4 C5=1 C6=5 C7=3 C8=3
320,donotpay,DoNotPay,33.5,27.5,27.5,C1=1 C2=3 C3=5 C4=4 C5=1 C6=7 C7=3 C8=3
321,overton,Overton,33.5,27.5,27.5,C1=1 C2=3 C3=5 C4=4 C5=1 C6=7 C7=3 C8=3
322,empurrando-juntas-ej,Empurrando Juntas (EJ),31.8,25.8,25.8,C1=2 C2=3 C3=3 C4=4 C5=1 C6=7 C7=3 C8=3
