rank,name,url,score,criteria_score,mod_adj,completeness,uncertainty,pop_risk,primary_driver,c1,c2,c3,c4,c5,c6,c7,rationale
115,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,56.2,56.2,0.0,0.73,LOW,LOW,c1,24,20,13,4,2,14,4,Bellingcat Online Investigation Toolkit: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 24/30 pts is the criteria driver.
116,Civic Tech Field Guide,https://civictech.guide,56.2,54.2,2.1,0.64,LOW,LOW,c3,19,6,23,8,4,14,4,Civic Tech Field Guide: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=0.
117,PlaceCal,https://github.com/geeksforsocialchange/placecal,56.2,59.7,-3.5,0.64,LOW,LOW,c3,21,19,23,4,3,14,2,PlaceCal: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
118,Shareyourpaper.org,https://shareyourpaper.org,56.2,56.2,0.0,0.64,LOW,LOW,c2,18,24,13,4,3,15,4,Shareyourpaper.org: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 24/30 pts is the criteria driver.
119,CoTech,https://coops.tech,55.6,54.9,0.7,0.82,LOW,LOW,c3,17,17,23,4,2,14,2,CoTech: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
120,Democracy Club Developer API,https://developers.democracyclub.org.uk/api/v1,55.6,55.6,0.0,0.73,LOW,LOW,c2,17,19,19,4,5,14,2,Democracy Club Developer API: implementation-first scoring; primary driver is C2 at 19/30 pts; deployment modifier M_IMPL=0.
121,GrantNav,https://grantnav.threesixtygiving.org,55.6,53.5,2.1,0.82,LOW,LOW,c1,19,10,19,4,5,18,2,GrantNav: implementation-first scoring; primary driver is C1 at 19/30 pts; deployment modifier M_IMPL=0.
122,Parliament Watch Uganda,https://parliamentwatch.ug/,55.6,54.9,0.7,0.55,MEDIUM,LOW,c3,19,2,28,4,2,22,2,Parliament Watch Uganda: implementation-first scoring; primary driver is C3 at 28/30 pts; deployment modifier M_IMPL=-2.
123,UK Policy Dojo,https://github.com/mikekelly/policy-dojo,55.6,55.6,0.0,0.73,LOW,LOW,c3,18,19,20,4,3,14,2,UK Policy Dojo: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
124,WhatGov,https://www.whatgov.co.uk,55.6,56.9,-1.4,0.73,LOW,LOW,c3,17,19,23,4,3,14,2,WhatGov: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=-2.
125,docs.plus,https://docs.plus,54.9,58.3,-3.5,0.64,LOW,LOW,c1,21,19,20,4,2,14,4,docs.plus: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 21/30 pts is the criteria driver.
126,GRIM (Global Risk Simulator),https://github.com/sentinelteam/grim,54.9,54.9,0.0,0.73,LOW,LOW,c2,18,23,10,6,3,14,5,GRIM (Global Risk Simulator): limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 23/30 pts is the criteria driver.
127,SecureDrop,https://securedrop.org,54.9,58.3,-3.5,0.64,LOW,LOW,c2,18,20,16,4,2,18,6,SecureDrop: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 20/30 pts is the criteria driver.
128,The DAO (Standard DAO Framework),https://github.com/vbuterin/dao,54.9,58.3,-3.5,0.64,LOW,LOW,c1,21,19,20,4,2,14,4,The DAO (Standard DAO Framework): limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 21/30 pts is the criteria driver.
129,The Engine Room Library,https://library.theengineroom.org,54.9,58.3,-3.5,0.64,LOW,LOW,c1,24,19,16,4,3,14,4,The Engine Room Library: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 24/30 pts is the criteria driver.
130,Tracka,https://yourtracka.org,54.9,48.6,6.2,0.64,LOW,LOW,c3,15,2,28,4,4,14,3,Tracka: strong government adoption evidence earns M_IMPL boost of +9 (implementation-first); primary driver is C3 at 28/30 pts.
131,Land Explorer,https://landexplorer.coop,54.2,47.9,6.2,0.64,LOW,LOW,c3,16,9,20,4,4,14,2,Land Explorer: implementation-first scoring; primary driver is C3 at 20/30 pts; deployment modifier M_IMPL=0.
132,Participedia,https://participedia.net,54.2,59.7,-5.6,0.64,LOW,LOW,c3,17,19,23,4,3,14,6,Participedia: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
133,Relational Tech Project,https://relationaltechproject.org,54.2,57.6,-3.5,0.55,MEDIUM,LOW,c1,24,16,20,4,2,14,3,Relational Tech Project: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 24/30 pts is the criteria driver.
134,Theft Bisect,https://onodi.co/bisect/,54.2,57.6,-3.5,0.73,LOW,LOW,c1,21,19,16,4,3,18,2,Theft Bisect: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 21/30 pts is the criteria driver.
135,CivicPress,https://civicpress.io/,53.5,56.9,-3.5,0.64,LOW,LOW,c1,21,19,19,4,2,15,2,CivicPress: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 21/30 pts is the criteria driver.
136,dDocs,https://ddocs.new/,53.5,59.0,-5.6,0.45,MEDIUM,LOW,c2,14,23,20,4,2,18,4,dDocs: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 23/30 pts is the criteria driver.
137,FixMyStreet,https://www.fixmystreet.com,53.5,53.5,0.0,0.82,LOW,LOW,c3,15,15,23,4,4,14,2,FixMyStreet: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=0.
138,Granitt,https://granitt.io,53.5,47.2,6.2,0.64,LOW,LOW,c3,17,2,23,4,4,15,3,Granitt: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=6.
139,MP Twitter Bios,https://www.mptwitterbios.co.uk,53.5,56.9,-3.5,0.64,LOW,LOW,c1,21,19,20,4,2,14,2,MP Twitter Bios: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 21/30 pts is the criteria driver.
140,Papertree,https://www.papertree.earth,53.5,59.0,-5.6,0.55,MEDIUM,LOW,c3,14,16,23,4,2,22,4,Papertree: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
141,Strike Map,https://strikemap.org,53.5,56.9,-3.5,0.73,LOW,LOW,c3,22,10,23,4,2,18,3,Strike Map: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
142,Coral,https://coralproject.net,52.8,54.9,-2.1,0.64,LOW,LOW,c2,14,24,13,6,2,14,6,Coral: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 24/30 pts is the criteria driver.
143,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,52.8,50.7,2.1,0.64,LOW,LOW,c1,21,19,10,4,3,14,2,Landlord Tech Watch: implementation-first scoring; primary driver is C1 at 21/30 pts; deployment modifier M_IMPL=0.
144,OSINT Framework,https://osintframework.com,52.8,56.2,-3.5,0.64,LOW,LOW,c2,18,24,13,4,3,15,4,OSINT Framework: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 24/30 pts is the criteria driver.
145,sourceAFRICA,https://sourceafrica.net,52.8,58.3,-5.6,0.73,LOW,LOW,c3,14,19,28,4,3,14,2,sourceAFRICA: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 28/30 pts is the criteria driver.
146,Consent-O-Matic,https://github.com/cavi-au/consent-o-matic,52.1,55.6,-3.5,0.64,LOW,LOW,c2,18,24,13,4,3,14,4,Consent-O-Matic: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 24/30 pts is the criteria driver.
147,Monitor Mamdani,https://monitormamdani.com/,52.1,50.0,2.1,0.73,LOW,LOW,c3,19,2,23,4,4,18,2,Monitor Mamdani: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=0.
148,Wikum,https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization,52.1,55.6,-3.5,0.64,LOW,LOW,c3,19,17,20,4,2,14,4,Wikum: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
149,Anna's Archive,https://annas-archive.pm,51.4,54.9,-3.5,0.64,LOW,LOW,c1,21,20,13,4,2,15,4,Anna's Archive: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 21/30 pts is the criteria driver.
150,MP Watch,https://www.mpwatch.org,51.4,45.1,6.2,0.64,LOW,LOW,c3,19,2,20,4,4,14,2,MP Watch: implementation-first scoring; primary driver is C3 at 20/30 pts; deployment modifier M_IMPL=6.
151,Open Data Communities,https://opendatacommunities.org,51.4,47.2,4.2,0.73,LOW,LOW,c3,15,2,23,4,4,18,2,Open Data Communities: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=6.
152,postcodes.io,https://github.com/ideal-postcodes/postcodes.io,51.4,54.9,-3.5,0.64,LOW,LOW,c2,16,20,16,4,3,18,2,postcodes.io: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 20/30 pts is the criteria driver.
153,ShineYourEye,https://www.shineyoureye.org,51.4,54.9,-3.5,0.55,MEDIUM,LOW,c3,19,2,28,4,2,22,2,ShineYourEye: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 28/30 pts is the criteria driver.
154,Bluesky Social,https://github.com/bluesky-social,50.7,52.8,-2.1,0.73,LOW,LOW,c2,14,24,13,4,2,14,5,Bluesky Social: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 24/30 pts is the criteria driver.
155,DAO Governance Surfaces,https://github.com/notchia/dao-governance-surfaces,50.7,54.2,-3.5,0.64,LOW,LOW,c2,18,19,16,4,3,14,4,DAO Governance Surfaces: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 19/30 pts is the criteria driver.
156,Discourse,https://www.discourse.org,50.7,52.8,-2.1,0.82,LOW,LOW,c3,15,15,20,4,2,14,6,Discourse: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
157,GOV Reuse Library,https://dev.reuselibrary.service.justice.gov.uk/,50.7,44.4,6.2,0.73,LOW,LOW,c1,19,2,19,4,4,14,2,GOV Reuse Library: implementation-first scoring; primary driver is C1 at 19/30 pts; deployment modifier M_IMPL=6.
158,Humanitarian Data Exchange,https://data.humdata.org,50.7,44.4,6.2,0.91,LOW,LOW,c2,10,15,10,6,5,14,4,Humanitarian Data Exchange: implementation-first scoring; primary driver is C2 at 15/30 pts; deployment modifier M_IMPL=0.
159,Interoperable Deliberative Tools,https://metagov.org/projects/interop,50.7,56.2,-5.6,0.82,LOW,LOW,c3,15,11,25,4,3,18,5,Interoperable Deliberative Tools: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 25/30 pts is the criteria driver.
160,Libertrium,https://liberopinion.com,50.7,50.7,0.0,0.64,LOW,LOW,c3,15,2,28,4,4,18,2,Libertrium: implementation-first scoring; primary driver is C3 at 28/30 pts; deployment modifier M_IMPL=0.
161,meet.coop,https://www.meet.coop,50.7,50.0,0.7,0.73,LOW,LOW,c3,16,17,20,4,2,8,5,meet.coop: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
162,Membership,https://medium.com/@abscond/membership-a-prototype-ea822b2683b,50.7,54.2,-3.5,0.55,MEDIUM,LOW,c3,18,16,20,4,2,14,4,Membership: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
163,Agencies for Good,https://www.agenciesforgood.org,50.0,51.4,-1.4,0.55,MEDIUM,LOW,c3,15,9,28,4,2,14,2,Agencies for Good: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 28/30 pts is the criteria driver.
164,Aragon,https://aragon.org,50.0,52.1,-2.1,0.73,LOW,LOW,c3,12,15,23,4,2,15,4,Aragon: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
165,CAN/DGSI 127 - Age Assurance Technologies Standard,https://dgc-cgn.org/product/can-dgsi-127/,50.0,50.0,0.0,0.64,LOW,LOW,c3,12,2,28,6,4,18,2,CAN/DGSI 127 - Age Assurance Technologies Standard: implementation-first scoring; primary driver is C3 at 28/30 pts; deployment modifier M_IMPL=0.
166,Harmonica,https://harmonica.chat/,50.0,47.9,2.1,0.73,LOW,LOW,c3,16,2,20,4,4,18,5,Harmonica: implementation-first scoring; primary driver is C3 at 20/30 pts; deployment modifier M_IMPL=0.
167,ORCID,https://orcid.org,50.0,42.4,7.6,0.73,LOW,LOW,c6,12,11,10,6,4,14,4,ORCID: implementation-first scoring; primary driver is C6 at 14/30 pts; deployment modifier M_IMPL=6.
168,Spacetube,https://spacetu.be,50.0,53.5,-3.5,0.64,LOW,LOW,c2,18,19,16,4,2,14,4,Spacetube: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 19/30 pts is the criteria driver.
169,Tactical Data Engagement,https://communities.sunlightfoundation.com/methodology,50.0,50.0,0.0,0.64,LOW,LOW,c3,18,2,28,4,4,14,2,Tactical Data Engagement: implementation-first scoring; primary driver is C3 at 28/30 pts; deployment modifier M_IMPL=0.
170,Cortico,https://cortico.ai/platform,49.3,47.2,2.1,0.73,LOW,LOW,c3,17,2,23,4,4,14,4,Cortico: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=0.
171,Martus,https://www.martus.org,49.3,52.8,-3.5,0.64,LOW,LOW,c1,21,19,10,4,2,14,6,Martus: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 21/30 pts is the criteria driver.
172,New_ Public Roundabout,https://newpublic.substack.com/p/introducing-roundabout-built-for,49.3,49.3,0.0,0.55,MEDIUM,LOW,c3,16,6,23,4,2,18,2,New_ Public Roundabout: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
173,Pageviews Analysis,https://pageviews.wmcloud.org,49.3,52.8,-3.5,0.64,LOW,LOW,c2,18,20,13,4,3,14,4,Pageviews Analysis: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 20/30 pts is the criteria driver.
174,Parallel Parliament,https://www.parallelparliament.co.uk,49.3,48.6,0.7,0.55,MEDIUM,LOW,c3,17,2,28,4,2,15,2,Parallel Parliament: implementation-first scoring; primary driver is C3 at 28/30 pts; deployment modifier M_IMPL=-2.
175,PlanIT,https://planit.org.uk,49.3,47.2,2.1,0.64,LOW,LOW,c3,19,2,23,4,4,14,2,PlanIT: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=0.
176,The Data Trusts Initiative,https://datatrusts.uk,49.3,43.8,5.6,0.73,LOW,LOW,c1,19,2,13,4,4,18,3,The Data Trusts Initiative: implementation-first scoring; primary driver is C1 at 19/30 pts; deployment modifier M_IMPL=0.
177,Turn2us Benefits Calculator,https://benefits-calculator.turn2us.org.uk,49.3,49.3,0.0,0.64,LOW,LOW,c1,21,2,19,4,4,18,3,Turn2us Benefits Calculator: implementation-first scoring; primary driver is C1 at 21/30 pts; deployment modifier M_IMPL=0.
178,whatsmeow,https://github.com/tulir/whatsmeow,49.3,52.8,-3.5,0.45,MEDIUM,LOW,c2,18,20,13,4,3,14,4,whatsmeow: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 20/30 pts is the criteria driver.
179,Democracy Fund Open Source,https://www.dfos.com,48.6,54.2,-5.6,0.55,MEDIUM,LOW,c3,17,16,23,4,2,14,2,Democracy Fund Open Source: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
180,Entitledto,https://entitledto.co.uk,48.6,48.6,0.0,0.64,LOW,LOW,c1,21,2,19,4,4,18,2,Entitledto: implementation-first scoring; primary driver is C1 at 21/30 pts; deployment modifier M_IMPL=0.
181,Journal of Open Source Software,https://joss.theoj.org,48.6,50.7,-2.1,0.64,LOW,LOW,c2,14,24,10,4,2,15,4,Journal of Open Source Software: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 24/30 pts is the criteria driver.
182,Metaculus,https://metaculus.com,48.6,48.6,0.0,0.82,LOW,LOW,c1,19,15,10,4,3,14,5,Metaculus: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
183,semanticClimate,https://semanticclimate.github.io,48.6,54.2,-5.6,0.64,LOW,LOW,c2,14,23,13,4,2,18,4,semanticClimate: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 23/30 pts is the criteria driver.
184,The Circuit,https://thecircuit.cc,48.6,48.6,0.0,0.82,LOW,LOW,c3,12,10,23,4,4,14,3,The Circuit: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=0.
185,Gender Pay Gap Service,https://gender-pay-gap.service.gov.uk,47.9,47.9,0.0,0.64,LOW,LOW,c3,12,2,23,4,4,22,2,Gender Pay Gap Service: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=0.
186,River Sentiment Dashboard,https://riversentiment.app,47.9,47.9,0.0,0.91,LOW,LOW,c6,15,10,16,4,4,18,2,River Sentiment Dashboard: implementation-first scoring; primary driver is C6 at 18/30 pts; deployment modifier M_IMPL=0.
187,rsky,https://github.com/blacksky-algorithms/rsky,47.9,51.4,-3.5,0.55,MEDIUM,LOW,c2,18,20,10,4,3,14,5,rsky: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 20/30 pts is the criteria driver.
188,Schema.org,https://schema.org,47.9,53.5,-5.6,0.45,MEDIUM,LOW,c2,14,27,10,4,2,18,2,Schema.org: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 27/30 pts is the criteria driver.
189,Deliberation & Technology (DelibTech) Network,https://www.demnext.org/projects/delibtech-network,47.2,50.7,-3.5,0.64,LOW,LOW,c3,19,2,28,4,2,14,4,Deliberation & Technology (DelibTech) Network: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 28/30 pts is the criteria driver.
190,GOV.UK One Login,https://www.sign-in.service.gov.uk,47.2,47.2,0.0,0.82,LOW,LOW,c3,13,11,19,4,5,14,2,GOV.UK One Login: implementation-first scoring; primary driver is C3 at 19/30 pts; deployment modifier M_IMPL=0.
191,LittleSis,https://littlesis.org,47.2,52.8,-5.6,0.73,LOW,LOW,c2,14,20,20,4,2,14,2,LittleSis: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 20/30 pts is the criteria driver.
192,Marks Out Of Tenancy,https://www.marksoutoftenancy.com,47.2,45.1,2.1,0.64,LOW,LOW,c3,19,2,20,4,4,14,2,Marks Out Of Tenancy: implementation-first scoring; primary driver is C3 at 20/30 pts; deployment modifier M_IMPL=0.
193,Neighbourhood Warmth,https://www.mysociety.org/climate/neighbourhood-warmth,47.2,45.1,2.1,0.64,LOW,LOW,c3,19,2,20,4,4,14,2,Neighbourhood Warmth: implementation-first scoring; primary driver is C3 at 20/30 pts; deployment modifier M_IMPL=0.
194,Radicle,https://radicle.xyz,47.2,50.7,-3.5,0.64,LOW,LOW,c2,18,20,10,4,3,14,4,Radicle: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 20/30 pts is the criteria driver.
195,Service Manual,https://www.gov.uk/service-manual,47.2,47.2,0.0,0.73,LOW,LOW,c3,15,10,19,4,4,14,2,Service Manual: implementation-first scoring; primary driver is C3 at 19/30 pts; deployment modifier M_IMPL=0.
196,youtube-dl,https://github.com/ytdl-org/youtube-dl,47.2,50.7,-3.5,0.64,LOW,LOW,c2,18,20,10,4,3,14,4,youtube-dl: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 20/30 pts is the criteria driver.
197,Beckton,https://richardpope.org/2017/03/05/beckton-a-tool-to-build,46.5,50.0,-3.5,0.64,LOW,LOW,c2,18,19,13,4,2,14,2,Beckton: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 19/30 pts is the criteria driver.
198,CharmVerse,https://charmverse.io/,46.5,52.1,-5.6,0.73,LOW,LOW,c3,15,11,23,4,2,15,5,CharmVerse: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
199,django-collaborative,https://github.com/propublica/django-collaborative,46.5,52.1,-5.6,0.64,LOW,LOW,c2,14,19,16,4,2,18,2,django-collaborative: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 19/30 pts is the criteria driver.
200,EDGAR,https://github.com/bellingcat/edgar,46.5,52.1,-5.6,0.55,MEDIUM,LOW,c2,12,24,16,4,3,14,2,EDGAR: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 24/30 pts is the criteria driver.
201,GOV.UK Pay,https://www.payments.service.gov.uk,46.5,46.5,0.0,0.82,LOW,LOW,c3,13,11,19,4,4,14,2,GOV.UK Pay: implementation-first scoring; primary driver is C3 at 19/30 pts; deployment modifier M_IMPL=0.
202,Manifold Markets,https://manifold.markets,46.5,52.1,-5.6,0.73,LOW,LOW,c3,15,15,20,4,2,14,5,Manifold Markets: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
203,Members' Interests,https://membersinterests.org.uk,46.5,42.4,4.2,0.73,LOW,LOW,c3,15,2,20,4,4,14,2,Members' Interests: implementation-first scoring; primary driver is C3 at 20/30 pts; deployment modifier M_IMPL=6.
204,Nook CRM,https://nookcrm.com,46.5,52.1,-5.6,0.64,LOW,LOW,c3,12,10,23,4,2,22,2,Nook CRM: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
205,Nym,https://nymtech.net,46.5,52.1,-5.6,0.55,MEDIUM,LOW,c2,14,27,10,4,2,14,4,Nym: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 27/30 pts is the criteria driver.
206,Choose a License,https://choosealicense.com,45.8,49.3,-3.5,0.73,LOW,LOW,c1,16,15,13,4,3,15,5,Choose a License: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
207,GOV.UK Forms,https://www.forms.service.gov.uk,45.8,45.8,0.0,0.82,LOW,LOW,c3,15,11,16,4,4,14,2,GOV.UK Forms: implementation-first scoring; primary driver is C3 at 16/30 pts; deployment modifier M_IMPL=0.
208,Local Intelligence Hub,https://www.localintelligencehub.com,45.8,49.3,-3.5,0.64,LOW,LOW,c3,16,10,23,4,2,14,2,Local Intelligence Hub: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
209,Mapped,https://mapped.commonknowledge.coop,45.8,49.3,-3.5,0.73,LOW,LOW,c3,16,10,23,4,2,14,2,Mapped: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
210,Parse The Bill,https://parsethebill.com,45.8,49.3,-3.5,0.64,LOW,LOW,c3,19,2,28,4,2,14,2,Parse The Bill: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 28/30 pts is the criteria driver.
211,Pear by Holepunch,https://docs.holepunch.to,45.8,49.3,-3.5,0.64,LOW,LOW,c2,18,19,10,4,2,14,4,Pear by Holepunch: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 19/30 pts is the criteria driver.
212,Remember to Vote,https://remembertovote.org.uk,45.8,49.3,-3.5,0.55,MEDIUM,LOW,c3,19,2,28,4,2,14,2,Remember to Vote: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 28/30 pts is the criteria driver.
213,Full Fact AI,https://fullfact.org/ai,45.1,41.7,3.5,0.73,LOW,LOW,c3,12,2,16,6,4,14,6,Full Fact AI: implementation-first scoring; primary driver is C3 at 16/30 pts; deployment modifier M_IMPL=0.
214,Go Vocal,https://www.govocal.com,45.1,45.1,0.0,0.82,LOW,LOW,c3,13,2,23,4,4,14,5,Go Vocal: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=0.
215,Modular Politics,https://arxiv.org/abs/2005.13701,45.1,48.6,-3.5,0.55,MEDIUM,LOW,c6,16,2,20,4,2,22,4,Modular Politics: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 22/30 pts is the criteria driver.
216,The Commons Social Change Library,https://commonslibrary.org,45.1,48.6,-3.5,0.55,MEDIUM,LOW,c3,19,6,20,4,2,14,5,The Commons Social Change Library: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
217,Find local consultations,https://gov.uk/find-local-consultations,44.4,44.4,0.0,0.64,LOW,LOW,c3,15,2,23,4,4,14,2,Find local consultations: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=0.
218,Fission Codes,https://github.com/fission-codes/fission-codes,44.4,47.9,-3.5,0.64,LOW,LOW,c2,18,19,10,4,2,14,2,Fission Codes: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 19/30 pts is the criteria driver.
219,Global Fact-Check Bot (GFC),https://globalfactcheck.bot/,44.4,45.8,-1.4,0.64,LOW,LOW,c1,18,9,13,6,2,14,4,Global Fact-Check Bot (GFC): limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 18/30 pts is the criteria driver.
220,In the news,https://en.wikipedia.org/wiki/wikipedia:in_the_news,44.4,47.9,-3.5,0.55,MEDIUM,LOW,c1,18,16,10,4,2,15,4,In the news: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 18/30 pts is the criteria driver.
221,Polimorphic,https://www.polimorphic.com,44.4,36.1,8.3,0.73,LOW,LOW,c3,10,2,16,4,4,14,2,Polimorphic: strong government adoption evidence earns M_IMPL boost of +12 (implementation-first); primary driver is C3 at 16/30 pts.
222,Sugartrail,https://github.com/ribenamaplesyrup/sugartrail,44.4,50.0,-5.6,0.64,LOW,LOW,c2,14,19,13,4,2,18,2,Sugartrail: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 19/30 pts is the criteria driver.
223,Timecounts,https://timecounts.org,44.4,47.9,-3.5,0.55,MEDIUM,LOW,c3,19,2,23,4,2,14,5,Timecounts: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
224,Collaborative Data Patterns,https://collaborative-data.theodi.org,43.8,47.2,-3.5,0.64,LOW,LOW,c3,19,2,23,4,2,14,4,Collaborative Data Patterns: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
225,Esper,https://esper.com/product,43.8,41.7,2.1,0.64,LOW,LOW,c1,17,2,16,4,4,14,3,Esper: implementation-first scoring; primary driver is C1 at 17/30 pts; deployment modifier M_IMPL=0.
226,Granicus,https://granicus.com/uk,43.8,43.8,0.0,0.64,LOW,LOW,c3,15,2,19,4,4,14,5,Granicus: implementation-first scoring; primary driver is C3 at 19/30 pts; deployment modifier M_IMPL=0.
227,The Accountability Project,https://publicaccountability.org,43.8,47.2,-3.5,0.55,MEDIUM,LOW,c6,16,2,19,4,2,22,3,The Accountability Project: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 22/30 pts is the criteria driver.
