jury_rank,name,url,jury_score,const_score,const_rank,gap,pop_risk,completeness,std_dev,grok_median
262,Fairbnb.coop,https://fairbnb.coop,42.3,42.0,251,11,LOW,1.0,6.2,39.3
263,PolicyMogul,https://policymogul.com,42.0,43.7,236,27,LOW,0.87,10.4,31.8
264,Local Insight,https://localinsight.org,41.6,39.0,271,-7,LOW,0.87,9.2,27.3
265,DemTech Navigator,https://navigator.oii.ox.ac.uk,41.5,43.5,238,27,HIGH,0.87,8.1,40.1
266,Local Deep Researcher,https://local-deep-researcher-hnmh.vercel.app/,41.4,39.0,270,-4,NONE,0.6,10.8,17.1
267,Tracka,https://yourtracka.org,41.3,42.9,245,22,LOW,0.93,10.4,32.6
268,River Sentiment Dashboard,https://riversentiment.app,41.3,39.8,267,1,LOW,0.87,8.7,31.1
269,Urbit,https://urbit.org,41.2,38.3,276,-7,MEDIUM,0.93,10.2,26.3
270,Whoisology,https://whoisology.com,41.1,38.5,274,-4,LOW,0.87,11.2,32.7
271,Spartacus,https://spartacus.app,40.9,40.4,263,8,LOW,0.87,7.8,30.2
272,Understanding Your Morality,https://programs.clearerthinking.org/understanding-your-morality/,40.7,38.5,273,-1,LOW,0.87,9.2,31.9
273,Yoti,https://www.yoti.com,40.6,40.4,265,8,LOW,0.87,9.3,24.1
274,We Live It,https://www.welivedit.ai,40.4,38.5,275,-1,LOW,0.87,8.1,23.8
275,The Commons Social Change Library,https://commonslibrary.org,40.0,39.4,268,7,LOW,0.87,7.7,26.3
276,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,39.5,38.0,278,-2,LOW,0.93,12.4,26.4
277,Right To Know,https://right-to-know.org,39.2,37.5,282,-5,LOW,0.93,11.5,15.7
278,Local Intelligence Hub,https://www.localintelligencehub.com,39.1,37.0,286,-8,LOW,1.0,8.7,36.9
279,Worker Info Exchange,https://www.workerinfoexchange.org,39.1,36.4,289,-10,LOW,0.93,8.3,40.5
280,Marks Out Of Tenancy,https://www.marksoutoftenancy.com,38.6,37.4,284,-4,LOW,0.87,8.4,26.2
281,Vote for Policies,https://voteforpolicies.org.uk,38.6,37.0,285,-4,LOW,0.87,7.2,34.6
282,OpenAudience,https://openaudience.org,38.6,36.5,287,-5,LOW,0.87,6.7,33.6
283,DeepSeek-V3,https://github.com/deepseek-ai/deepseek-v3,38.5,34.5,295,-12,HIGH,0.93,12.6,10.0
284,Libertrium,https://liberopinion.com,38.3,40.0,266,18,LOW,0.8,7.4,34.3
285,Charity Digital Skills Report,https://charitydigitalskills.co.uk,38.1,37.8,280,5,LOW,0.87,10.5,29.8
286,MP Watch,https://www.mpwatch.org,38.1,37.5,283,3,LOW,0.93,7.9,26.4
287,Turbo Phonebank,https://turbophonebank.com,38.1,36.1,291,-4,LOW,0.87,9.8,23.5
288,Turkopticon,https://turkopticon.ucsd.edu,38.1,34.4,297,-9,MEDIUM,0.93,7.2,28.3
289,CAN/DGSI 127 - Age Assurance Technologies Standard,https://dgc-cgn.org/product/can-dgsi-127/,38.0,38.6,272,17,LOW,0.87,8.8,29.1
290,PoliMonitor,https://www.polimonitor.com,38.0,33.5,303,-13,MEDIUM,0.8,10.2,22.2
291,Mapped,https://mapped.commonknowledge.coop,38.0,32.5,307,-16,LOW,0.93,8.9,43.8
292,Schema.org,https://schema.org,37.9,41.9,255,37,LOW,0.67,11.9,18.6
293,Community Tech,https://www.communitytech.network,37.9,36.5,288,5,LOW,0.87,8.4,38.4
294,The Guide to Major Trusts 2025/26,https://www.dsc.org.uk/publication/the-guide-to-major-trusts-2025-26/,37.7,37.6,281,13,LOW,0.87,8.8,24.8
295,Riseup,https://riseup.net,37.7,35.5,293,2,LOW,0.93,6.2,29.1
296,Democracy Club Developer API,https://developers.democracyclub.org.uk/api/v1,37.5,34.3,298,-2,LOW,1.0,8.5,32.6
297,GRIM (Global Risk Simulator),https://github.com/sentinelteam/grim,37.3,34.4,296,1,HIGH,1.0,11.8,15.0
298,MyActionCenter,https://www.myaction.center,37.2,33.5,302,-4,LOW,0.8,8.9,27.1
299,Ladder Hub,https://ladderhub.org/,37.0,33.5,300,-1,LOW,0.93,9.9,36.8
300,PostBug,https://postbug.com,36.5,36.1,290,10,LOW,0.87,9.1,32.0
301,AISafety.info,https://aisafety.info,36.2,34.5,294,7,LOW,1.0,7.2,26.4
302,Plausible Analytics,https://plausible.io,35.4,33.0,305,-3,HIGH,0.93,8.6,32.9
303,meet.coop,https://www.meet.coop,35.2,33.3,304,-1,LOW,1.0,9.6,30.3
304,WorkInCharities,https://www.workincharities.co.uk,35.0,31.2,310,-6,LOW,0.8,6.7,26.1
305,Mapping.kids,https://mapping.kids,34.8,31.2,309,-4,LOW,0.67,10.1,16.8
306,Hand-Written Petition Scanner,https://hand-written-petition-scanner.streamlit.app,34.7,33.5,299,7,LOW,0.8,9.9,18.2
307,Citizens Advice Tableau Public Profile,https://public.tableau.com/app/profile/citizensadvice/vizzes,34.6,33.5,301,6,LOW,0.8,9.8,28.2
308,CivicMatch,https://civicmatch.app,34.2,29.2,313,-5,LOW,0.73,9.7,20.5
309,Collab.Land,https://collab.land,33.0,32.6,306,3,LOW,0.87,8.1,20.1
310,Idealist,https://idealist.org,32.6,35.5,292,18,LOW,0.87,6.4,32.5
311,Labour Xchange,https://labourxchange.uk,31.9,31.6,308,3,LOW,0.93,7.3,25.3
312,Fission Codes,https://github.com/fission-codes/fission-codes,31.6,26.5,315,-3,LOW,0.8,9.8,17.2
313,Society for Hopeful Technologists,https://societyforhopefultechnologists.org,29.7,29.6,311,2,LOW,0.93,7.3,21.3
314,Spacetube,https://spacetu.be,29.6,29.5,312,2,LOW,0.87,7.3,24.0
315,The Decelerator,https://decelerator.org.uk,29.6,27.2,314,1,HIGH,0.87,8.0,19.0
316,,https://tracking-template-38b4c.web.app,29.1,25.0,318,-2,NONE,0.27,8.0,12.9
317,Kagi SlopStop,https://blog.kagi.com/slopstop,27.5,25.5,316,1,LOW,1.0,8.6,17.2
318,Keep It In The Community,https://plunkett.my.site.com/keepitinthecommunity/s,27.4,23.7,319,-1,LOW,0.8,8.1,27.4
319,The List,https://the-list.uk,25.3,22.1,320,-1,LOW,0.93,8.2,14.8
320,Unknown Academic Paper (SSRN 5351275),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5351275,24.8,25.0,317,3,NONE,0.33,6.1,22.5
321,Consciousness Evolution Operating System (ConSoc),https://www.consoc.io,20.9,16.9,321,0,NONE,0.47,5.9,28.4
