rank,project_name,url,score,criteria_total,modifier_adj,completeness,uncertainty,popularity_risk,primary_driver,rationale
120,UrbanistAI,https://site.urbanistai.com,20.8,17.8,3,0.77,LOW,LOW,criteria,The participatory design evidence in UrbanistAI's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
121,Strike Map,https://strikemap.org,20.6,20.6,0,0.75,LOW,LOW,criteria,"My constitution is not built to see what Strike Map does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
122,Your Priorities,https://yrpri.org,20.6,20.6,0,0.96,LOW,MEDIUM,criteria,The participatory design evidence in Your Priorities's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
123,arXiv,https://arxiv.org,20.6,20.6,0,0.92,LOW,HIGH,criteria,"My constitution is not built to see what arXiv does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
124,FixMyStreet,https://www.fixmystreet.com,20.4,20.4,0,0.94,LOW,MEDIUM,criteria,The participatory design evidence in FixMyStreet's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
125,openparliament.ca,https://openparliament.ca/,20.4,20.4,0,0.85,LOW,MEDIUM,criteria,openparliament.ca engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: decolonial governance.
126,Sci-Hub,https://sci-hub.se,20.3,13.3,7,0.58,LOW,MEDIUM,criteria,"The Sci-Hub website appears to be down, which limits what I can verify about this project. Primary driver: conflict applicability."
127,Go Vocal,https://www.govocal.com,20.1,20.1,0,0.8,LOW,LOW,criteria,The participatory design evidence in Go Vocal's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
128,ORCID,https://orcid.org,20.1,15.1,5,0.89,LOW,HIGH,criteria,"My constitution is not built to see what ORCID does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
129,rsky,https://github.com/blacksky-algorithms/rsky,20.1,20.1,0,0.85,LOW,LOW,criteria,"My constitution is not built to see what rsky does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: health equity."
130,OpenElections Leaflet Scraper and Parser,https://github.com/thicknavyrain/uk_elections_leaflets,19.9,19.9,0,0.85,LOW,LOW,criteria,"My constitution is not built to see what OpenElections Leaflet Scraper and Parser does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
131,Polis,https://github.com/compdemocracy/polis,19.9,19.9,0,0.96,LOW,HIGH,criteria,"My constitution is not built to see what Polis does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
132,Global Fact-Check Bot (GFC),https://globalfactcheck.bot/,19.8,14.8,5,0.82,LOW,LOW,criteria,"My constitution is not built to see what Global Fact-Check Bot (GFC) does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
133,Aragon,https://aragon.org,19.7,19.7,0,0.87,LOW,MEDIUM,criteria,"My constitution is not built to see what Aragon does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
134,Harmonica,https://harmonica.chat/,19.6,19.6,0,0.75,LOW,LOW,criteria,The participatory design evidence in Harmonica's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
135,TheyWorkForYou,https://www.theyworkforyou.com,19.6,19.6,0,0.92,LOW,MEDIUM,criteria,The participatory design evidence in TheyWorkForYou's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
136,Members' Interests,https://membersinterests.org.uk,19.5,19.5,0,0.65,LOW,MEDIUM,criteria,"The Members' Interests website appears to be down, which limits what I can verify about this project. Primary driver: community-centred design."
137,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,19.2,14.2,5,0.94,LOW,LOW,criteria,"""Open-source toolkit to monitor data integrity and flag problems in public health and humanitarian da..."" -- Data Observation Toolkit (DOT) has a real health equity dimension that my constitution rewards. Primary driver: health equity."
138,MP Watch,https://www.mpwatch.org,19.2,19.2,0,0.75,LOW,LOW,criteria,The participatory design evidence in MP Watch's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
139,PolicyKit,https://policykit.org,19.2,19.2,0,0.75,LOW,MEDIUM,criteria,"The PolicyKit website appears to be down, which limits what I can verify about this project. Primary driver: community-centred design."
140,Atlas of Surveillance,https://atlasofsurveillance.org,19.1,19.1,0,0.92,LOW,LOW,criteria,"My constitution is not built to see what Atlas of Surveillance does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
141,Public AI Inference Utility,https://publicai.co/,19.1,19.1,0,0.9,LOW,LOW,criteria,"My constitution is not built to see what Public AI Inference Utility does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
142,River Sentiment Dashboard,https://riversentiment.app,19.1,19.1,0,0.87,LOW,LOW,criteria,"""Displays social media sentiment about rivers alongside ecological status data for 450+ rivers in the..."" -- River Sentiment Dashboard has a real health equity dimension that my constitution rewards. Primary driver: health equity."
143,Turkopticon,https://turkopticon.ucsd.edu,19.1,19.1,0,0.87,LOW,MEDIUM,criteria,What stands out about Turkopticon is genuine community ownership -- not just deployment in underserved contexts but governance power held locally. Primary driver: decolonial governance.
144,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,19.1,19.1,0,0.92,LOW,LOW,criteria,vTaiwan engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: community-centred design.
145,Charity Digital Skills Report,https://charitydigitalskills.co.uk,18.8,13.8,5,0.71,LOW,MEDIUM,criteria,"My constitution is not built to see what Charity Digital Skills Report does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
146,Find local consultations,https://gov.uk/find-local-consultations,18.8,18.8,0,0.73,LOW,LOW,criteria,The participatory design evidence in Find local consultations's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
147,Keep It In The Community,https://plunkett.my.site.com/keepitinthecommunity/s,18.8,18.8,0,0.59,LOW,LOW,criteria,"""A platform for community-driven civic engagement and local resource sharing"" -- Keep It In The Community has a real health equity dimension that my constitution rewards. Primary driver: health equity."
148,UK Housing Data Standards,https://hact.org.uk/tools-and-services/uk-housing-data-standards,18.8,15.8,3,0.94,LOW,LOW,criteria,"My constitution is not built to see what UK Housing Data Standards does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
149,PostBug,https://postbug.com,18.7,13.7,5,0.67,LOW,LOW,criteria,The participatory design evidence in PostBug's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
150,dDocs,https://ddocs.new/,18.6,18.6,0,0.61,LOW,LOW,criteria,What stands out about dDocs is genuine community ownership -- not just deployment in underserved contexts but governance power held locally. Primary driver: decolonial governance.
151,Ethelo,https://ethelo.com,18.4,18.4,0,0.96,LOW,MEDIUM,criteria,The participatory design evidence in Ethelo's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
152,Kialo,https://kialo.com,18.4,18.4,0,0.77,LOW,LOW,criteria,The participatory design evidence in Kialo's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
153,Parse The Bill,https://parsethebill.com,18.2,18.2,0,0.73,LOW,LOW,criteria,"My constitution is not built to see what Parse The Bill does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
154,All Our Ideas,https://all-our-ideas.citizens.is,17.9,17.9,0,0.73,LOW,LOW,criteria,The participatory design evidence in All Our Ideas's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
155,Cobudget,https://cobudget.com,17.9,17.9,0,0.92,LOW,LOW,criteria,The participatory design evidence in Cobudget's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
156,Open Council Data UK,https://opencouncildata.co.uk,17.9,17.9,0,0.67,LOW,LOW,criteria,"My constitution is not built to see what Open Council Data UK does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
157,Campaign Tracker,https://www.campaigntracker.nl/en,17.7,17.7,0,0.98,LOW,LOW,criteria,"My constitution is not built to see what Campaign Tracker does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
158,The Government Says,https://thegovernmentsays.com,17.6,17.6,0,0.92,LOW,LOW,criteria,The Government Says engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: decolonial governance.
159,Responsible Tech Guide 2025,https://alltechishuman.org/responsible-tech-guide-2025,17.5,12.5,5,0.69,LOW,LOW,criteria,"My constitution is not built to see what Responsible Tech Guide 2025 does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
160,CiviClick,https://civiclick.com,17.4,17.4,0,0.69,LOW,LOW,criteria,The participatory design evidence in CiviClick's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
161,Empurrando Juntas (EJ),https://sobre.ejparticipe.org,17.4,12.4,5,0.69,LOW,LOW,criteria,The participatory design evidence in Empurrando Juntas (EJ)'s dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
162,Pastecal,https://github.com/kazad/pastecal,17.4,17.4,0,0.83,LOW,LOW,criteria,"My constitution is not built to see what Pastecal does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
163,Fairbnb.coop,https://fairbnb.coop,17.2,17.2,0,0.92,LOW,LOW,criteria,Fairbnb.coop engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: decolonial governance.
164,In the news,https://en.wikipedia.org/wiki/wikipedia:in_the_news,17.2,10.2,7,0.73,LOW,MEDIUM,criteria,"My constitution is not built to see what In the news does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability."
165,Parallel Parliament,https://www.parallelparliament.co.uk,17.2,17.2,0,0.69,LOW,LOW,criteria,"My constitution is not built to see what Parallel Parliament does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
166,The Commons Social Change Library,https://commonslibrary.org,17.2,17.2,0,0.67,LOW,LOW,criteria,The participatory design evidence in The Commons Social Change Library's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
167,Wikum,https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization,17.2,17.2,0,0.85,LOW,LOW,criteria,The participatory design evidence in Wikum's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
168,meet.coop,https://www.meet.coop,17.2,23.2,-6,0.83,LOW,LOW,criteria,What stands out about meet.coop is genuine community ownership -- not just deployment in underserved contexts but governance power held locally. Primary driver: decolonial governance.
169,GreenPT,https://greenpt.ai/,17.1,12.1,5,0.75,LOW,LOW,criteria,"My constitution is not built to see what GreenPT does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
170,Mastodon C,https://www.mastodonc.com,17.1,17.1,0,0.9,LOW,HIGH,criteria,"My constitution is not built to see what Mastodon C does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
171,MyActionCenter,https://www.myaction.center,17.1,12.1,5,0.65,LOW,LOW,criteria,"My constitution is not built to see what MyActionCenter does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
172,Objector.ai,https://objector.ai,17.1,17.1,0,0.75,LOW,HIGH,criteria,"The participatory design evidence in Objector.ai's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
173,Stanford Participatory Budgeting Platform,https://github.com/stanfordcdt/pb,17.1,17.1,0,0.9,LOW,HIGH,criteria,"The participatory design evidence in Stanford Participatory Budgeting Platform's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
174,Hand-Written Petition Scanner,https://hand-written-petition-scanner.streamlit.app,16.9,16.9,0,0.62,LOW,LOW,criteria,"The Hand-Written Petition Scanner website appears to be down, which limits what I can verify about this project. Primary driver: community-centred design."
175,UK Policy Dojo,https://github.com/mikekelly/policy-dojo,16.9,16.9,0,0.88,LOW,LOW,criteria,"My constitution is not built to see what UK Policy Dojo does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
176,Contracts for Data Collaboration,https://contractsfordatacollaboration.org,16.8,16.8,0,0.88,LOW,LOW,criteria,"My constitution is not built to see what Contracts for Data Collaboration does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
177,Public Editor,https://www.publiceditor.io,16.8,16.8,0,0.54,MEDIUM,MEDIUM,criteria,"The Public Editor website appears to be down, which limits what I can verify about this project. Primary driver: health equity."
178,PlaceCal,https://github.com/geeksforsocialchange/placecal,16.6,16.6,0,0.81,LOW,LOW,criteria,"My constitution is not built to see what PlaceCal does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
179,GovTrack.us,https://www.govtrack.us,16.5,16.5,0,0.94,LOW,MEDIUM,criteria,The participatory design evidence in GovTrack.us's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
180,RxC Quadratic Voting,https://quadraticvote.radicalxchange.org,16.5,16.5,0,0.87,LOW,LOW,criteria,The participatory design evidence in RxC Quadratic Voting's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
181,The Circuit,https://thecircuit.cc,16.5,16.5,0,0.94,LOW,LOW,criteria,"My constitution is not built to see what The Circuit does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
182,OA.Report,https://oa.report,16.4,16.4,0,0.75,LOW,LOW,criteria,"My constitution is not built to see what OA.Report does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
183,Spacetube,https://spacetu.be,16.4,11.4,5,0.77,LOW,LOW,criteria,"My constitution is not built to see what Spacetube does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
184,Riseup,https://riseup.net,16.3,22.3,-6,0.83,LOW,MEDIUM,criteria,Riseup engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: decolonial governance.
185,CrowdJustice,https://www.crowdjustice.com,16.2,16.2,0,0.62,LOW,MEDIUM,criteria,"The CrowdJustice website appears to be down, which limits what I can verify about this project. Primary driver: community-centred design."
186,CharmVerse,https://charmverse.io/,16.1,16.1,0,0.81,LOW,LOW,criteria,The participatory design evidence in CharmVerse's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
187,Spartacus,https://spartacus.app,16.1,13.1,3,0.71,LOW,LOW,criteria,The participatory design evidence in Spartacus's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
188,GOV.UK Pay,https://www.payments.service.gov.uk,16.0,9.0,7,0.92,LOW,MEDIUM,criteria,"My constitution is not built to see what GOV.UK Pay does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability."
189,Tactical Data Engagement,https://communities.sunlightfoundation.com/methodology,16.0,16.0,0,0.78,LOW,LOW,criteria,The participatory design evidence in Tactical Data Engagement's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
190,Citizen OS,https://citizenos.com/platform/,15.9,15.9,0,0.92,LOW,LOW,criteria,The participatory design evidence in Citizen OS's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
191,Gender Pay Gap Service,https://gender-pay-gap.service.gov.uk,15.9,11.9,4,0.75,LOW,LOW,criteria,"My constitution is not built to see what Gender Pay Gap Service does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
192,Polimorphic,https://www.polimorphic.com,15.9,10.9,5,0.84,LOW,LOW,criteria,"My constitution is not built to see what Polimorphic does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
193,MP Twitter Bios,https://www.mptwitterbios.co.uk,15.8,15.8,0,0.81,LOW,LOW,criteria,The participatory design evidence in MP Twitter Bios's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
194,WardWatch,https://wardwatch.uk,15.8,15.8,0,0.71,LOW,LOW,criteria,"My constitution is not built to see what WardWatch does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
195,Plinth,https://www.plinth.org.uk,15.6,8.6,7,0.75,LOW,LOW,criteria,"My constitution is not built to see what Plinth does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability."
196,DISARM Frameworks,https://github.com/disarmfoundation/disarmframeworks,15.5,8.5,7,0.9,LOW,LOW,criteria,"My constitution is not built to see what DISARM Frameworks does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability."
197,Sugartrail,https://github.com/ribenamaplesyrup/sugartrail,15.5,15.5,0,0.88,LOW,LOW,criteria,"My constitution is not built to see what Sugartrail does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
198,CAN/DGSI 127 - Age Assurance Technologies Standard,https://dgc-cgn.org/product/can-dgsi-127/,15.4,15.4,0,0.69,LOW,LOW,criteria,"My constitution is not built to see what CAN/DGSI 127 - Age Assurance Technologies Standard does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
199,Collaborative Data Patterns,https://collaborative-data.theodi.org,15.4,15.4,0,0.65,LOW,LOW,criteria,The participatory design evidence in Collaborative Data Patterns's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
200,WhatGov,https://www.whatgov.co.uk,15.4,15.4,0,0.73,LOW,LOW,criteria,The participatory design evidence in WhatGov's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
201,Interoperable Deliberative Tools,https://metagov.org/projects/interop,15.3,15.3,0,0.77,LOW,LOW,criteria,"My constitution is not built to see what Interoperable Deliberative Tools does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
202,Timecounts,https://timecounts.org,15.3,15.3,0,0.69,LOW,LOW,criteria,The participatory design evidence in Timecounts's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
203,Urbit,https://urbit.org,15.3,15.3,0,0.83,LOW,MEDIUM,criteria,Urbit engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: decolonial governance.
204,Agreement Engine,https://medium.com/metagov/introducing-the-agreement-engine-bf03b6d5c16c,15.2,15.2,0,0.66,LOW,LOW,criteria,"The Agreement Engine website appears to be down, which limits what I can verify about this project. Primary driver: community-centred design."
205,Neighbourhood Warmth,https://www.mysociety.org/climate/neighbourhood-warmth,15.2,15.2,0,0.73,LOW,LOW,criteria,The participatory design evidence in Neighbourhood Warmth's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
206,WhatDoTheyKnow,https://www.whatdotheyknow.com,15.2,15.2,0,0.92,LOW,MEDIUM,criteria,"My constitution is not built to see what WhatDoTheyKnow does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
207,Whoisology,https://whoisology.com,15.1,15.1,0,0.69,LOW,LOW,criteria,"My constitution is not built to see what Whoisology does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
208,soweego,https://soweego.readthedocs.io,15.1,15.1,0,0.88,LOW,LOW,criteria,"My constitution is not built to see what soweego does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
209,youtube-dl,https://github.com/ytdl-org/youtube-dl,15.0,15.0,0,0.83,LOW,HIGH,criteria,"youtube-dl engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: decolonial governance. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
210,Consent-O-Matic,https://github.com/cavi-au/consent-o-matic,14.9,14.9,0,0.82,LOW,MEDIUM,criteria,Consent-O-Matic engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: decolonial governance.
211,Theft Bisect,https://onodi.co/bisect/,14.9,15.9,-1,0.92,LOW,LOW,criteria,"My constitution is not built to see what Theft Bisect does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
212,Granitt,https://granitt.io,14.8,14.8,0,0.63,LOW,LOW,criteria,The participatory design evidence in Granitt's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
213,MapIt,https://mapit.mysociety.org,14.6,14.6,0,0.94,LOW,MEDIUM,criteria,"My constitution is not built to see what MapIt does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
214,Objector.ai,https://www.objector.ai,14.6,14.6,0,0.73,LOW,HIGH,criteria,"My constitution is not built to see what Objector.ai does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
215,Privacy Badger,https://privacybadger.org,14.5,13.5,1,0.9,LOW,MEDIUM,criteria,"My constitution is not built to see what Privacy Badger does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
216,Murmurations Protocol,https://murmurations.network,14.4,14.4,0,0.85,LOW,LOW,criteria,"My constitution is not built to see what Murmurations Protocol does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
217,Channel.org,https://channel.org,14.2,14.2,0,0.69,LOW,LOW,criteria,The participatory design evidence in Channel.org's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
218,Citizens Advice Tableau Public Profile,https://public.tableau.com/app/profile/citizensadvice/vizzes,14.2,14.2,0,0.63,LOW,LOW,criteria,"My constitution is not built to see what Citizens Advice Tableau Public Profile does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
219,Deliberation & Technology (DelibTech) Network,https://www.demnext.org/projects/delibtech-network,14.2,14.2,0,0.69,LOW,LOW,criteria,The participatory design evidence in Deliberation & Technology (DelibTech) Network's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
220,Idealist,https://idealist.org,14.1,11.1,3,0.73,LOW,MEDIUM,criteria,"My constitution is not built to see what Idealist does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
221,Modular Politics,https://arxiv.org/abs/2005.13701,14.1,14.1,0,0.67,LOW,LOW,criteria,"My constitution is not built to see what Modular Politics does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
222,Open Referral UK,https://openreferraluk.org,14.1,14.1,0,0.96,LOW,LOW,criteria,"My constitution is not built to see what Open Referral UK does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
223,RightDD,https://www.rightsdd.com,14.1,14.1,0,0.67,LOW,LOW,criteria,"My constitution is not built to see what RightDD does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
224,FixMyBlock,https://fixmyblock.org,13.9,8.9,5,0.73,LOW,LOW,criteria,"My constitution is not built to see what FixMyBlock does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability."
225,OpenBudgets.eu,https://openbudgets.eu,13.9,13.9,0,0.92,LOW,LOW,criteria,"My constitution is not built to see what OpenBudgets.eu does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
226,PolicyEngine,https://policyengine.org/uk,13.9,10.9,3,0.89,LOW,MEDIUM,criteria,"My constitution is not built to see what PolicyEngine does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
227,Papertree,https://www.papertree.earth,13.6,13.6,0,0.59,LOW,LOW,criteria,"My constitution is not built to see what Papertree does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
228,Snowdrift.coop,https://snowdrift.coop,13.6,13.6,0,0.83,LOW,LOW,criteria,Snowdrift.coop engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: decolonial governance.
229,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,13.5,13.5,0,0.82,LOW,LOW,criteria,"My constitution is not built to see what Framework for Meaningful Engagement 2.0 does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
230,Full Fact AI,https://fullfact.org/ai,13.5,13.5,0,0.84,LOW,LOW,criteria,"My constitution is not built to see what Full Fact AI does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
231,Local Insight,https://localinsight.org,13.4,8.4,5,0.69,LOW,LOW,criteria,"My constitution is not built to see what Local Insight does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: health equity."
232,Manifold Markets,https://manifold.markets,13.4,13.4,0,0.77,LOW,MEDIUM,criteria,The participatory design evidence in Manifold Markets's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
233,Worker Info Exchange,https://www.workerinfoexchange.org,13.4,19.4,-6,0.77,LOW,LOW,criteria,"My constitution is not built to see what Worker Info Exchange does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
234,DoGooder,https://dogooder.co,13.3,13.3,0,0.55,LOW,LOW,criteria,"The DoGooder website appears to be down, which limits what I can verify about this project. Primary driver: community-centred design."
235,Groupthink (OpenPolitics Votebot),https://github.com/openpolitics/groupthink,13.3,13.3,0,0.88,LOW,LOW,criteria,"My constitution is not built to see what Groupthink (OpenPolitics Votebot) does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
236,Nook CRM,https://nookcrm.com,12.8,11.8,1,0.83,LOW,LOW,criteria,"My constitution is not built to see what Nook CRM does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
237,Who Targets Me Trends,https://trends.whotargets.me,12.8,12.8,0,0.77,LOW,LOW,criteria,"My constitution is not built to see what Who Targets Me Trends does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
238,SecureDrop,https://securedrop.org,12.6,11.6,1,0.9,LOW,HIGH,criteria,"My constitution is not built to see what SecureDrop does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
239,Shared Digital Guides,https://www.shareddigitalguides.org.uk,12.6,12.6,0,0.69,LOW,LOW,criteria,"My constitution is not built to see what Shared Digital Guides does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
