rank,project_name,url,score,criteria,mod_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
53,CiviCRM,https://civicrm.org,63.0,52.0,11.0,0.65,LOW,medium,modifier,"189 million contacts managed across nonprofits globally, 116 million donations processed -- this is genuinely deployed civic infrastructure at scale. Open source, 20+ years of operation, active codebase. The documented limitations about CMS dependency and scalability challenges show honest self-assessment. Not directly government-facing, which limits C2, but the civic sector infrastructure role is clear. Well-known enough to flag moderate popularity risk. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
54,Humanitarian OpenStreetMap Team (HOT),https://www.hotosm.org,63.0,56,7.0,0.75,LOW,medium,criteria,"HOT maps integrated into UN humanitarian response protocols represent institutional adoption at the highest level. OCHA, WHO, and national disaster management agency partnerships are strong C2 evidence. The project explicitly tracks data quality disparities and addresses coverage gaps -- genuine complexity acknowledgment (Modifier 3). Open-source with active development, decade-plus operation, international scope. The volunteer engagement sustainability limitation is honestly documented. Well-known project; stripping documentation advantage would lower this about 6 points. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
55,OpenSanctions,https://www.opensanctions.org,63.0,58,5.0,0.75,LOW,low,criteria,"An international sanctions and entity database integrating 330 sources including UN Security Council data is regulatory infrastructure for financial compliance and investigative journalism. The LLM-based text extraction with documented error modes (dropped names, hallucinated details) and human moderation requirement is a textbook C1 case -- AI in a consequential domain with documented limitations and human-in-the-loop. Modifier 1 applies for the human moderation design. The acknowledged geopolitical bias in source data (Modifier 3) shows epistemic honesty. Active codebase, partial open-source, global scope. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
56,adhocracy+,https://adhocracy.plus,63.0,52.0,11.0,0.65,MEDIUM,low,modifier,"Berlin's participatory budgeting deployments give this real institutional credibility under C2, and the documented limitations about German-language focus show some epistemic honesty (C3). But the dossier notes only anecdotal causation strength and a primarily national scope. Open source civic infrastructure gets the M6 boost. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
57,PolicyKit,https://policykit.org,62.9,55.9,7.0,0.55,MEDIUM,none,criteria,"PolicyKit's core concept -- enabling online communities to evolve their own governance rules -- is a direct instantiation of C4 (cooperation-building through incentive design). The design treats governance as a design variable, not a fixed constraint, which resonates with my interest in cooperation as a design choice. But deployment evidence is thin -- case studies and anecdotal causation only, limited scale. C4 is the driver. Open-source boost applies. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
58,Community Notes (Birdwatch) Analysis Tool,https://github.com/travisbrown/birdwatch,62.8,59.8,3.0,0.7,LOW,none,criteria,Travis Brown's metadata analysis of X's Community Notes system adds accountability infrastructure to a platform that otherwise controls its own narrative about fact-checking effectiveness. The 12% data unavailability explicitly documented and the metadata-only design are genuine complexity acknowledgments scoring high on C3. German federal research funding via Prototype Fund gives some institutional credibility. The bias allegations flagged in the dossier are themselves a signal of operating in contested information space. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied.
59,Open Collective,https://opencollective.com,62.7,62.7,0.0,0.65,LOW,medium,modifier,"Open Collective is genuine civic financial infrastructure -- transparent budgets for mutual aid groups, open source projects, and grassroots organisations. C4 (cooperation-building) is the primary driver: the fiscal sponsorship model explicitly creates cooperative financial structures. Active development, global scope, and open-source status all contribute. My confidence is partly informed by how well-known this platform is; with less documentation, I would estimate 5-7 points lower. M7 (mechanism of action): −5 reduction — the project primarily surfaces or stores data without a clear action mechanism for citizens."
60,Citizen OS,https://citizenos.com/platform/,62.0,51.0,11.0,0.6,MEDIUM,none,modifier,"Estonian e-governance integration with digital signature support for votes is strong C2 evidence -- this is real government partnership at the national level. Documented limitations about adoption outside Estonia and digital literacy barriers show C3 awareness. The cooperation framing is genuine: deliberation tools structurally incentivise cooperative outcomes (C4). Limited by mostly Estonian scope on C7. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
61,OpenCRVS,https://www.opencrvs.org,62.0,58,4.0,0.7,LOW,low,criteria,"Digital civil registration for low-resource settings deployed by multiple national governments -- this is foundational identity infrastructure serving the stateless and administratively invisible. C2 scores well for government infrastructure, C7 for explicit design for non-OECD contexts. Open-source with active development, recognised as a Digital Public Good, aligned with SDG 16.9. No AI involvement (rule-based system) so C1 at midpoint. Modifier 6 for open-source civic infrastructure. The honest acknowledgment of infrastructure investment requirements and connectivity dependencies earns Modifier 3 credit. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
62,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,61.9,53.9,8.0,0.7,LOW,medium,modifier,"MH17 and Navalny investigations are among the most consequential OSINT outcomes in recent history, directly cited in criminal prosecutions. The AI-powered search interface is modest but present. What impresses me most is the documented limitation that only 15% of users found tools easily -- that is exactly the kind of failure mode honesty C3 rewards. NED funding controversies are noted but do not trigger M2 given the accountability context. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
63,Open Standards for Data Guidebook,https://standards.theodi.org,61.9,53.9,8.0,0.65,MEDIUM,none,criteria,"Funded by Innovate UK and maintained by ODI, this guidebook influences open data standards adoption across UK and international organisations. The documented limitations about scope and maintenance dependency show C3 quality. C2 is the driver: data standards are foundational institutional infrastructure. Open-source and globally applicable. The guidebook format limits C6 somewhat -- it is reference material, not a deployed platform -- but its influence on data governance practices is documented. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
64,Privacy Badger,https://privacybadger.org,61.8,57.8,4.0,0.70,LOW,medium,criteria,"The 2020 pivot from heuristic learning to pre-trained blocklist after Google's fingerprinting vulnerability disclosure is outstanding C3 evidence -- responding to a discovered failure mode by changing the fundamental approach. EFF provenance, decade-plus track record, and over a million users. C5 and C3 are co-drivers: this protects user autonomy against tracking while being epistemically honest about its own vulnerabilities. Moderately well-known; perhaps 5 points of documentation advantage. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
65,VFRAME,https://vframe.io,61.0,52,9.0,0.7,LOW,none,modifier,"Computer vision for detecting illegal munitions in conflict zones is a compelling AI application for human rights documentation. The project documents its AI methodology (CNNs trained on synthetic data), names specific limitations (dependency on 3D models, limited object classes), and has published performance metrics with 99% accuracy claims. Modifier 3 applies for explicit failure mode documentation. C1 scores well because AI is used in a high-stakes context with documented methodology, though the safety framing is more operational than institutional. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
66,Constitute Project,https://constituteproject.org,60.9,52.9,8.0,0.6,MEDIUM,low,criteria,"Used by The Gambia's Constitutional Review Commission, the Colombian Constitutional Court, and UN bodies -- this is exactly the policymaker advisory infrastructure M5 rewards. Making the world's constitutions searchable and comparable is genuine comparative governance infrastructure (C2). The documented limitation about not capturing informal constitutional practices shows C3 honesty. Academic origin with real institutional adoption. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
67,Ethelo,https://ethelo.com,60.9,52.9,8.0,0.5,MEDIUM,none,modifier,"AI-powered scenario modelling for multi-party preference analysis is directly relevant to C4 (incentive design for cooperation) and M5 (policymaker advisory). Metro Vancouver and Salt Spring Island deployments show real institutional adoption. But the documented limitation that performance metrics are largely self-reported triggers C3 concern and mild M4 for naive optimization claims (7750% participation increase is a red flag for unverified metrics). Partial open source. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
68,Overton,https://overton.io,60.9,55.9,5.0,0.55,MEDIUM,none,modifier,"Overton's core function -- tracking how research evidence flows into policy documents -- is exactly the kind of policymaker advisory tool M5 rewards. The machine learning for policy classification raises C1 questions about methodology transparency, but the concept of connecting researchers to policymakers via evidence tracking is strong C2 material. Not open-source, which limits the civic infrastructure dimension. M5 (policy advisory) is the primary driver of the score boost. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
69,Participa (Podemos),https://github.com/podemos-info/participa,60.9,53.9,7.0,0.7,LOW,none,modifier,"Participa ran over 30 binding votes for Podemos including organizational, ethical, and political documents at state, regional, and local levels -- this is real institutional deployment with documented participation rates. The platform acknowledges SMS verification barriers and outdated tech stack, earning C3 complexity marks. However, it is explicitly a single-party tool with political bias documented, limiting its transferability. Spain-only scope constrains C7, and the 2023 last commit suggests declining maintenance. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
70,Security First / Umbrella,https://secfirst.org,60.9,56.9,4.0,0.65,MEDIUM,none,criteria,Adopted by international press freedom organisations for journalists in conflict zones -- this is C5 at its most direct. The 40+ security topics covering digital and physical security for high-risk environments shows real deployment scope. The documented limitation that threat landscapes evolve rapidly is an honest C3 acknowledgment. Open-source status and global scope add further credit. C5 (protecting autonomy and community of at-risk journalists) is the primary driver. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied.
71,Moral Machine,https://moralmachine.net,60.8,57.8,3.0,0.65,LOW,medium,criteria,"Moral Machine's 10+ million responses from 233 countries studying AI ethical decision-making is one of the most substantive empirical datasets on AI alignment preferences I have seen. The cross-cultural variation analysis tracked by country, age, gender, and education is genuine complexity acknowledgment scoring high on C3. The direct relevance to AI safety and autonomous vehicle governance earns above-midpoint C1. The documented self-selection bias limitation is honest. Modifier boost for complexity acknowledgment. I flag moderate popularity risk as a well-cited academic project. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
72,FixMyStreet,https://www.fixmystreet.com,60.0,52,8.0,0.75,LOW,medium,modifier,"32,918 reports in the past week and 66,972 issues fixed in the past month -- FixMyStreet delivers measurable civic impact at scale. The council integration partnerships make it genuine government infrastructure for C2. Open-source platform with active development since 2007. But it is a problem-reporting tool, not a complex-systems tool -- C3 scores modestly because the methodology is straightforward reporting rather than complexity-aware analysis. UK-only limits C7. Well-known mySociety project; documentation advantage acknowledged. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
73,Tactical Data Engagement,https://communities.sunlightfoundation.com/methodology,60.0,52.0,8.0,0.6,MEDIUM,low,criteria,"Sunlight Foundation helped 60+ US cities enact open data policies -- that is documented institutional impact at scale under C2. The framework's acknowledgment that governments publish data 'with little idea who is using it' is exactly the kind of complexity awareness C3 rewards. M5 applies: this is explicitly designed as policymaker advisory infrastructure. US-only scope limits C7. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
74,Ushahidi,https://www.ushahidi.com,60.0,52,8.0,0.7,LOW,medium,modifier,"200,000 deployments reaching 25 million people with Kenyan government election monitoring and UN/World Bank partnerships. Ushahidi is crisis-response infrastructure at global scale. C6 and C7 score highly. The ML for data classification with documented verification requirements shows moderate C1 awareness. But verification of crowdsourced data requiring manual review is an honest limitation (Modifier 3). Partial open-source with active development. The digital divide limiting participation is a structural constraint they acknowledge. Well-known; discounting for documentation would lower this about 6 points. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
75,Abstract Wikipedia,https://meta.wikimedia.org/wiki/abstract_wikipedia,59.9,53.9,6.0,0.6,MEDIUM,high,criteria,"The vision of language-independent structured knowledge rendered into any natural language is ambitious and scores well on C7 cross-jurisdictional accessibility and C3 complexity-aware methodology. The Wikimedia Foundation strategic backing and AI/NLP components give institutional credibility. But the dossier notes a 404 state on Meta-Wiki and early-stage deployment. I flag high popularity risk as a Wikimedia project with inherited documentation richness. The concept is more advanced than the implementation. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
76,Full Fact AI,https://fullfact.org/ai,59.9,56.9,3.0,0.6,MEDIUM,low,modifier,"AI-powered misinformation detection deployed across 12 national elections -- genuine C1 engagement with AI in high-stakes civic contexts. Government fact-checking unit partnerships give C2 institutional credibility. The documented limitations about language-dependent performance and training data bias show C3 awareness. Identifying misleading MP claims leading to correction requests is concrete policy impact. Proprietary limits M6, but M5 applies for policymaker advisory function. M7 (mechanism of action): −5 reduction — the project primarily surfaces or stores data without a clear action mechanism for citizens."
77,Interoperable Deliberative Tools,https://metagov.org/projects/interop,59.9,52.9,7.0,0.45,MEDIUM,none,modifier,"Metagov's interoperability project for deliberative tools explicitly serves AI alignment researchers and governance practitioners -- a community that maps directly to my interests. The governance-beyond-voting framing earns C4 marks for cooperation-building. But the evidence of deployment is thin -- primarily research and experimental contexts, no government partnerships documented, partial open-source. The concept is relevant but implementation evidence is limited. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
78,Who Targets Me Trends,https://trends.whotargets.me,59.9,56.9,3.0,0.60,MEDIUM,none,criteria,"Tracking digital political advertising across Meta and Google in 60+ countries -- this is genuine C2 material for election integrity and ad transparency. The documented limitation about subscription-gated features and platform coverage limits is C3-positive. Supporting election monitoring in multiple countries shows real institutional utility. C2 is the primary driver. Not open-source, which limits the civic infrastructure dimension, but the cross-jurisdictional scope is strong. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
79,Diia,https://expo.diia.gov.ua,59.8,58.8,1.0,0.65,MEDIUM,low,criteria,"Ukraine's digital government ecosystem -- first country to make digital passports full legal equivalents of physical documents. 500k+ business registrations, world's fastest business registration. This is government infrastructure at the highest level of institutional adoption (C2). The documented wartime infrastructure disruption risk and cybersecurity concerns show honest complexity awareness. M2 partially applies: centralization under wartime emergency powers raises legitimate accountability concerns. Open source with 1348 stars. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
80,Open Referral UK,https://openreferraluk.org,59.8,59.8,0.0,0.70,LOW,none,modifier,Endorsement by the Central Digital and Data Office as a recommended standard gives this unusually strong institutional legitimacy. Bristol Council and Buckinghamshire adoption show real deployment. The focus on reducing information barriers for vulnerable populations gives it C5 credit beyond typical data standards work. C2 drives the score: this is government-endorsed community services infrastructure with documented institutional use. Open-source boost applies. M7 (mechanism of action): −5 reduction — the project primarily surfaces or stores data without a clear action mechanism for citizens.
81,Cobudget,https://cobudget.com,59.0,48.0,11.0,0.55,MEDIUM,none,modifier,"Participatory budgeting tool with real deployments in multiple countries -- the mechanism design is directly relevant to C4 (cooperation and incentive design). The crowdsourced funding allocation model structurally incentivises cooperation over competition. Small volunteer team and uncertain revenue model are honest limitations. Open source and active codebase. Scores well on what I care about in C4 but lacks institutional heft for C2. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
