rank,project_name,url,score,criteria_score,mod_adj,dossier_completeness,uncertainty,pop_risk,primary_driver,rationale
110,River Sentiment Dashboard,https://riversentiment.app,38.3,36.3,2,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
111,rsky,https://github.com/blacksky-algorithms/rsky,38.3,34.3,4,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
112,Agreement Engine,https://medium.com/metagov/introducing-the-agreement-engine-bf03b6d5c16c,38.2,38.2,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
113,Discourse,https://www.discourse.org,38.2,38.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
114,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,38.2,38.2,0,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
115,GovWise,https://www.govwise.ai/en,38.2,38.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
116,GrantNav,https://grantnav.threesixtygiving.org,38.2,38.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
117,Open Access – Transparency International UK,https://openaccess.transparency.org.uk,38.2,38.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
118,Polimorphic,https://www.polimorphic.com,38.2,38.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
119,The Accountability Project,https://publicaccountability.org,38.2,38.2,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
120,The Circuit,https://thecircuit.cc,38.2,38.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
121,UrbanistAI,https://site.urbanistai.com,38.2,38.2,0,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented."
122,GovTrack.us,https://www.govtrack.us,38.1,44.1,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
123,Open Contracting Partnership,https://www.open-contracting.org,38.1,44.1,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
124,Fission Codes,https://github.com/fission-codes/fission-codes,37.4,28.4,9,0.8,LOW,LOW,modifier,"The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
125,Democracy Club Developer API,https://developers.democracyclub.org.uk/api/v1,37.3,37.3,0,1.0,LOW,LOW,criteria,"Participation has some pathway to influence, though binding outcomes aren't fully documented."
126,django-collaborative,https://github.com/propublica/django-collaborative,37.3,37.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
127,Martus,https://www.martus.org,37.3,37.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
128,Metaculus,https://metaculus.com,37.3,37.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
129,Nook CRM,https://nookcrm.com,37.3,37.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
130,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,37.3,37.3,0,1.0,LOW,HIGH,criteria,"The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. High popularity risk: Open Data Editor (ODE) is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
131,Open Referral UK,https://openreferraluk.org,37.3,37.3,0,1.0,LOW,LOW,criteria,"Participation has some pathway to influence, though binding outcomes aren't fully documented."
132,Public AI Inference Utility,https://publicai.co/,37.3,37.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
133,Turkopticon,https://turkopticon.ucsd.edu,37.3,37.3,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
134,WhatGov,https://www.whatgov.co.uk,37.3,37.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
135,Monitor Mamdani,https://monitormamdani.com/,37.1,43.1,-6,1.0,LOW,HIGH,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
136,OpenSanctions,https://www.opensanctions.org,37.1,43.1,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly."
137,Humble Data Workshop,https://humbledata.org,36.4,32.4,4,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
138,docs.plus,https://docs.plus,36.3,36.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
139,Idealist,https://idealist.org,36.3,36.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
140,Local Insight,https://localinsight.org,36.3,36.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
141,One Project,https://oneproject.org/,36.3,36.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
142,openparliament.ca,https://openparliament.ca/,36.3,36.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
143,ОПОРА (Opora),https://www.oporaua.org,36.3,36.3,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
144,Prolific,https://www.prolific.com,36.3,36.3,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
145,Pursuance Project,https://pursuanceproject.org,36.3,36.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
146,UK Parliament Developer Portal,https://developer.parliament.uk,36.3,36.3,0,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented."
147,User Research Library,https://research.localgov.digital,36.3,36.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
148,deliberAIde,https://www.deliberaide.com,36.2,42.2,-6,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
149,WriteToThem,https://www.writetothem.com,36.2,42.2,-6,1.0,LOW,HIGH,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
150,Abstract Wikipedia,https://meta.wikimedia.org/wiki/abstract_wikipedia,35.3,35.3,0,1.0,LOW,HIGH,criteria,"High popularity risk: Abstract Wikipedia is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
151,Anna's Archive,https://annas-archive.pm,35.3,35.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
152,Community Tech,https://www.communitytech.network,35.3,35.3,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
153,Coral,https://coralproject.net,35.3,35.3,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
154,Mapped,https://mapped.commonknowledge.coop,35.3,35.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
155,Nestr,https://nestr.io,35.3,35.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
156,Open Council Data UK,https://opencouncildata.co.uk,35.3,35.3,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
157,OpenElections Leaflet Scraper and Parser,https://github.com/thicknavyrain/uk_elections_leaflets,35.3,35.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
158,Principles for Public Participation in Procurement of AI,https://p4ai.net,35.3,35.3,0,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented."
159,Riseup,https://riseup.net,35.3,35.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
160,Strike Map,https://strikemap.org,35.3,35.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
161,Viewpoints,https://viewpoints.xyz,35.3,35.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
162,Watch Duty,https://www.watchduty.org,35.3,35.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
163,AlgorithmWatch,https://algorithmwatch.org,35.2,39.2,-4,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly."
164,Community Notes (Birdwatch) Analysis Tool,https://github.com/travisbrown/birdwatch,35.2,39.2,-4,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly."
165,OA.Report,https://oa.report,35.2,41.2,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The extractive or surveillance dimension pulls the score down significantly."
166,Who Targets Me Trends,https://trends.whotargets.me,35.2,41.2,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly."
167,FixMyBlock,https://fixmyblock.org,34.5,27.5,7,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The explicit focus on communities excluded from traditional financial and governance systems earns a meaningful boost.
168,Membership,https://medium.com/@abscond/membership-a-prototype-ea822b2683b,34.4,32.4,2,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
169,CiviClick,https://civiclick.com,34.3,34.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
170,CivicPress,https://civicpress.io/,34.3,34.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
171,Collaborative Data Patterns,https://collaborative-data.theodi.org,34.3,34.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
172,Granicus,https://granicus.com/uk,34.3,34.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
173,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,34.3,34.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
174,postcodes.io,https://github.com/ideal-postcodes/postcodes.io,34.3,34.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
175,semanticClimate,https://semanticclimate.github.io,34.3,34.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
176,Tech Coops List,https://tech-coops.xyz,34.3,34.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
177,Who Posted What?,https://whopostedwhat.com,34.3,34.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
178,Wikum,https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization,34.3,34.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
179,Fundación Ciudadanía Inteligente,https://ciudadaniai.org,34.2,40.2,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
180,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,34.2,40.2,-6,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly.
181,The Government Says,https://thegovernmentsays.com,34.2,40.2,-6,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly.
182,Mozilla Data Collective,https://datacollective.mozillafoundation.org/,33.4,29.4,4,1.0,LOW,HIGH,criteria,"High popularity risk: Mozilla Data Collective is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
183,Channel.org,https://channel.org,33.3,33.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
184,Consent-O-Matic,https://github.com/cavi-au/consent-o-matic,33.3,33.3,0,0.9,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
185,CoTech,https://coops.tech,33.3,33.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
186,DoNotPay,https://www.donotpay.com,33.3,33.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
187,Esper,https://esper.com/product,33.3,33.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
188,Give Food,https://www.givefood.org.uk,33.3,33.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
189,GOV Reuse Library,https://dev.reuselibrary.service.justice.gov.uk/,33.3,33.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
190,Journalist Studio,https://journaliststudio.google.com,33.3,33.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
191,Manifold Markets,https://manifold.markets,33.3,33.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
192,Nym,https://nymtech.net,33.3,33.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
193,Open Letter,https://openletter.earth,33.3,33.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
194,Parliament Watch Uganda,https://parliamentwatch.ug/,33.3,33.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
195,Rahvaalgatus,https://github.com/rahvaalgatus/rahvaalgatus,33.3,33.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
196,Schema.org,https://schema.org,33.3,33.3,0,0.7,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
197,We Live It,https://www.welivedit.ai,33.3,33.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
198,Whoisology,https://whoisology.com,33.3,33.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
199,MapIt,https://mapit.mysociety.org,33.2,39.2,-6,1.0,LOW,HIGH,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly.
200,Collab.Land,https://collab.land,32.5,23.5,9,0.9,LOW,LOW,modifier,"The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
201,Bluesky,https://bsky.app,32.4,32.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
202,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,32.4,32.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
203,FarmerChat,https://farmerchat.digitalgreen.org,32.4,32.4,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
204,GOV.UK Notify,https://www.notifications.service.gov.uk,32.4,32.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
205,GRIM (Global Risk Simulator),https://github.com/sentinelteam/grim,32.4,32.4,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
206,Missing Numbers,https://missingnumbers.org,32.4,32.4,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
207,MP Watch,https://www.mpwatch.org,32.4,32.4,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
208,Objector.ai,https://objector.ai,32.4,32.4,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
209,OpenCRVS,https://www.opencrvs.org,32.4,32.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
210,RightDD,https://www.rightsdd.com,32.4,32.4,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
211,SecureDrop,https://securedrop.org,32.4,32.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
212,Vote for Policies,https://voteforpolicies.org.uk,32.4,32.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
213,Tracka,https://yourtracka.org,32.2,38.2,-6,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
214,CharmVerse,https://charmverse.io/,31.4,31.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
215,Choose a License,https://choosealicense.com,31.4,31.4,0,0.9,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
216,Fatebook,https://fatebook.io,31.4,31.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
217,GlobaLeaks,https://www.globaleaks.org,31.4,31.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
218,GOV.UK One Login,https://www.sign-in.service.gov.uk,31.4,31.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
219,GOV.UK Pay,https://www.payments.service.gov.uk,31.4,31.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
220,Hand-Written Petition Scanner,https://hand-written-petition-scanner.streamlit.app,31.4,31.4,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
221,Journal of Open Source Software,https://joss.theoj.org,31.4,31.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
222,MP Twitter Bios,https://www.mptwitterbios.co.uk,31.4,31.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
223,Objector.ai,https://www.objector.ai,31.4,31.4,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
224,Parse The Bill,https://parsethebill.com,31.4,31.4,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
225,The Commons Social Change Library,https://commonslibrary.org,31.4,31.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
226,Theft Bisect,https://onodi.co/bisect/,31.4,31.4,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
227,youtube-dl,https://github.com/ytdl-org/youtube-dl,31.4,31.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
228,Charity Digital Skills Report,https://charitydigitalskills.co.uk,31.3,37.3,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The extractive or surveillance dimension pulls the score down significantly."
229,OA.Works,https://oa.works/,31.3,37.3,-6,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly.
230,Parallel Parliament,https://www.parallelparliament.co.uk,31.3,37.3,-6,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The extractive or surveillance dimension pulls the score down significantly."
231,Dovetail,https://dovetail.network,30.4,30.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
232,Frankenstein Bill,https://gordonguthrie.github.io/frankensteinbill,30.4,30.4,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
233,GreenPT,https://greenpt.ai/,30.4,30.4,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
234,Kialo,https://kialo.com,30.4,30.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
235,Pastecal,https://github.com/kazad/pastecal,30.4,30.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
236,PatCit,https://github.com/cverluise/patcit,30.4,30.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
237,PoliMonitor,https://www.polimonitor.com,30.4,30.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
238,Relational Tech Project,https://relationaltechproject.org,30.4,30.4,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
239,Shared Digital Guides,https://www.shareddigitalguides.org.uk,30.4,30.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
240,WardWatch,https://wardwatch.uk,30.4,30.4,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
