rank,project_name,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
112,EDGAR,https://github.com/bellingcat/edgar,44.1,44.1,0,0.75,LOW,HIGH,criteria,"EDGAR covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria. High popularity risk: EDGAR is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
113,MapIt,https://mapit.mysociety.org,44.1,44.1,0,1.0,LOW,HIGH,criteria,"MapIt covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria. High popularity risk: MapIt is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
114,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,44.1,44.1,0,1.0,LOW,LOW,criteria,Open Data Editor (ODE) covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
115,Open Data Communities,https://opendatacommunities.org,44.1,44.1,0,0.92,LOW,MEDIUM,criteria,Open Data Communities covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
116,SecureDrop,https://securedrop.org,44.1,44.1,0,0.92,LOW,MEDIUM,criteria,SecureDrop covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
117,Spartacus,https://spartacus.app,44.1,44.1,0,0.75,LOW,LOW,criteria,"Spartacus scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
118,WriteToThem,https://www.writetothem.com,44.1,44.1,0,1.0,LOW,MEDIUM,criteria,"WriteToThem scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
119,Anna's Archive,https://annas-archive.pm,43.2,40.2,3,0.55,MEDIUM,NONE,criteria,Anna's Archive covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
120,Humble Data Workshop,https://humbledata.org,43.2,38.2,5,0.75,LOW,LOW,criteria,Humble Data Workshop covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
121,Spacetube,https://spacetu.be,43.2,39.2,4,0.67,MEDIUM,LOW,criteria,Spacetube covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
122,Aleph (OCCRP),https://aleph.occrp.org,43.1,43.1,0,0.92,LOW,HIGH,criteria,"Aleph (OCCRP) covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria. High popularity risk: Aleph (OCCRP) is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
123,Civic Tech Field Guide,https://civictech.guide,43.1,43.1,0,0.83,LOW,MEDIUM,criteria,"Civic Tech Field Guide scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
124,Open Referral UK,https://openreferraluk.org,43.1,43.1,0,1.0,LOW,MEDIUM,criteria,Open Referral UK covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
125,Open Science Framework,https://osf.io,43.1,43.1,0,0.92,LOW,MEDIUM,criteria,Open Science Framework covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
126,Relational Tech Project,https://relationaltechproject.org,43.1,43.1,0,0.58,MEDIUM,NONE,criteria,"Relational Tech Project scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
127,Tracka,https://yourtracka.org,43.1,43.1,0,1.0,LOW,MEDIUM,criteria,"Tracka scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
128,CrowdJustice,https://www.crowdjustice.com,43.0,49.0,-6,0.72,LOW,MEDIUM,criteria,"CrowdJustice scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. The extractive or surveillance dimension here is what pulls the score down — I can't endorse a model that extracts from communities without redistributing governance."
129,meet.coop,https://www.meet.coop,43.0,51.0,-8,0.75,LOW,LOW,criteria,"meet.coop scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. The extractive or surveillance dimension here is what pulls the score down — I can't endorse a model that extracts from communities without redistributing governance."
130,MP Watch,https://www.mpwatch.org,42.3,34.3,8,0.92,LOW,LOW,criteria,"MP Watch scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
131,CivicPress,https://civicpress.io/,42.2,39.2,3,0.83,LOW,LOW,criteria,CivicPress covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
132,Collaborative Data Patterns,https://collaborative-data.theodi.org,42.2,42.2,0,0.67,MEDIUM,LOW,criteria,"Collaborative Data Patterns scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
133,The Commons Social Change Library,https://commonslibrary.org,42.2,42.2,0,0.75,LOW,MEDIUM,criteria,"The Commons Social Change Library scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
134,The Engine Room Library,https://library.theengineroom.org,42.2,42.2,0,0.75,LOW,MEDIUM,criteria,The Engine Room Library covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
135,Members' Interests,https://membersinterests.org.uk,42.2,42.2,0,0.72,LOW,MEDIUM,criteria,"Members' Interests scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
136,Open Council Data UK,https://opencouncildata.co.uk,42.2,42.2,0,0.83,LOW,MEDIUM,criteria,"Open Council Data UK scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
137,Strike Map,https://strikemap.org,42.2,42.2,0,0.67,MEDIUM,LOW,criteria,Strike Map covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
138,Give Food,https://www.givefood.org.uk,42.2,42.2,0,0.72,LOW,MEDIUM,criteria,Give Food covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
139,Neighbourhood Warmth,https://www.mysociety.org/climate/neighbourhood-warmth,42.2,42.2,0,0.83,LOW,HIGH,criteria,"Neighbourhood Warmth scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. High popularity risk: Neighbourhood Warmth is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
140,OpenCRVS,https://www.opencrvs.org,42.2,42.2,0,1.0,LOW,LOW,criteria,OpenCRVS covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
141,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,41.2,41.2,0,0.83,LOW,LOW,criteria,Landlord Tech Watch covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
142,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,41.2,41.2,0,0.83,LOW,HIGH,criteria,"Bellingcat Online Investigation Toolkit covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria. High popularity risk: Bellingcat Online Investigation Toolkit is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
143,Coral,https://coralproject.net,41.2,41.2,0,0.92,LOW,MEDIUM,criteria,Coral covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
144,Cortico,https://cortico.ai/platform,41.2,41.2,0,1.0,LOW,LOW,criteria,"Cortico scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
145,Fatebook,https://fatebook.io,41.2,41.2,0,0.75,LOW,LOW,criteria,Fatebook covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
146,UK Policy Dojo,https://github.com/mikekelly/policy-dojo,41.2,38.2,3,0.83,LOW,LOW,criteria,UK Policy Dojo covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
147,Sugartrail,https://github.com/ribenamaplesyrup/sugartrail,41.2,41.2,0,0.83,LOW,LOW,criteria,Sugartrail covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
148,GrantNav,https://grantnav.threesixtygiving.org,41.2,41.2,0,1.0,LOW,MEDIUM,criteria,GrantNav covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
149,Harmonica,https://harmonica.chat/,41.2,41.2,0,0.83,LOW,LOW,criteria,"Harmonica scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
150,Idealist,https://idealist.org,41.2,41.2,0,0.75,LOW,MEDIUM,criteria,"Idealist scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
151,Parliament Watch Uganda,https://parliamentwatch.ug/,41.2,41.2,0,0.75,LOW,MEDIUM,criteria,"Parliament Watch Uganda scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
152,Shareyourpaper.org,https://shareyourpaper.org,41.2,41.2,0,0.75,LOW,LOW,criteria,Shareyourpaper.org covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
153,The Government Says,https://thegovernmentsays.com,41.2,41.2,0,1.0,LOW,MEDIUM,criteria,The Government Says covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
154,Community Tech,https://www.communitytech.network,41.2,41.2,0,0.92,LOW,LOW,criteria,"Community Tech scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
155,Deliberation & Technology (DelibTech) Network,https://www.demnext.org/projects/delibtech-network,41.2,41.2,0,0.75,LOW,LOW,criteria,"Deliberation & Technology (DelibTech) Network scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
156,MP Twitter Bios,https://www.mptwitterbios.co.uk,41.2,38.2,3,0.75,LOW,LOW,criteria,"MP Twitter Bios scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
157,oTree,https://www.otree.org,41.2,41.2,0,0.83,LOW,MEDIUM,criteria,oTree covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
158,ShineYourEye,https://www.shineyoureye.org,41.2,41.2,0,0.67,MEDIUM,LOW,criteria,"ShineYourEye scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
159,Wikidata,https://www.wikidata.org,41.2,41.2,0,0.92,LOW,MEDIUM,criteria,Wikidata covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
160,Metaculus,https://metaculus.com,41.1,46.1,-5,0.72,LOW,MEDIUM,criteria,Metaculus covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
161,Fission Codes,https://github.com/fission-codes/fission-codes,40.4,28.4,12,0.75,LOW,LOW,modifier,"Fission Codes applies programmable, verifiable mechanisms to governance — this is precisely what I mean by 'programmable governance': not just a platform with governance features, but mechanisms where the rules are encoded and auditable. The on-chain or cryptographically verifiable component gets a meaningful boost from me — this is the rare case where 'programmable governance' isn't just a marketing claim."
162,arXiv,https://arxiv.org,40.2,40.2,0,0.83,LOW,HIGH,criteria,"arXiv covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria. High popularity risk: arXiv is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
163,Channel.org,https://channel.org,40.2,40.2,0,0.75,LOW,LOW,criteria,"Channel.org scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
164,Contracts for Data Collaboration,https://contractsfordatacollaboration.org,40.2,40.2,0,1.0,LOW,LOW,criteria,Contracts for Data Collaboration covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
165,Consent-O-Matic,https://github.com/cavi-au/consent-o-matic,40.2,40.2,0,0.75,LOW,LOW,criteria,Consent-O-Matic covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
166,Journal of Open Source Software,https://joss.theoj.org,40.2,40.2,0,0.75,LOW,MEDIUM,criteria,Journal of Open Source Software covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
167,Mapped,https://mapped.commonknowledge.coop,40.2,40.2,0,0.75,LOW,LOW,criteria,"Mapped scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
168,OA.Works,https://oa.works/,40.2,40.2,0,1.0,LOW,MEDIUM,criteria,OA.Works covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
169,OpenBudgets.eu,https://openbudgets.eu,40.2,40.2,0,1.0,LOW,MEDIUM,criteria,"There's genuine transparency infrastructure in OpenBudgets.eu — the core function is making financial or resource flows visible and actionable, which aligns with my central conviction that budget transparency is a precondition for legitimate decision-making."
170,OSINT Framework,https://osintframework.com,40.2,40.2,0,0.75,LOW,MEDIUM,criteria,OSINT Framework covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
171,Vote for Policies,https://voteforpolicies.org.uk,40.2,40.2,0,0.83,LOW,MEDIUM,criteria,"Vote for Policies scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
172,OpenElections Leaflet Scraper and Parser,https://github.com/thicknavyrain/uk_elections_leaflets,39.3,34.3,5,0.75,LOW,LOW,criteria,OpenElections Leaflet Scraper and Parser covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
173,django-collaborative,https://github.com/propublica/django-collaborative,39.2,39.2,0,0.75,LOW,MEDIUM,criteria,django-collaborative covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
174,Hand-Written Petition Scanner,https://hand-written-petition-scanner.streamlit.app,39.2,39.2,0,0.37999999999999995,HIGH,NONE,criteria,"Hand-Written Petition Scanner scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. I'm holding this score loosely — the dossier gaps mean I'm inferring fit from thin evidence, and I could be wrong in either direction."
175,WhatGov,https://www.whatgov.co.uk,39.2,39.2,0,0.83,LOW,MEDIUM,criteria,"WhatGov scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
176,Local Intelligence Hub,https://www.localintelligencehub.com,39.1,44.1,-5,0.92,LOW,LOW,criteria,"Local Intelligence Hub scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
177,Choose a License,https://choosealicense.com,38.2,38.2,0,0.75,LOW,MEDIUM,criteria,Choose a License covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
178,DISARM Frameworks,https://github.com/disarmfoundation/disarmframeworks,38.2,38.2,0,1.0,LOW,LOW,criteria,DISARM Frameworks covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
179,Frankenstein Bill,https://gordonguthrie.github.io/frankensteinbill,38.2,38.2,0,1.0,LOW,LOW,criteria,Frankenstein Bill covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
180,Theft Bisect,https://onodi.co/bisect/,38.2,38.2,0,0.92,LOW,LOW,criteria,Theft Bisect covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
181,Beckton,https://richardpope.org/2017/03/05/beckton-a-tool-to-build,38.2,38.2,0,0.75,LOW,LOW,criteria,Beckton covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
182,Schema.org,https://schema.org,38.2,38.2,0,0.5,MEDIUM,NONE,criteria,Schema.org covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
183,Unpaywall Browser Extension,https://unpaywall.org/products/extension,38.2,38.2,0,0.67,MEDIUM,LOW,criteria,Unpaywall Browser Extension covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
184,deliberAIde,https://www.deliberaide.com,38.2,38.2,0,1.0,LOW,LOW,criteria,"deliberAIde scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
185,Parallel Parliament,https://www.parallelparliament.co.uk,38.2,38.2,0,0.75,LOW,MEDIUM,criteria,"Parallel Parliament scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
186,CAN/DGSI 127 - Age Assurance Technologies Standard,https://dgc-cgn.org/product/can-dgsi-127/,37.3,37.3,0,0.83,LOW,LOW,criteria,"CAN/DGSI 127 - Age Assurance Technologies Standard scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
187,Diia,https://expo.diia.gov.ua,37.3,37.3,0,1.0,LOW,LOW,criteria,Diia covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
188,rsky,https://github.com/blacksky-algorithms/rsky,37.3,34.3,3,0.75,LOW,LOW,criteria,rsky covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
189,GRIM (Global Risk Simulator),https://github.com/sentinelteam/grim,37.3,34.3,3,0.83,LOW,LOW,criteria,GRIM (Global Risk Simulator) covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
190,Journalist Studio,https://journaliststudio.google.com,37.3,37.3,0,0.75,LOW,LOW,criteria,Journalist Studio covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
191,Libertrium,https://liberopinion.com,37.3,37.3,0,0.83,LOW,MEDIUM,criteria,"Libertrium scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
192,Open Letter,https://openletter.earth,37.3,37.3,0,0.92,LOW,MEDIUM,criteria,"Open Letter scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
193,Parse The Bill,https://parsethebill.com,37.3,37.3,0,0.75,LOW,LOW,criteria,"Parse The Bill scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
194,Radicle,https://radicle.xyz,37.3,37.3,0,0.75,LOW,LOW,criteria,Radicle covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
195,Security First / Umbrella,https://secfirst.org,37.3,37.3,0,0.92,LOW,MEDIUM,criteria,Security First / Umbrella covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
196,Empurrando Juntas (EJ),https://sobre.ejparticipe.org,37.3,37.3,0,0.75,LOW,LOW,criteria,"Empurrando Juntas (EJ) scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
197,soweego,https://soweego.readthedocs.io,37.3,37.3,0,0.83,LOW,LOW,criteria,soweego covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
198,Gapminder Worldview Upgrader,https://upgrader.gapminder.org,37.3,37.3,0,1.0,LOW,MEDIUM,criteria,Gapminder Worldview Upgrader covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
199,VFRAME,https://vframe.io,37.3,37.3,0,1.0,LOW,MEDIUM,criteria,VFRAME covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
200,WardWatch,https://wardwatch.uk,37.3,37.3,0,0.75,LOW,LOW,criteria,"WardWatch scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
201,GlobaLeaks,https://www.globaleaks.org,37.3,37.3,0,1.0,LOW,MEDIUM,criteria,GlobaLeaks covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
202,Teaching Public Service in the Digital Age,https://www.teachingpublicservice.digital,37.3,37.3,0,0.83,LOW,LOW,criteria,Teaching Public Service in the Digital Age covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
203,Worker Info Exchange,https://www.workerinfoexchange.org,37.3,37.3,0,0.92,LOW,HIGH,criteria,"Worker Info Exchange covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria. High popularity risk: Worker Info Exchange is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
204,UrbanistAI,https://site.urbanistai.com,37.2,42.2,-5,0.92,LOW,LOW,criteria,"UrbanistAI scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
205,Humanitarian Data Exchange,https://data.humdata.org,36.3,36.3,0,0.92,LOW,MEDIUM,criteria,Humanitarian Data Exchange covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
206,Find local consultations,https://gov.uk/find-local-consultations,36.3,36.3,0,0.83,LOW,MEDIUM,criteria,"Find local consultations scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
207,Monitor Mamdani,https://monitormamdani.com/,36.3,36.3,0,0.75,LOW,LOW,criteria,"Monitor Mamdani scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
208,Open Access – Transparency International UK,https://openaccess.transparency.org.uk,36.3,36.3,0,0.72,LOW,MEDIUM,criteria,Open Access – Transparency International UK covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
209,ORCID,https://orcid.org,36.3,36.3,0,0.92,LOW,MEDIUM,criteria,ORCID covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
210,Turbo Phonebank,https://turbophonebank.com,36.3,36.3,0,0.75,LOW,LOW,criteria,"Turbo Phonebank scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
211,DoNotPay,https://www.donotpay.com,36.3,36.3,0,0.67,MEDIUM,LOW,criteria,DoNotPay covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
212,Marks Out Of Tenancy,https://www.marksoutoftenancy.com,36.3,36.3,0,0.83,LOW,LOW,criteria,"Marks Out Of Tenancy scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
213,Martus,https://www.martus.org,36.3,36.3,0,0.75,LOW,MEDIUM,criteria,Martus covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
214,River Sentiment Dashboard,https://riversentiment.app,35.4,30.4,5,0.75,LOW,LOW,criteria,River Sentiment Dashboard covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
215,The Data Trusts Initiative,https://datatrusts.uk,35.3,35.3,0,1.0,LOW,LOW,criteria,The Data Trusts Initiative covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
216,Agreement Engine,https://medium.com/metagov/introducing-the-agreement-engine-bf03b6d5c16c,35.3,35.3,0,0.55,MEDIUM,NONE,criteria,"Agreement Engine scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
217,The Guide to Major Trusts 2025/26,https://www.dsc.org.uk/publication/the-guide-to-major-trusts-2025-26/,34.5,26.5,8,0.75,LOW,MEDIUM,modifier,The Guide to Major Trusts 2025/26 covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
218,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,34.3,34.3,0,1.0,LOW,LOW,criteria,Data Observation Toolkit (DOT) covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
219,Pastecal,https://github.com/kazad/pastecal,34.3,34.3,0,0.75,LOW,LOW,criteria,Pastecal covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
220,youtube-dl,https://github.com/ytdl-org/youtube-dl,34.3,34.3,0,0.75,LOW,MEDIUM,criteria,youtube-dl covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
221,Granitt,https://granitt.io,34.3,34.3,0,0.75,LOW,LOW,criteria,"Granitt scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
222,Nook CRM,https://nookcrm.com,34.3,34.3,0,0.83,LOW,LOW,criteria,Nook CRM covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
223,Objector.ai,https://objector.ai,34.3,34.3,0,0.92,LOW,LOW,criteria,"Objector.ai scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
224,Pageviews Analysis,https://pageviews.wmcloud.org,34.3,34.3,0,0.75,LOW,MEDIUM,criteria,Pageviews Analysis covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
225,Timecounts,https://timecounts.org,34.3,34.3,0,0.75,LOW,MEDIUM,criteria,"Timecounts scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
226,Who Targets Me Trends,https://trends.whotargets.me,34.3,34.3,0,0.92,LOW,LOW,criteria,Who Targets Me Trends covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
227,Objector.ai,https://www.objector.ai,34.3,34.3,0,0.83,LOW,LOW,criteria,"Objector.ai scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
228,WhatDoTheyKnow,https://www.whatdotheyknow.com,34.3,34.3,0,1.0,LOW,MEDIUM,criteria,WhatDoTheyKnow covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
229,Bluesky,https://bsky.app,34.2,40.2,-6,0.75,LOW,HIGH,criteria,Bluesky covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria. The extractive or surveillance dimension here is what pulls the score down — I can't endorse a model that extracts from communities without redistributing governance.
230,Viewpoints,https://viewpoints.xyz,34.2,40.2,-6,0.75,LOW,LOW,criteria,"Viewpoints scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. The extractive or surveillance dimension here is what pulls the score down — I can't endorse a model that extracts from communities without redistributing governance."
231,Public AI Inference Utility,https://publicai.co/,33.4,30.4,3,0.92,LOW,LOW,criteria,Public AI Inference Utility covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
232,CiviClick,https://civiclick.com,33.3,33.3,0,0.75,LOW,LOW,criteria,"CiviClick scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
233,UK Parliament Developer Portal,https://developer.parliament.uk,33.3,33.3,0,0.72,LOW,MEDIUM,criteria,UK Parliament Developer Portal covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
234,Global Fact-Check Bot (GFC),https://globalfactcheck.bot/,33.3,33.3,0,0.83,LOW,LOW,criteria,Global Fact-Check Bot (GFC) covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
