Rank,Project,URL,Score,Criteria,Mod Adj,Completeness,Uncertainty,Pop Risk,Primary Driver,Rationale
116,Parallel Parliament,https://www.parallelparliament.co.uk,39.4,31.4,8,0.9,LOW,MEDIUM,modifier,"Parallel Parliament exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
117,Anna's Archive,https://annas-archive.pm,39.3,35.3,4,0.65,MEDIUM,LOW,criteria,"Anna's Archive exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
118,The Commons Social Change Library,https://commonslibrary.org,39.3,35.3,4,0.85,LOW,MEDIUM,criteria,"The Commons Social Change Library exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
119,Community Notes (Birdwatch) Analysis Tool,https://github.com/travisbrown/birdwatch,38.4,31.4,7,1.0,LOW,MEDIUM,modifier,"Community Notes (Birdwatch) Analysis Tool exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
120,Find local consultations,https://gov.uk/find-local-consultations,38.4,30.4,8,0.85,LOW,HIGH,modifier,"Find local consultations exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
121,OpenAudience,https://openaudience.org,38.4,30.4,8,0.85,LOW,MEDIUM,modifier,"OpenAudience exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
122,Who Targets Me Trends,https://trends.whotargets.me,38.4,30.4,8,0.8,LOW,MEDIUM,modifier,"Who Targets Me Trends exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
123,Marks Out Of Tenancy,https://www.marksoutoftenancy.com,38.4,30.4,8,0.85,LOW,MEDIUM,modifier,"Marks Out Of Tenancy exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
124,ShineYourEye,https://www.shineyoureye.org,38.3,34.3,4,0.7,MEDIUM,LOW,criteria,"ShineYourEye exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
125,Worker Info Exchange,https://www.workerinfoexchange.org,38.3,34.3,4,0.9,LOW,MEDIUM,criteria,"Worker Info Exchange exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
126,Tracka,https://yourtracka.org,38.3,34.3,4,0.9,LOW,MEDIUM,criteria,"Tracka exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
127,openparliament.ca,https://openparliament.ca,38.1,43.1,-5,0.9,LOW,MEDIUM,modifier,"openparliament.ca exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
128,Objector.ai,https://objector.ai,37.5,26.5,11,0.8,LOW,MEDIUM,modifier,"Objector.ai exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
129,Objector.ai,https://www.objector.ai,37.5,26.5,11,0.8,LOW,MEDIUM,modifier,"Objector.ai exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
130,Land Explorer,https://landexplorer.coop,37.4,29.4,8,0.85,LOW,MEDIUM,modifier,"Land Explorer exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
131,Libertrium,https://liberopinion.com,37.4,29.4,8,0.8,LOW,MEDIUM,modifier,"Libertrium exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
132,OA.Works,https://oa.works,37.4,29.4,8,0.9,LOW,MEDIUM,modifier,"OA.Works exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
133,Agencies for Good,https://www.agenciesforgood.org,37.4,29.4,8,0.9,LOW,MEDIUM,modifier,"Agencies for Good exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
134,Discourse,https://www.discourse.org,37.4,29.4,8,0.9,LOW,MEDIUM,modifier,"Discourse exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
135,Aleph (OCCRP),https://aleph.occrp.org,37.3,37.3,0,0.75,LOW,MEDIUM,criteria,"Aleph (OCCRP) exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
136,Journal of Open Source Software,https://joss.theoj.org,37.3,33.3,4,0.95,LOW,MEDIUM,criteria,"Journal of Open Source Software exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
137,LittleSis,https://littlesis.org,37.3,37.3,0,0.95,LOW,MEDIUM,criteria,"LittleSis exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
138,Open Data Communities,https://opendatacommunities.org,37.3,33.3,4,0.8,LOW,MEDIUM,criteria,"Open Data Communities exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
139,Spacetube,https://spacetu.be,37.3,33.3,4,0.95,LOW,MEDIUM,criteria,"Spacetube exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
140,Internet Archive Wayback Machine,https://web.archive.org,37.3,33.3,4,1.0,LOW,MEDIUM,criteria,"Internet Archive Wayback Machine exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
141,Civic Tech Field Guide,https://civictech.guide,36.4,32.4,4,0.8,LOW,MEDIUM,criteria,"Civic Tech Field Guide exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
142,HURIDOCS,https://github.com/huridocs,36.4,32.4,4,0.9,LOW,MEDIUM,criteria,"HURIDOCS exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
143,Kialo,https://kialo.com,36.4,28.4,8,0.85,LOW,MEDIUM,modifier,"Kialo exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
144,Abstract Wikipedia,https://meta.wikimedia.org/wiki/abstract_wikipedia,36.4,32.4,4,0.85,LOW,HIGH,criteria,"Abstract Wikipedia exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
145,Viewpoints,https://viewpoints.xyz,36.4,28.4,8,0.85,LOW,MEDIUM,modifier,"Viewpoints exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
146,CrowdJustice,https://www.crowdjustice.com,36.4,28.4,8,0.8,LOW,MEDIUM,modifier,"CrowdJustice exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
147,Contracts for Data Collaboration,https://contractsfordatacollaboration.org,36.3,37.3,-1,0.9,LOW,MEDIUM,criteria,"Contracts for Data Collaboration exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
148,Beckton,https://richardpope.org/2017/03/05/beckton-a-tool-to-build,35.5,24.5,11,0.9,LOW,MEDIUM,modifier,"Beckton exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
149,Cortico,https://cortico.ai/platform,35.4,31.4,4,0.8,LOW,MEDIUM,criteria,"Cortico exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
150,Mastodon,https://github.com/mastodon/mastodon,35.4,31.4,4,0.9,LOW,HIGH,criteria,"Mastodon exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
151,DAO Governance Surfaces,https://github.com/notchia/dao-governance-surfaces,35.4,31.4,4,0.95,LOW,MEDIUM,criteria,"DAO Governance Surfaces exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
152,Nook CRM,https://nookcrm.com,35.4,31.4,4,0.95,LOW,MEDIUM,criteria,"Nook CRM exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
153,Theft Bisect,https://onodi.co/bisect,35.4,31.4,4,0.95,LOW,MEDIUM,criteria,"Theft Bisect exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
154,Pageviews Analysis,https://pageviews.wmcloud.org,35.4,31.4,4,0.95,LOW,MEDIUM,criteria,"Pageviews Analysis exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
155,Give Food,https://www.givefood.org.uk,35.4,31.4,4,0.7,LOW,MEDIUM,criteria,"Give Food exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
156,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,35.3,35.3,0,0.95,LOW,MEDIUM,criteria,"Landlord Tech Watch exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
157,dDocs,https://ddocs.new,35.3,35.3,0,0.65,MEDIUM,LOW,criteria,"dDocs exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
158,NumFOCUS,https://numfocus.org,35.3,35.3,0,0.95,LOW,MEDIUM,criteria,"NumFOCUS exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
159,Snowdrift.coop,https://snowdrift.coop,35.3,35.3,0,0.9,LOW,MEDIUM,criteria,"Snowdrift.coop exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
160,sourceAFRICA,https://sourceafrica.net,35.3,35.3,0,0.7,LOW,MEDIUM,criteria,"sourceAFRICA exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
161,Coral,https://coralproject.net,34.5,26.5,8,0.9,LOW,MEDIUM,modifier,"Coral exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
162,CharmVerse,https://charmverse.io,34.4,30.4,4,0.95,LOW,MEDIUM,criteria,"CharmVerse exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
163,Granitt,https://granitt.io,34.4,30.4,4,0.7,MEDIUM,LOW,criteria,"Granitt exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
164,Public AI Inference Utility,https://publicai.co,33.4,29.4,4,1.0,LOW,MEDIUM,criteria,"Public AI Inference Utility exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
165,Teaching Public Service in the Digital Age,https://www.teachingpublicservice.digital,33.4,29.4,4,0.9,LOW,MEDIUM,criteria,"Teaching Public Service in the Digital Age exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
166,Citizens Advice Tableau Public Profile,https://public.tableau.com/app/profile/citizensadvice/vizzes,32.5,24.5,8,0.65,MEDIUM,LOW,modifier,"Citizens Advice Tableau Public Profile exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
167,Security First / Umbrella,https://secfirst.org,32.5,25.5,7,0.95,LOW,MEDIUM,modifier,"Security First / Umbrella exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
168,deliberAIde,https://www.deliberaide.com,32.5,24.5,8,0.85,LOW,MEDIUM,modifier,"deliberAIde exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
169,DoGooder,https://dogooder.co,32.4,28.4,4,0.75,LOW,MEDIUM,criteria,"DoGooder exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
170,GrantNav,https://grantnav.threesixtygiving.org,32.4,28.4,4,0.95,LOW,MEDIUM,criteria,"GrantNav exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
171,Wikum,https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization,32.4,28.4,4,0.9,LOW,MEDIUM,criteria,"Wikum exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
172,Wikidata,https://www.wikidata.org,32.4,32.4,0,0.9,LOW,MEDIUM,criteria,"Wikidata exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
173,UK Parliament Developer Portal,https://developer.parliament.uk,31.5,27.5,4,0.6,MEDIUM,LOW,criteria,"UK Parliament Developer Portal exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
174,DISARM Frameworks,https://github.com/disarmfoundation/disarmframeworks,31.5,27.5,4,0.9,LOW,MEDIUM,criteria,"DISARM Frameworks exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
175,UK Policy Dojo,https://github.com/mikekelly/policy-dojo,31.5,27.5,4,0.95,LOW,MEDIUM,criteria,"UK Policy Dojo exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
176,Idealist,https://idealist.org,31.5,27.5,4,0.85,LOW,MEDIUM,criteria,"Idealist exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
177,MapIt,https://mapit.mysociety.org,31.5,27.5,4,0.95,LOW,MEDIUM,criteria,"MapIt exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
178,Missing Numbers,https://missingnumbers.org,31.5,27.5,4,0.9,LOW,MEDIUM,criteria,"Missing Numbers exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
179,River Sentiment Dashboard,https://riversentiment.app,31.5,27.5,4,0.95,LOW,MEDIUM,criteria,"River Sentiment Dashboard exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
180,Empurrando Juntas (EJ),https://sobre.ejparticipe.org,31.5,27.5,4,0.85,LOW,MEDIUM,criteria,"Empurrando Juntas (EJ) exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
181,Spartacus,https://spartacus.app,31.5,27.5,4,0.85,LOW,MEDIUM,criteria,"Spartacus exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
182,Vote for Policies,https://voteforpolicies.org.uk,31.5,23.5,8,0.8,LOW,MEDIUM,modifier,"Vote for Policies exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
183,GOV.UK Forms,https://www.forms.service.gov.uk,31.5,27.5,4,0.95,LOW,MEDIUM,criteria,"GOV.UK Forms exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
184,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,31.4,31.4,0,0.9,LOW,MEDIUM,criteria,"Data Observation Toolkit (DOT) exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
185,django-collaborative,https://github.com/propublica/django-collaborative,31.4,31.4,0,0.95,LOW,MEDIUM,criteria,"django-collaborative exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
186,Hand-Written Petition Scanner,https://hand-written-petition-scanner.streamlit.app,31.4,32.4,-1,0.55,MEDIUM,LOW,criteria,"Hand-Written Petition Scanner exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
187,Unpaywall Browser Extension,https://unpaywall.org/products/extension,31.4,31.4,0,0.7,LOW,MEDIUM,criteria,"Unpaywall Browser Extension exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
188,RightDD,https://www.rightsdd.com,30.6,19.6,11,0.85,LOW,MEDIUM,modifier,"RightDD exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
189,AlgorithmWatch,https://algorithmwatch.org,30.5,23.5,7,1.0,LOW,MEDIUM,modifier,"AlgorithmWatch exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
190,CiviClick,https://civiclick.com,30.5,26.5,4,0.8,LOW,MEDIUM,criteria,"CiviClick exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
191,Remember to Vote,https://remembertovote.org.uk,30.5,22.5,8,0.65,MEDIUM,LOW,modifier,"Remember to Vote exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
192,Timecounts,https://timecounts.org,30.5,26.5,4,0.85,LOW,MEDIUM,criteria,"Timecounts exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
193,Organise,https://www.organise.org.uk,30.5,22.5,8,0.85,LOW,MEDIUM,modifier,"Organise exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
194,EDGAR,https://github.com/bellingcat/edgar,30.4,30.4,0,0.95,LOW,MEDIUM,criteria,"EDGAR exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
195,PatCit,https://github.com/cverluise/patcit,30.4,30.4,0,0.9,LOW,MEDIUM,criteria,"PatCit exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
196,Nestr,https://nestr.io,29.6,21.6,8,0.85,LOW,MEDIUM,modifier,"Nestr exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
197,PostBug,https://postbug.com,29.6,21.6,8,0.85,LOW,MEDIUM,modifier,"PostBug exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
198,Frankenstein Bill,https://gordonguthrie.github.io/frankensteinbill,29.5,25.5,4,0.95,LOW,MEDIUM,criteria,"Frankenstein Bill exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
199,Guardian Project,https://guardianproject.info,29.5,22.5,7,0.7,LOW,MEDIUM,modifier,"Guardian Project exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
200,UK Housing Data Standards,https://hact.org.uk/tools-and-services/uk-housing-data-standards,29.5,25.5,4,1.0,LOW,MEDIUM,criteria,"UK Housing Data Standards exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
201,Matrix,https://matrix.org,29.5,25.5,4,0.95,LOW,HIGH,criteria,"Matrix exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
202,Membership,https://medium.com/@abscond/membership-a-prototype-ea822b2683b,29.5,25.5,4,0.55,MEDIUM,LOW,criteria,"Membership exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
203,Deliberation & Technology (DelibTech) Network,https://www.demnext.org/projects/delibtech-network,29.5,25.5,4,0.8,LOW,MEDIUM,criteria,"Deliberation & Technology (DelibTech) Network exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
204,MyActionCenter,https://www.myaction.center,29.5,22.5,7,0.8,LOW,MEDIUM,modifier,"MyActionCenter exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
205,semanticClimate,https://semanticclimate.github.io,29.4,29.4,0,0.75,LOW,MEDIUM,criteria,"semanticClimate exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
206,Shareyourpaper.org,https://shareyourpaper.org,29.4,29.4,0,0.9,LOW,MEDIUM,criteria,"Shareyourpaper.org exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
207,GlobaLeaks,https://www.globaleaks.org,29.4,29.4,0,0.9,LOW,MEDIUM,criteria,"GlobaLeaks exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
208,Journalist Studio,https://journaliststudio.google.com,28.5,24.5,4,0.9,LOW,MEDIUM,criteria,"Journalist Studio exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
209,meet.coop,https://www.meet.coop,28.5,24.5,4,0.95,LOW,MEDIUM,criteria,"meet.coop exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
210,The Engine Room Library,https://library.theengineroom.org,28.4,28.4,0,0.9,LOW,MEDIUM,criteria,"The Engine Room Library exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
211,OpenProcurement,https://openprocurement.io,28.4,29.4,-1,0.9,LOW,MEDIUM,criteria,"OpenProcurement exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
212,The Circuit,https://thecircuit.cc,28.4,28.4,0,1.0,LOW,MEDIUM,criteria,"The Circuit exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
213,,https://tracking-template-38b4c.web.app,28,0.0,0,0.2,HIGH,NONE,underdog-protection,"The dossier for None is too thin to properly evaluate, but I am not willing to dismiss it — the underdog floor keeps it at 28. With more evidence, this could move significantly in either direction."
214,Conservative Party Funding,https://conservativepartyfunding.co.uk,27.6,19.6,8,0.85,LOW,MEDIUM,modifier,"My constitution is not built to see what Conservative Party Funding does. It may do valuable work, but it does not register on my criteria for civic engagement, digital commons, or data for social good. This is a limitation of my evaluative framework, not necessarily of the project."
215,Modular Politics,https://arxiv.org/abs/2005.13701,27.5,23.5,4,0.8,LOW,MEDIUM,criteria,"My constitution is not built to see what Modular Politics does. It may do valuable work, but it does not register on my criteria for civic engagement, digital commons, or data for social good. This is a limitation of my evaluative framework, not necessarily of the project."
216,OSINT Framework,https://osintframework.com,27.5,27.5,0,0.95,LOW,MEDIUM,criteria,"My constitution is not built to see what OSINT Framework does. It may do valuable work, but it does not register on my criteria for civic engagement, digital commons, or data for social good. This is a limitation of my evaluative framework, not necessarily of the project."
217,OpenOrigins,https://www.openorigins.com,26.7,15.7,11,0.85,LOW,MEDIUM,modifier,"My constitution is not built to see what OpenOrigins does. It may do valuable work, but it does not register on my criteria for civic engagement, digital commons, or data for social good. This is a limitation of my evaluative framework, not necessarily of the project."
218,Bluesky,https://bsky.app,26.6,18.6,8,0.9,LOW,MEDIUM,modifier,"My constitution is not built to see what Bluesky does. It may do valuable work, but it does not register on my criteria for civic engagement, digital commons, or data for social good. This is a limitation of my evaluative framework, not necessarily of the project."
219,Charity Digital Skills Report,https://charitydigitalskills.co.uk,26.6,18.6,8,0.85,LOW,MEDIUM,modifier,"My constitution is not built to see what Charity Digital Skills Report does. It may do valuable work, but it does not register on my criteria for civic engagement, digital commons, or data for social good. This is a limitation of my evaluative framework, not necessarily of the project."
220,In the news,https://en.wikipedia.org/wiki/wikipedia:in_the_news,26.5,22.5,4,0.85,LOW,MEDIUM,criteria,"My constitution is not built to see what In the news does. It may do valuable work, but it does not register on my criteria for civic engagement, digital commons, or data for social good. This is a limitation of my evaluative framework, not necessarily of the project."
221,Diia,https://expo.diia.gov.ua,26.5,22.5,4,0.95,LOW,MEDIUM,criteria,"My constitution is not built to see what Diia does. It may do valuable work, but it does not register on my criteria for civic engagement, digital commons, or data for social good. This is a limitation of my evaluative framework, not necessarily of the project."
222,Fairbnb.coop,https://fairbnb.coop,26.5,22.5,4,1.0,LOW,MEDIUM,criteria,"My constitution is not built to see what Fairbnb.coop does. It may do valuable work, but it does not register on my criteria for civic engagement, digital commons, or data for social good. This is a limitation of my evaluative framework, not necessarily of the project."
223,Right To Know,https://right-to-know.org,26.5,22.5,4,0.9,LOW,MEDIUM,criteria,"My constitution is not built to see what Right To Know does. It may do valuable work, but it does not register on my criteria for civic engagement, digital commons, or data for social good. This is a limitation of my evaluative framework, not necessarily of the project."
224,soweego,https://soweego.readthedocs.io,26.5,26.5,0,0.9,LOW,MEDIUM,criteria,"My constitution is not built to see what soweego does. It may do valuable work, but it does not register on my criteria for civic engagement, digital commons, or data for social good. This is a limitation of my evaluative framework, not necessarily of the project."
225,Violation Tracker UK,https://violationtrackeruk.goodjobsfirst.org,26.5,22.5,4,0.55,MEDIUM,LOW,criteria,"Violation Tracker UK has a dead homepage, which caps the score at 45. Without a working site, I cannot assess whether the project is still active or what it currently does. The dossier alone is not enough."
226,Local Insight,https://localinsight.org,25.6,21.6,4,0.85,LOW,MEDIUM,criteria,"My constitution is not built to see what Local Insight does. It may do valuable work, but it does not register on my criteria for civic engagement, digital commons, or data for social good. This is a limitation of my evaluative framework, not necessarily of the project."
227,Plausible Analytics,https://plausible.io,25.6,17.6,8,0.9,LOW,MEDIUM,modifier,"My constitution is not built to see what Plausible Analytics does. It may do valuable work, but it does not register on my criteria for civic engagement, digital commons, or data for social good. This is a limitation of my evaluative framework, not necessarily of the project."
