Rank,Project,URL,Score,Criteria Score,Modifier Adj,Dossier Completeness,Uncertainty,Popularity Risk,Primary Driver,Rationale
182,Metaculus,https://metaculus.com,32,21.6,10,0.98,LOW,LOW,modifier,Metaculus scores 32 through its constitutional fit. Modifiers boost further.
183,Nook CRM,https://nookcrm.com,32,22.5,9,0.98,LOW,LOW,modifier,Nook CRM partially fits my campaign-focused criteria.
184,Open Council Data UK,https://opencouncildata.co.uk,32,22.5,9,1.0,LOW,LOW,modifier,What draws me to Open Council Data UK is its civic potential — though direct campaign fit is limited.
185,Open Referral UK,https://openreferraluk.org,32,22.5,10,0.95,LOW,LOW,modifier,While I respect Open Referral UK — evidence supports this ranking.
186,Open Standards for Data Guidebook,https://standards.theodi.org,32,16.7,15,0.95,LOW,LOW,modifier,Open Standards for Data Guidebook partially fits my campaign-focused criteria.
187,Overton,https://overton.io,32,22.5,9,0.98,LOW,LOW,modifier,While I respect Overton — evidence supports this ranking.
188,Participedia,https://participedia.net,32,19.6,12,0.96,LOW,LOW,modifier,Participedia partially fits my campaign-focused criteria.
189,Prolific,https://www.prolific.com,32,20.6,11,0.96,LOW,LOW,modifier,Prolific partially fits my campaign-focused criteria.
190,Responsible Tech Guide 2025,https://alltechishuman.org/responsible-tech-guide-2025,32,20.6,11,0.98,LOW,LOW,modifier,What draws me to Responsible Tech Guide 2025 is its civic potential — though direct campaign fit is limited.
191,Security First / Umbrella,https://secfirst.org,32,14.7,17,0.96,LOW,LOW,modifier,While I respect Security First / Umbrella — evidence supports this ranking.
192,Teaching Public Service in the Digital Age,https://www.teachingpublicservice.digital,32,20.6,11,0.94,LOW,LOW,modifier,Teaching Public Service in the Digital Age partially fits my campaign-focused criteria.
193,openparliament.ca,https://openparliament.ca/,32,18.6,13,0.74,LOW,LOW,modifier,openparliament.ca partially fits my campaign-focused criteria.
194,Community Tech,https://www.communitytech.network,31,21.6,9,0.98,LOW,LOW,modifier,What draws me to Community Tech is its civic potential — though direct campaign fit is limited.
195,Logos,https://logos.co/,31,15.7,15,1.0,LOW,LOW,modifier,While I respect Logos — evidence supports this ranking.
196,Nyaaya,https://nyaaya.org,31,11.8,19,0.98,LOW,LOW,modifier,Nyaaya scores 31 through its constitutional fit. Modifiers boost further.
197,One Project,https://oneproject.org/,31,15.7,15,0.94,LOW,LOW,modifier,One Project scores 31 through its constitutional fit. Modifiers boost further.
198,PatCit,https://github.com/cverluise/patcit,31,17.6,13,0.96,LOW,LOW,modifier,What draws me to PatCit is its civic potential — though direct campaign fit is limited.
199,The Circuit,https://thecircuit.cc,31,16.7,14,0.98,LOW,LOW,modifier,While I respect The Circuit — evidence supports this ranking.
200,Theft Bisect,https://onodi.co/bisect/,31,21.6,9,0.96,LOW,LOW,modifier,Theft Bisect partially fits my campaign-focused criteria.
201,Your Priorities,https://yrpri.org,31,17.6,13,0.95,LOW,LOW,modifier,What draws me to Your Priorities is its civic potential — though direct campaign fit is limited.
202,dDocs,https://ddocs.new/,31,15.7,15,0.97,LOW,LOW,modifier,dDocs partially fits my campaign-focused criteria.
203,CONSUL Democracy,https://consulproject.org,30,13.7,16,0.96,LOW,LOW,modifier,What draws me to CONSUL Democracy is its civic potential — though direct campaign fit is limited.
204,Ethelo,https://ethelo.com,30,17.6,12,0.97,LOW,LOW,modifier,Ethelo scores 30 through its constitutional fit. Modifiers boost further.
205,Harmonica,https://harmonica.chat/,30,18.6,11,0.98,LOW,LOW,modifier,Harmonica partially fits my campaign-focused criteria.
206,OA.Report,https://oa.report,30,20.6,9,0.74,LOW,LOW,modifier,What draws me to OA.Report is its civic potential — though direct campaign fit is limited.
207,Papertree,https://www.papertree.earth,30,14.7,15,0.9,LOW,LOW,modifier,What draws me to Papertree is its civic potential — though direct campaign fit is limited.
208,Sci-Hub,https://sci-hub.se,30,23.5,7,0.94,LOW,LOW,criteria,Sci-Hub scores 30 through its constitutional fit. Modifiers boost further.
209,Viewpoints,https://viewpoints.xyz,30,20.6,9,0.98,LOW,LOW,modifier,What draws me to Viewpoints is its civic potential — though direct campaign fit is limited.
210,GOV.UK Forms,https://www.forms.service.gov.uk,29,11.8,17,0.96,LOW,LOW,modifier,What draws me to GOV.UK Forms is its civic potential — though direct campaign fit is limited.
211,Go Vocal,https://www.govocal.com,29,16.7,12,0.98,LOW,LOW,modifier,What draws me to Go Vocal is its civic potential — though direct campaign fit is limited.
212,Land Explorer,https://landexplorer.coop,29,17.6,11,0.98,LOW,LOW,modifier,While I respect Land Explorer — evidence supports this ranking.
213,MP Twitter Bios,https://www.mptwitterbios.co.uk,29,17.6,11,0.98,LOW,LOW,modifier,What draws me to MP Twitter Bios is its civic potential — though direct campaign fit is limited.
214,Plausible Analytics,https://plausible.io,29,15.7,13,0.94,LOW,HIGH,modifier,What draws me to Plausible Analytics is its civic potential — though direct campaign fit is limited. Popularity risk HIGH.
215,Urbit,https://urbit.org,29,13.7,15,0.94,LOW,LOW,modifier,What draws me to Urbit is its civic potential — though direct campaign fit is limited.
216,oTree,https://www.otree.org,29,15.7,13,0.94,LOW,LOW,modifier,oTree scores 29 through its constitutional fit. Modifiers boost further.
217,Empurrando Juntas (EJ),https://sobre.ejparticipe.org,28,18.6,9,1.0,LOW,LOW,modifier,While I respect Empurrando Juntas (EJ) — evidence supports this ranking.
218,Find local consultations,https://gov.uk/find-local-consultations,28,18.6,9,0.98,LOW,LOW,modifier,Find local consultations scores 28 through its constitutional fit. Modifiers boost further.
219,GrantNav,https://grantnav.threesixtygiving.org,28,14.7,13,0.96,LOW,LOW,modifier,While I respect GrantNav — evidence supports this ranking.
220,Kialo,https://kialo.com,28,20.6,7,0.96,LOW,LOW,modifier,Kialo scores 28 through its constitutional fit. Modifiers boost further.
221,Registers and collaboration: making lists we can trust,https://theodi.org/insights/reports/registers-and-collaboration-making-lists-we-can-trust-report,28,16.7,11,0.98,LOW,LOW,modifier,Registers and collaboration: making lists we can trust partially fits my campaign-focused criteria.
222,Shared Digital Guides,https://www.shareddigitalguides.org.uk,28,14.7,13,1.0,LOW,LOW,modifier,Shared Digital Guides partially fits my campaign-focused criteria.
223,Society for Hopeful Technologists,https://societyforhopefultechnologists.org,28,19.6,8,0.98,LOW,LOW,modifier,While I respect Society for Hopeful Technologists — evidence supports this ranking.
224,Whoisology,https://whoisology.com,28,22.5,5,0.98,LOW,LOW,criteria,What draws me to Whoisology is its civic potential — though direct campaign fit is limited.
225,Wikum,https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization,28,16.7,11,0.96,LOW,LOW,modifier,While I respect Wikum — evidence supports this ranking.
226,tracking-template-38b4c.web.app,https://tracking-template-38b4c.web.app,28,6.9,2,0.2,HIGH,LOW,underdog-protection,tracking-template-38b4c.web.app scores 28 through its constitutional fit. Modifiers boost further. Limited dossier.
227,Creative Commons,https://creativecommons.org,27,16.7,10,0.96,LOW,LOW,modifier,While I respect Creative Commons — evidence supports this ranking.
228,GOV Reuse Library,https://dev.reuselibrary.service.justice.gov.uk/,27,17.6,9,0.98,LOW,LOW,modifier,GOV Reuse Library partially fits my campaign-focused criteria.
229,Libertrium,https://liberopinion.com,27,15.7,11,0.97,LOW,LOW,modifier,Libertrium partially fits my campaign-focused criteria.
230,Plinth,https://www.plinth.org.uk,27,17.6,9,0.96,LOW,LOW,modifier,Plinth partially fits my campaign-focused criteria.
231,Public AI Inference Utility,https://publicai.co/,27,15.7,11,1.0,LOW,LOW,modifier,What draws me to Public AI Inference Utility is its civic potential — though direct campaign fit is limited.
232,Radicle,https://radicle.xyz,27,11.8,15,0.96,LOW,LOW,modifier,While I respect Radicle — evidence supports this ranking.
233,Agencies for Good,https://www.agenciesforgood.org,26,16.7,9,0.98,LOW,LOW,modifier,What draws me to Agencies for Good is its civic potential — though direct campaign fit is limited.
234,Cobudget,https://cobudget.com,26,13.7,12,0.95,LOW,LOW,modifier,While I respect Cobudget — evidence supports this ranking.
235,Esper,https://esper.com/product,26,18.6,7,0.98,LOW,LOW,modifier,While I respect Esper — evidence supports this ranking.
236,Murmurations Protocol,https://murmurations.network,26,13.7,12,0.98,LOW,LOW,modifier,Murmurations Protocol scores 26 through its constitutional fit. Modifiers boost further.
237,The Accountability Project,https://publicaccountability.org,26,20.6,5,0.96,LOW,LOW,criteria,The Accountability Project partially fits my campaign-focused criteria.
238,rsky,https://github.com/blacksky-algorithms/rsky,26,12.7,13,0.98,LOW,LOW,modifier,rsky scores 26 through its constitutional fit. Modifiers boost further.
239,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,25,9.8,15,0.96,LOW,LOW,modifier,While I respect Framework for Meaningful Engagement 2.0 — evidence supports this ranking.
240,Humble Data Workshop,https://humbledata.org,25,13.7,11,0.98,LOW,LOW,modifier,Humble Data Workshop partially fits my campaign-focused criteria.
241,The Data Trusts Initiative,https://datatrusts.uk,25,19.6,5,0.94,LOW,LOW,criteria,What draws me to The Data Trusts Initiative is its civic potential — though direct campaign fit is limited.
242,Vote for Policies,https://voteforpolicies.org.uk,25,19.6,5,0.94,LOW,LOW,criteria,Vote for Policies partially fits my campaign-focused criteria.
243,deliberAIde,https://www.deliberaide.com,25,16.7,8,0.96,LOW,LOW,modifier,deliberAIde partially fits my campaign-focused criteria.
244,Awesome UK Government Datasets,https://github.com/i-dot-ai/awesome-gov-datasets,24,10.8,13,0.98,LOW,LOW,modifier,Awesome UK Government Datasets scores 24 through its constitutional fit. Modifiers boost further.
245,Cortico,https://cortico.ai/platform,24,14.7,9,0.94,LOW,LOW,modifier,While I respect Cortico — evidence supports this ranking.
246,OA.Works,https://oa.works/,24,8.8,15,0.85,LOW,LOW,modifier,What draws me to OA.Works is its civic potential — though direct campaign fit is limited.
247,Open Data Communities,https://opendatacommunities.org,24,14.7,9,0.94,LOW,LOW,modifier,Open Data Communities scores 24 through its constitutional fit. Modifiers boost further.
248,Parse The Bill,https://parsethebill.com,24,18.6,5,0.98,LOW,LOW,criteria,Parse The Bill partially fits my campaign-focused criteria.
249,Pear by Holepunch,https://docs.holepunch.to,24,12.7,11,0.98,LOW,LOW,modifier,What draws me to Pear by Holepunch is its civic potential — though direct campaign fit is limited.
250,Principles for Public Participation in Procurement of AI,https://p4ai.net,24,12.7,11,0.94,LOW,LOW,modifier,What draws me to Principles for Public Participation in Procurement of AI is its civic potential — though direct campaign fit is limited.
251,Dovetail,https://dovetail.network,23,17.6,5,0.97,LOW,LOW,criteria,While I respect Dovetail — evidence supports this ranking.
252,Internet Archive Wayback Machine,https://web.archive.org,23,11.8,11,0.98,LOW,LOW,modifier,Internet Archive Wayback Machine scores 23 through its constitutional fit. Modifiers boost further.
253,Local Deep Researcher,https://local-deep-researcher-hnmh.vercel.app/,23,11.8,11,0.91,LOW,LOW,modifier,Local Deep Researcher scores 23 through its constitutional fit. Modifiers boost further.
254,RxC Voice,https://github.com/radicalxchange/rxc-voice,23,11.8,11,0.98,LOW,LOW,modifier,While I respect RxC Voice — evidence supports this ranking.
255,Schema.org,https://schema.org,23,7.8,15,0.54,MEDIUM,HIGH,modifier,Schema.org scores 23 through its constitutional fit. Modifiers boost further. Popularity risk HIGH.
256,soweego,https://soweego.readthedocs.io,23,14.7,8,0.96,LOW,LOW,modifier,What draws me to soweego is its civic potential — though direct campaign fit is limited.
257,whatsmeow,https://github.com/tulir/whatsmeow,23,7.8,15,0.98,LOW,HIGH,modifier,whatsmeow scores 23 through its constitutional fit. Modifiers boost further. Popularity risk HIGH.
258,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,22,13.7,8,0.95,LOW,LOW,modifier,What draws me to Data Observation Toolkit (DOT) is its civic potential — though direct campaign fit is limited.
259,EDGAR,https://github.com/bellingcat/edgar,22,8.8,13,0.98,LOW,LOW,modifier,While I respect EDGAR — evidence supports this ranking.
260,Filmot,https://filmot.com,22,14.7,7,0.98,LOW,LOW,modifier,While I respect Filmot — evidence supports this ranking.
261,GreenPT,https://greenpt.ai/,22,10.8,11,0.98,LOW,LOW,modifier,GreenPT scores 22 through its constitutional fit. Modifiers boost further.
262,Local Insight,https://localinsight.org,22,14.7,7,0.98,LOW,LOW,modifier,What draws me to Local Insight is its civic potential — though direct campaign fit is limited.
263,OpenProcurement,https://openprocurement.io,22,8.8,13,0.95,LOW,LOW,modifier,OpenProcurement partially fits my campaign-focused criteria.
264,The Decelerator,https://decelerator.org.uk,22,15.7,6,0.98,LOW,LOW,modifier,What draws me to The Decelerator is its civic potential — though direct campaign fit is limited.
265,AISafety.info,https://aisafety.info,21,8.8,12,0.68,LOW,LOW,modifier,AISafety.info partially fits my campaign-focused criteria.
266,CivicPress,https://civicpress.io/,21,11.8,9,0.98,LOW,LOW,modifier,While I respect CivicPress — evidence supports this ranking.
267,CoTech,https://coops.tech,21,7.8,13,0.98,LOW,LOW,modifier,CoTech scores 21 through its constitutional fit. Modifiers boost further.
268,Membership,https://medium.com/@abscond/membership-a-prototype-ea822b2683b,21,5.9,15,0.94,LOW,LOW,modifier,Membership scores 21 through its constitutional fit. Modifiers boost further.
269,Nestr,https://nestr.io,21,11.8,9,0.98,LOW,LOW,modifier,What draws me to Nestr is its civic potential — though direct campaign fit is limited.
270,PlanIT,https://planit.org.uk,21,15.7,5,0.98,LOW,LOW,modifier,PlanIT partially fits my campaign-focused criteria.
271,PolicyKit,https://policykit.org,21,5.9,15,0.94,LOW,LOW,modifier,PolicyKit partially fits my campaign-focused criteria.
272,UK Housing Data Standards,https://hact.org.uk/tools-and-services/uk-housing-data-standards,21,11.8,9,0.98,LOW,LOW,modifier,UK Housing Data Standards partially fits my campaign-focused criteria.
273,UK Parliament Developer Portal,https://developer.parliament.uk,21,14.7,6,0.98,LOW,LOW,modifier,UK Parliament Developer Portal scores 21 through its constitutional fit. Modifiers boost further.
274,UrbanistAI,https://site.urbanistai.com,21,15.7,5,0.96,LOW,LOW,modifier,While I respect UrbanistAI — evidence supports this ranking.
275,We Live It,https://www.welivedit.ai,21,14.7,6,0.98,LOW,LOW,modifier,What draws me to We Live It is its civic potential — though direct campaign fit is limited.
276,Diia,https://expo.diia.gov.ua,20,3.9,16,0.97,LOW,LOW,modifier,While I respect Diia — evidence supports this ranking.
277,GOV.UK Notify,https://www.notifications.service.gov.uk,20,0.0,20,0.96,LOW,LOW,modifier,GOV.UK Notify partially fits my campaign-focused criteria.
278,Labour Xchange,https://labourxchange.uk,20,11.8,8,0.98,LOW,LOW,modifier,Labour Xchange scores 20 through its constitutional fit. Modifiers boost further.
279,The Guide to Major Trusts 2025/26,https://www.dsc.org.uk/publication/the-guide-to-major-trusts-2025-26/,20,14.7,5,0.97,LOW,LOW,modifier,What draws me to The Guide to Major Trusts 2025/26 is its civic potential — though direct campaign fit is limited.
280,User Research Library,https://research.localgov.digital,20,14.7,5,0.98,LOW,LOW,modifier,User Research Library partially fits my campaign-focused criteria.
281,Beckton,https://richardpope.org/2017/03/05/beckton-a-tool-to-build,19,6.9,12,0.96,LOW,LOW,modifier,Beckton partially fits my campaign-focused criteria.
282,Bluesky Social,https://github.com/bluesky-social,19,5.9,13,0.96,LOW,HIGH,modifier,While I respect Bluesky Social — evidence supports this ranking. Popularity risk HIGH.
283,Collab.Land,https://collab.land,19,13.7,5,0.59,MEDIUM,LOW,modifier,Collab.Land scores 19 through its constitutional fit. Modifiers boost further.
284,DeepSeek-V3,https://github.com/deepseek-ai/deepseek-v3,19,6.9,12,0.94,LOW,HIGH,modifier,What draws me to DeepSeek-V3 is its civic potential — though direct campaign fit is limited. Popularity risk HIGH.
285,Deliberation & Technology (DelibTech) Network,https://www.demnext.org/projects/delibtech-network,19,7.8,11,0.98,LOW,LOW,modifier,Deliberation & Technology (DelibTech) Network scores 19 through its constitutional fit. Modifiers boost further.
286,Journal of Open Source Software,https://joss.theoj.org,19,6.9,12,0.96,LOW,LOW,modifier,Journal of Open Source Software partially fits my campaign-focused criteria.
287,Keep It In The Community,https://plunkett.my.site.com/keepitinthecommunity/s,19,10.8,8,1.0,LOW,LOW,modifier,What draws me to Keep It In The Community is its civic potential — though direct campaign fit is limited.
288,Mapping.kids,https://mapping.kids,19,11.8,7,0.46,MEDIUM,LOW,modifier,While I respect Mapping.kids — thin dossier limits confidence.
289,Neighbourhood Warmth,https://www.mysociety.org/climate/neighbourhood-warmth,19,11.8,7,0.98,LOW,LOW,modifier,While I respect Neighbourhood Warmth — evidence supports this ranking.
290,Objector.ai,https://objector.ai,19,13.7,5,0.69,LOW,LOW,modifier,Objector.ai scores 19 through its constitutional fit. Modifiers boost further.
291,Objector.ai,https://www.objector.ai,19,13.7,5,0.95,LOW,LOW,modifier,While I respect Objector.ai — evidence supports this ranking.
292,PolicyMogul,https://policymogul.com,19,12.7,6,1.0,LOW,LOW,modifier,PolicyMogul scores 19 through its constitutional fit. Modifiers boost further.
293,In the news,https://en.wikipedia.org/wiki/wikipedia:in_the_news,18,9.8,8,0.98,LOW,LOW,modifier,While I respect In the news — evidence supports this ranking.
294,Entitledto,https://entitledto.co.uk,17,11.8,5,0.96,LOW,LOW,modifier,Entitledto scores 17 through its constitutional fit. Modifiers boost further.
295,Frankenstein Bill,https://gordonguthrie.github.io/frankensteinbill,17,3.9,13,0.98,LOW,LOW,modifier,Frankenstein Bill partially fits my campaign-focused criteria.
296,GOV.UK One Login,https://www.sign-in.service.gov.uk,17,3.9,13,0.97,LOW,LOW,modifier,GOV.UK One Login partially fits my campaign-focused criteria.
297,Gender Pay Gap Service,https://gender-pay-gap.service.gov.uk,17,8.8,8,0.96,LOW,LOW,modifier,What draws me to Gender Pay Gap Service is its civic potential — though direct campaign fit is limited.
298,GovWise,https://www.govwise.ai/en,17,11.8,5,0.98,LOW,LOW,modifier,What draws me to GovWise is its civic potential — though direct campaign fit is limited.
299,Granicus,https://granicus.com/uk,17,9.8,7,0.94,LOW,LOW,modifier,What draws me to Granicus is its civic potential — though direct campaign fit is limited.
300,Polimorphic,https://www.polimorphic.com,17,11.8,5,0.96,LOW,LOW,modifier,Polimorphic partially fits my campaign-focused criteria.
301,Service Manual,https://www.gov.uk/service-manual,17,11.8,5,0.96,LOW,LOW,modifier,While I respect Service Manual — evidence supports this ranking.
302,Tactical Data Engagement,https://communities.sunlightfoundation.com/methodology,17,11.8,5,0.96,LOW,LOW,modifier,Tactical Data Engagement scores 17 through its constitutional fit. Modifiers boost further.
303,Turn2us Benefits Calculator,https://benefits-calculator.turn2us.org.uk,17,11.8,5,0.96,LOW,LOW,modifier,Turn2us Benefits Calculator scores 17 through its constitutional fit. Modifiers boost further.
304,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,17,7.8,9,0.95,LOW,LOW,modifier,vTaiwan scores 17 through its constitutional fit. Modifiers boost further.
305,GRIM (Global Risk Simulator),https://github.com/sentinelteam/grim,16,12.7,3,0.98,LOW,LOW,criteria,What draws me to GRIM (Global Risk Simulator) is its civic potential — though direct campaign fit is limited.
306,Modular Politics,https://arxiv.org/abs/2005.13701,16,8.8,7,0.95,LOW,LOW,modifier,Modular Politics scores 16 through its constitutional fit. Modifiers boost further.
307,CAN/DGSI 127 - Age Assurance Technologies Standard,https://dgc-cgn.org/product/can-dgsi-127/,15,6.9,8,0.98,LOW,LOW,modifier,What draws me to CAN/DGSI 127 - Age Assurance Technologies Standard is its civic potential — though direct campaign fit is limited.
308,UK Policy Dojo,https://github.com/mikekelly/policy-dojo,15,5.9,9,0.98,LOW,LOW,modifier,While I respect UK Policy Dojo — evidence supports this ranking.
309,Yoti,https://www.yoti.com,15,9.8,5,0.96,LOW,LOW,modifier,Yoti partially fits my campaign-focused criteria.
310,New_ Public Roundabout,https://newpublic.substack.com/p/introducing-roundabout-built-for,14,7.8,6,1.0,LOW,LOW,modifier,While I respect New_ Public Roundabout — evidence supports this ranking.
311,Snowdrift.coop,https://snowdrift.coop,14,5.9,8,0.84,LOW,LOW,modifier,While I respect Snowdrift.coop — evidence supports this ranking.
312,Understanding Your Morality,https://programs.clearerthinking.org/understanding-your-morality/,14,11.8,2,0.98,LOW,LOW,criteria,Understanding Your Morality partially fits my campaign-focused criteria.
313,Fission Codes,https://github.com/fission-codes/fission-codes,13,3.9,9,0.96,LOW,LOW,modifier,What draws me to Fission Codes is its civic potential — though direct campaign fit is limited.
314,GOV.UK Pay,https://www.payments.service.gov.uk,13,0.0,13,0.95,LOW,LOW,modifier,GOV.UK Pay scores 13 through its constitutional fit. Modifiers boost further.
315,CivicMatch,https://civicmatch.app,12,6.9,5,1.0,LOW,LOW,modifier,What draws me to CivicMatch is its civic potential — though direct campaign fit is limited.
316,FarmerChat,https://farmerchat.digitalgreen.org,10,5.9,4,0.93,LOW,LOW,modifier,While I respect FarmerChat — evidence supports this ranking.
317,The List,https://the-list.uk,9,6.9,2,1.0,LOW,LOW,criteria,The List partially fits my campaign-focused criteria.
318,WorkInCharities,https://www.workincharities.co.uk,9,6.9,2,0.97,LOW,LOW,criteria,What draws me to WorkInCharities is its civic potential — though direct campaign fit is limited.
319,Ladder Hub,https://ladderhub.org/,8,3.9,4,0.97,LOW,LOW,modifier,Ladder Hub partially fits my campaign-focused criteria.
320,Unknown Academic Paper (SSRN 5351275),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5351275,8,5.9,2,0.86,LOW,LOW,modifier,Unknown Academic Paper (SSRN 5351275) partially fits my campaign-focused criteria.
321,Consciousness Evolution Operating System (ConSoc),https://www.consoc.io,5,0.0,2,0.91,LOW,LOW,modifier,While I respect Consciousness Evolution Operating System (ConSoc) — evidence supports this ranking.
